# FILE DATA
ID : MDRW2100008118
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 앜ㅋㅋㅋㅋㅋㅋ갑분 연애와 결혼ㅋㅋㅋㅋ
P1 	: 나 근데 요즘 갑자기 주변에서
P1 	: 커밍아웃 많이 들어... ㅇㅅㅇ...
P0 	: ㅋㅋㅋㅋㅋ방금 주제를 이어나가기엔
P0 	: 이 주제가 더 좋을거같다는 생각이 들었어...ㅎㅎ
P0 	: 헉.... 커밍아웃??
P1 	: 응... 뭐 상관없기는 한데 ㅋㅋㅋㅋㅋ
P1 	: 엥 머야 사귀는 사람이 있었다고??
P1 	: 아 같은 성별이라 안알렸던거구나 요런 느낌
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ헉 맞아
P0 	: 약간 커밍아웃은
P0 	: 서로간에 신뢰가 따라줘야 할수있으니까....
P1 	: 근데 생각보다 주변에 그런 연애 하는 사람들이 있었다는걸
P1 	: 요즘들어서 깨닫고 있어
P1 	: 다들 연애 안하는게 아니었어 안알려준거지 ㅠ
P0 	: 아 진짜 주변에 그렇게 많이??
P0 	: 앜ㅋㅋㅋㅋㅋ 안하는게 아니라 안알려준거였다니
P0 	: 너무해ㅠㅠㅠㅠ
P1 	: 난 다들 모쏠이나 솔로들인줄 알았지...
P1 	: 나만 몰랐던 이야기...
P1 	: 너는 뭐 소개팅이나 이런 얘기 안들어와?_?
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋ 그게아니라 다들 몰래몰래(?) 연애중이었구나
P0 	: 음 뭔가 정식으로 들어온다는 느낌보다는 소개시켜줄까유? 이런 느낌??ㅋㅋㅋㅋ
P0 	: 넌 어때??ㅎ.ㅎ
P1 	: 난 머 직장 이번에 새로 옮겼고 ㅋㅋㅋㅋㅋ
P1 	: 너도 알다시피 그런 얘기 들어올 자리에서 일한 적 없어서 딱히?
P1 	: 내주변은 나한테 그런 얘기 꺼낼 사람 없고 ㅋㅋㅋㅋㅋㅋㅋ 오히려 소개시켜달라는 뉘앙스는 들어봤지만 절대 안해줌 ㅎㅎ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ원장이 그런얘기는 다행히(?)안했나바?
P0 	: 헉 소개시켜달라는 얘기는 누가해써?
P0 	: 소개팅 받고싶엇나바
P1 	: 원장이 나이가 있는데 나를 어케 소개해줘 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 소개시켜달란 얘긴 주로 남자..들..이..
P1 	: 그치만 절대 안해주지 ㅎㅎ... 내 친구들 지켜...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 맞네... 본인 나이가 있어서
P0 	: 본인 나이가 있어서 소개팅 시켜주는것도 안되긴 하겠다 ㅋㅋㅋㅋ
P0 	: 근데 소개팅 시켜달라는건...약간 보면
P0 	: 자기 주제를 알라 싶은...^^
