# FILE DATA
ID : MDRW2100008511
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 어떤 장르의 책을 좋아하세요?
P1 	: 전 소설 좋아해요~
P0 	: 저도 소설 좋아해요! 최근 어떤 소설을 읽으셨나용?
P1 	: 아마 지구에서 한아뿐 읽었던 것 같아요
P1 	: 독서 제대로 시작한지 얼마 안돼서
P1 	: 베스트셀러부터 뿌시고 있어요
P1 	: &name1&님은 뭐 읽으셨나요?
P0 	: 저는 최근에 소설은 거의 못읽었고
P0 	: 주식을 시작해서 주식 관련 책들을 읽고있어요!
P0 	: 근데 내용이 너무 어려워서 진도가 안나가요 ㅠㅠ
P1 	: 오 저도요!
P1 	: 엄청 초보용 책 삿는데...저도 진도가^^..
P1 	: 재미부터 가지려고 시장을 보는 관점에 대한 책 읽어보려구요
P1 	: 뭐 읽고 계세요?
P0 	: 저도 초보용으로 샀어요!! 저 요즘엔 염부장님 책 읽고있어요!! 주린이가 알고 싶은 최다 질문 top77
P0 	: 요거여!!
P1 	: 오 저도 읽어봐여갰어요
P1 	: 저는 주식투자 무작정 따라하기 읽고있고
P1 	: 강방천의 관점? 그거 보려고 도서관 예약해둿어요
P0 	: 오 그책도 찾아봐야겠어요. 진짜 주식 잘하고 싶어서 열심히 보는데 소설책보다 잘 안읽히는 것 같아요 ㅠㅠ
P1 	: 아 맞아요!!
P1 	: 전 소설 좋아하는게 현실도피할 수 잇어서거든요
P1 	: 근데 주식 관련 챡은 너무 현실이라 시간도 오래걸리고...
P1 	: 진도도 안 나가더라구요..
P0 	: 맞아용 ㅠㅠ 소설은 그냥 훅훅 읽을 수 있는데 주식책은 진짜 제가 이해하고 넘어가야해서 ㅠㅠ
P1 	: 그쵸..약간 독서보단 공부?느낌...
P1 	: 그래도 요즘 읽고 싶은 소설 책들이 많아서
P1 	: 얼른 보고 소설 한 권 읽으려구요ㅋㅋㅋ
P0 	: 저도 번갈아가면서 봐야겠어요.
P0 	: 계속 보려니까 책이 싫어져요
P1 	: 아 맞아요ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 가장 재미있게 읽었던 소설책은 뭐에요?
P0 	: 저 최근에 달러구트 봤어요!!!
P1 	: 오!! 저 그거 보고싶었는데 인기가 엄청 많아서
P1 	: 제 대출 순서가 안 오더라구요ㅎㅎ..
P1 	: 최근에 2 나왔던대
P0 	: 2도 나왔어요?? 저도 봐야겠네요!! 저는 리디북스 북클럽으로 봤어요 ㅎㅎ
