# FILE DATA
ID : MDRW2100011476
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충북
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 결혼에 대해 어떻게 생각하세요?
P1 	: 결혼하셨나요?
P0 	: 아니요!
P0 	: 결혼하셨나요?
P1 	: 네.기혼입니다. 아이도 있어요. 이상형이 어떻게 되나요?
P0 	: 와우 아이가있으시군요
P0 	: 저는 성격이 중요한것같아요!
P1 	: 외모는 안보시나요?
P0 	: ㅋㅋㅋ외모는
P0 	: 안경을 안꼈으면좋겠어요
P1 	: 전 키크면좋은데 배우자는 키가 크지 않네요 ㅋ 이상형은 이상형일뿐인가봐요
P0 	: ㅋㅋㅋ 맞아요
P0 	: 사실 성격이잘맞으면
P0 	: 제일베스트죠
P1 	: 그쵸 성격이잘맞아야죠
P1 	: 연예인중 이상형에 가까운사람이 있나요?
P0 	: 음 연예인은 외적인것만으로니까
P0 	: 저는 여진구? 유승호?
P1 	: 외적인 이상형은  현빈 요.
P1 	: 눈빛이 매력있어요.
P0 	: 현빈좋죠ㅋㅋㅋㅋ
P0 	: 시크릿가든
P0 	: 잼게봤었는데
P1 	: 저두요. 사랑의 불시착도 재미있게 봤어요.데이트 상대로 현빈씨 좋을것 같아요
P0 	: ㅋㅋㅋ 맞아요
P0 	: 현빈 여친있지않나요? 공개여친
P1 	: 여친있죠. 손예진 배우~이상형이니까요.
P0 	: 헐
P0 	: 둘이사귀나요?
P1 	: 네. 모르셨군요~둘이 사귄다고 했어요
P0 	: 와우
P0 	: 진짜 몰랐네요
P0 	: 잘어울리네요
P1 	: 잘어울리는 커플이죠.
P0 	: 그러게요ㄷㄷ
P0 	: 결혼하겠군요
P1 	: 결혼해서 잘살았으면 좋겠어요.
P0 	: 뭔가 둘은
P0 	: 잘살것같긴하네요ㅋㅋㅋ
