# FILE DATA
ID : MDRW2100014420
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 기타 사회 생활 및 활동>군대

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세용!~
P1 	: 안녕하세요~ 답이늦어 죄송해요
P0 	: 괜찮아요ㅎㅎ 군대...음..ㅋㅋ 남자친구 군대 기다려주신적 있으세요?
P1 	: 아뇨 없어요
P1 	: 저는 밉상짓하고 다니진 않는다생각하거든요
P1 	: 근데 군대간 남자친구 기다리는거는 너무좀 아닌거같고 그랬어서요;;;
P1 	: 둘다 할짓이 아니다 이런 생각이어서요;
P0 	: 맞어요ㅜㅜ 저도 경험은 없지만 기다리는 사람도 군대가있는 사람도 넘 힘들것같아유ㅠㅠㅠ
P0 	: 지금 제가 좋아하는 가수가 군대가있는중인데 무사히 전역하길 바라고있습니당ㅎㅎ
P1 	: 오오 가수누구에요?
P0 	: 샤이니 태민이요{emoji:☺}{emoji:☺}
P0 	: 저는 남자형제도 없어서 군대에 대해서 잘 몰라요... 그냥 선배들이나 남자친구나 직장에서 주워들은게 다라서ㅋㅋㅋ
P1 	: 저도 그래요
P1 	: 군대에서 축구한 이야기 그런거요
P0 	: 군대에서 축구하면 재밌겠네여.. 근데 군대에서 축구한 이야기를 듣는건 싫네욬ㅋㅋㅋㅋ
P0 	: 남자들 밤에 보초?설때 귀신도 많이 본다던데ㅜㅜ
P1 	: 헐 귀신요
P1 	: 반짝님은 귀신믿으세요?
P0 	: 전 한번도 본적은 없지만 뭔가 그런 영적인 것들은 존재할것같아요..ㅋㅋㅋ
P0 	: 제 남자친구도 한번도 본적없다가 군대가서 가위 처음 눌려봤다고 하더라고용
P1 	: 네...ㅜㅜ
P1 	: 귀신이야기가 있는걸 보면
P1 	: 있을거같긴해요
P0 	: 뭔가 오늘 날씨도 흐린게ㅜ 오싹하네요ㅜㅜ
P0 	: 직업군인인 남자는 남편감으로 어떨거같나요??
P1 	: 별로일거같아요 ㅜㅜ
P1 	: 은근 여자때리는 사람 많다던데요
P0 	: 그쵸 아무래도 권위적이고.. 가부장적일것같은...
P0 	: 제 주변사람들도 직업군인은 남편으로 비추하더라구요ㅜ
P0 	: 근데 연금나오고ㅋㅋ 아파트 제공되고? 그런 복지는 좋나봐요ㅋ
P1 	: 사바사니 그 사람에 대해 잘 알면 결혼해도될거같아요
P1 	: 근데 여자가 더 힘없거나 정보력 뒤쳐지면 휘둘릴거같아요
P0 	: 맞아요ㅠㅠ 사람 좋으면 문제없긴 하지만...
P0 	: 아무래도 군인에 대해 선입견이 좀 있을것같아요
