# FILE DATA
ID : MDRW2100015931
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아르바이트 해보신거 있으세요?
P1 	: 저 진짜 많이 했어용!
P1 	: 편의점은 1년반정도 했구
P0 	: 오 그렇게나 오래요??점장님이 좋아하셨겠야요
P1 	: 단기알바는 손님인척하기?? 화장품가게 오픈 진열 알바 옷공장 알바 호텔 등등
P1 	: 명절마다 선물 주시더라구요ㅎㅎ
P0 	: 엇?? 손님인척 하기 알바는 뭔가요??ㅋㅋㅋ
P0 	: 되게 다양한 알바 진짜 많이 하신거같아요!
P1 	: 그 행사같은거 하면 본사에서
P0 	: ㅎㅎㅎㅎ저라도 선물 했을거같아요! 일년반씩이나 해줬으면 엄청 고마우니까
P1 	: 관리자같은 사람들이
P1 	: 잘하고있나 손님은 얼마나되나
P1 	: 보러 오더라구용!
P1 	: &name1&님은요?
P0 	: 앜ㅋㅋㅋㅋㅋㅋ 일종의 산업스파이...?그런건가요*
P0 	: 저는 맘스터치 알바랑 아이스크림 할인점 알바 해봤어요!
P1 	: 맘스터치 우왕
P1 	: 저 싸이버거 완전 좋아해요!!
P0 	: 맘스터치 알바 최대장점은 감튀를 맘대로 먹을수있단거였어요bb
P0 	: 맘터 감튀 최고bb
P1 	: 대박ㅠㅠ
P1 	: 맘터 감튀 너무 맛있어요
P0 	: 저두요!!!! 싸이버거 완전 좋아해요ㅠㅠ
P0 	: 요즘은 싸이 순살치킨도 나왔더라구요 메뉴가 엄청 다양해지고있어요 ㅋㅋㅋ
P0 	: 그쵸 다른 패스트푸드보다 맘터감튀가 젤 맛난거같아요
P1 	: 혹시 추천하시는 메뉴가 있으신가용?
P0 	: 맘터 추천메뉴 말씀이세요??
P0 	: 저 맘터 알바 해본지가 벌써 꽤 오래전이라
P0 	: 제가 알바할때는 햄치즈 휠렛버거가 잘나갔거든요? 근데 지금은 모르겠어요!!ㅋㅋㅋ 메뉴가 워낙 다양해서...
