# FILE DATA
ID : MDRW2100021104
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 내일 아침 메뉴 정하셨나용 ㅎ
P1 	: 저 내일 아침은 건너뛰고 점심에 라볶이 먹기로 했답니다~~! &name1&님은요?ㅎ.ㅎ
P0 	: 앗 진짜요~~?
P0 	: 저는 낼 도시락 직접 싸려구 아까 재료 준비했어요!
P1 	: 우와 헐 도시락 직접 싸서 드세요?!?!?!?!?!?
P1 	: 주로 반찬이 무엇인가요 대박 넘 부지런하시다....
P0 	: 넹 ㅋㅋㅋ 보통 한그릇음식 같은거 먹어요
P0 	: 낼은 바게트 썰어서 그 위에 소스 바르고 연어랑 삶은계란이랑 채소 얹어서 가져가려구요!
P1 	: 우와..... 진짜 진짜 대단하세요 진짜로...
P1 	: 점심에 도시락싸기 했었는데 저 일주일만에 포기했거든요,,,
P0 	: 헤헤 그거 아침에 싸세요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 다신,,, 안하겠다고 결심했답니다ㅠㅠ 네!!!!
P1 	: 아침마다 했더니 막 너무 지치는거예요ㅠㅠㅋㅋㅋ 나중엔 반찬도 두고가고,,
P0 	: ㅋㅋㅋ 아침에 싸면 당연히 힘들죠 ㅠㅠ
P0 	: 저 그래서 전날 밤 자기 직전에 해요!!
P1 	: 그냥 백반집가서 공깃밥 챙겨 온 사람 됐어요ㅋㅋㅋㅋ
P1 	: 우와 저도 그렇게..할...걸 그랬나봐요,,,
P1 	: 근데 막 안식는 메뉴는 괜찮은데 식는메뉴들은 어떻게 하세요?!
P0 	: 저 회사에 전자레인지가 있어요 ㅎㅎㅎ
P0 	: 그래서 데워먹으면 돼요!
P0 	: 근데 보통은 oo샐러드 같은거 준비해요 토핑만 좀 다르게 해서 치킨샐러드 고구마샐러드 이런식으로..
P1 	: 아니 진짜 엄청 클린하게 드시잖아요,,, 앤디님 막 배달음식 잘 안드시죠,,,,
P1 	: 왠지 진짜 그럴거 같은데요?!
P0 	: 네 저 잘 안먹어요 ㅜㅜ
P0 	: 저 배달의민족도 딱 한군데만 시켜요
P0 	: 매주 금요일마다 할인행사하는 치킨집...ㅋㅋㅋ 리뷰모음도 그 집 밖에 없네요
P0 	: 한창 식단관리 할 때에는 치킨먹고 싶으면
P0 	: 직접 손질해서 에어프라이기에 돌려먹고 그랬어요 ㅎㅎ
P1 	: 우와.........
P1 	: &name1&님 의지력 너무 최고인데요?
P1 	: 전 식단관리하다가 백신맞고,,, 전부 와장창됐어요 ㅠㅠㅋㅋㅋㅋ
P0 	: 제 복근을 위해서라면 이정도 쯤은 감수해야죠 ㅠㅠ
