# FILE DATA
ID : MDRW2100021694
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 세종
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋ그래서 검색한번씩하고 가는데 요즘은 돈받고 후기쓰는 사람들이 많아서ㅠㅠ
P1 	: 제가 아는 분도 블로거라 몇번 같이 다닌적 있는데 좋은얘기밖에 안쓰더라구요~
P0 	: 아 그건 그래요 ㅠㅠ 저도 그래서 검색할 때 +내돈내산 +존맛 이런거 넣어서 검색해요 그러면 좀 검색어에 협찬글은 걸러지더라구요
P0 	: 블로그 정보 얻기는 좋은데 그런게 좀 안좋아요ㅠㅠ 열심히 읽으면 맨아래에 소정의 협찬을 받은 포스팅이라고 적혀있고ㅠㅠ
P0 	: 그나마 지인 통해서 가는 맛집이 제일 실패확률은 적은 것 같아요
P1 	: 그쳐... 맛있기도 했는데 너무 좋은말만써서 진짜 믿을거 없다 싶었어요 ㅋㅋㅋ
P1 	: 맛집도 인맥찾아 가야한다니ㅠㅠ
P0 	: 그니까요 ㅠㅠㅠ근데 저렇게 말했어도 전 지인이 많지 않아서 알려줄 사람이 별로 없어요 ㅠㅠㅋㅋ
P1 	: 그러기는 저도 마찬가지 ㅋㅋㅋㅋ
P1 	: 저는 그냥 그 가게 몇개 찝어놓고 네이버영수증 리뷰를 보는편이에요!
P0 	: 아! 헛 그생각은 못했어요 영수증리뷰
P1 	: 거긴 진짜 방문한 사람들 리뷰만떠서 믿을만 하더라구요
P0 	: 그러니까요 그것도 엄청 유용하겠는데요
P1 	: 강추하는 메뉴도 알수있어요 ㅋㅋ
P0 	: 왜 전 그런걸 지금 알았을까요 ㅠㅠㅠ
P0 	: 그쵸 그럼 거기서 추천해주는건 꼭 먹어야죠 ㅋㅋ
P0 	: 나중에 저도 애용해야겠어요 ㅋㅋㅋㅋ
P0 	: 완전 꿀팁이에요!
P1 	: 저는 진짜 맛있으면 완전 추천하는 맛집이라고 대박흥분해서 쓰는편이거든요ㅋㅋㅋㅋ
P0 	: &name2&님 리뷰가 뭔지 알 수 있다면 찾아서 보고 맛집 찾아가고싶어요 ㅋㅋㅋ
P0 	: &name2&님은 좋아하는 음식점 생기면 자주 가시는 편이세요 아니면 가끔 한번씩 가시는 편이세요?
P1 	: 저는 맛있다고 생각하면 질릴때까지 갑니다 .....
P1 	: 제 신조예옼ㅋㅋㅋㅋㅌㅌ
P0 	: 왘ㅋㅋㅋㅋ 끝장을 보시는 타입이시군요 ㅋㅋㅋㅋ
P0 	: 최근에도 그런 음식 있으세요??
P1 	: 최근에는.... 새롭게 나타나는 음식이 없네요ㅜㅜ
P1 	: 저는 쌀국수와 샤브샤브가 몇년째...ㅋㅋㅋ
P0 	: 그 음식들은 질릴때가 아니라 평생 &name2&님과 함께 할 것 같은데요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ동반음식
P0 	: 맞아요 요즘 딱 이렇다 할 정도로 맛있는게 없어요 ㅠㅠㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ동반음식 단어 좋은데요??
P1 	: 전 예전에 교촌치킨 레드오리지날에 빠져서 일주일에 한번씩 먹은적있구...
P1 	: 버거킹 와퍼에 빠져서 일주일 내내먹고 일주일에 몇번씩 먹었던적있어요 ㅋㅋㅋ
P0 	: 우와 대단해요 그렇게 드셔도 질리지 않으시는거에요?
P1 	: 넼ㅋㅋㅋㅋㅋ
P1 	: 저는 음식에 그만큼 진심입니다 ㅋㅋ
