# FILE DATA
ID : MDRW2100023621
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 헤드윅은 초반은 신나는 노래가 나오는데 중후반은 좀 잔잔한 노래가 나와서 더더욱
P0 	: 와 ㅋㅋ 조승우님 뮤지컬도 보셧겟죠?
P0 	: 궁금해요오
P1 	: 조승우 헤드윅 봤죠
P1 	: 그것도 지금처럼 대극장은 아니고 중소극장이던 시절에
P1 	: 캐해석 변했을 수도 있는데
P1 	: 제가 봤을땐 처연했어요
P0 	: 지금이순간~~~이건 뭐엿죵
P0 	: 와 근데 진짜 진성 뮤덕 멋잇어요
P1 	: 지킬앤하이드 요
P0 	: 와 와 하게되네요 진쨔
P0 	: 뮤지컬은 공연비가 비싸서 총알도 많이들꺼같은데
P0 	: 제대로 즐기시는거같아서 멋잇어욥
P1 	: ㅋ.... 네... 비싸죠....
P1 	: 통장보면 한숨 나는데
P1 	: 그래도 뭐 후회는 안해요..
P0 	: 그쳐ㅋㅋ진짜 장난아니더라구요 이십씩 나가니깐
P0 	: ㅎㅎ
P1 	: 솔직히 뮤 없었음 삶에 재미란게 많이 없어졌겠죠
P0 	: 그래도 뮤지컬보니까 너무좋고 이왕보는거 좋은자리가 너무 간절하더라구요
P1 	: 초창기 새싹 뮤덕땐 걍 가장 싼 자리 가고 했었는데
P0 	: 새싹ㅋㅋ귀욥
P0 	: ㅋㅋㅋㅋ
P0 	: 이제는 새싹말구 먼가요
P1 	: 그러다 한번 vip석 맛보면 그냥 리미트 해제가 되는거에요
P1 	: 이젠 그래도 묘목쯤은 되지않을까요? ㅋㅋ
P0 	: 저는 뭔가 뮤지컬보고나오니까
	  진짜 문화생활 햇다? 이런 느낌이 확들엇어요
P0 	: 그 느낌이 넘 좋앗어요
P0 	: 금손님 티켓팅 팁좀주세요
P1 	: 그쵸, 괜히 종합예술이라 하는게 아녜요.
P0 	: 저도 좋은자리에서 보고싶다구요ㅜㅜ
P1 	: 아... 저도 똥손인데
P1 	: 그래도 굳이 팁이 있다면 서버시간 꼭 맞추시고요
P1 	: 대충 컴이나 폰 서버 상태봐서 새로고침을 5초전에 할지 1초전에 할지 판단을 잘해야해요
P1 	: 반쯤은 운입니다.
P1 	: 로딩걸리면 답없는거에요
P0 	: 와씨....ㅎㄷㄷ
P0 	: 지킬앤하이드는 졸리고 그런 공연아니겟져
P1 	: 어... 졸리진 않아요
P0 	: 주서들은건 많아가지고 유명하다싶은건 보고싶어요 ㅎㅎ
P1 	: 졸수도 있는데 그런분들은 2막 중간쯤에 개깜짝 놀라실듯요
P0 	: 조승우님 지킬
P1 	: 이번 시즌 안하셔요
P0 	: 존버하면 그날이오겟죵 ㅜ
P1 	: 대신 홍광호님이 계시긴 합니다
P0 	: 오 그분도 유명한분이시죠?
P0 	: 들어본거같아욤
P1 	: 네ㅎㅎ
P1 	: 만약 보실거면 오늘 2시 샤롯데씨어터 선예매로 지킬 티켓팅이 있어요 ㅎㅎ
P0 	: 저는 지방인 이라서 진짜 맘먹고 가야해유
P0 	: 슬퍼요
P0 	: ㅎㅎ오늘 선예매하시나요?
P1 	: 제가 노리고 있던 회차가 티몬 전관으로 빠졌다해서 그냥 이번 티켓팅은 제끼려구요
P1 	: 티몬을 노려야죠 ㅎㅎ
P0 	: 와우
P0 	: 지킬앤하이드 보시는구나
P0 	: ㅎㅎ
P1 	: 하하하, 제 본진들이 거기 계시네요..   하하하
