# FILE DATA
ID : MDRW2100026611
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  4
contact_frequency  :  주 3회 이상

P0 	: 연애..결혼..세상에서 제일 남의 일인 것들
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ인정합니다...
P1 	: 이 나이대가 벌써 결혼적령기에 들어간다는 사실
P1 	: 납득할 수 없어요
P0 	: 어떻게 이 핏덩어리같은 나이에 결혼할 수가
P0 	: 스스로를 핏덩어리라고 말하는 대담함
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐티하니까 괜찮다구요
P1 	: 솔직히 96 97이 어떻게 어른이야
P1 	: 세상이 다 거짓말 같다...
P1 	: 00년 이후로 사람 안 태어나지 않았나요?
P0 	: 요즘같은 시대엔 사회초년생인데 떼잉
P0 	: 내동생 00이라 아마 01부터 없어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ마자 제 동생도 99라서
P1 	: 아마 01부터 확실히 없나보다...
P1 	: 정말....저희 어머니는 슬슬 결혼압박을 하기 시작하시는데
P1 	: 심지어 취업도 안 했다구요 저
P0 	: 결혼압박?? 말도안된다 아기가 무슨 결혼을 해
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 나 이래서 &name1& 좋아ㅠㅠㅠㅠ 응애에용
P0 	: 많은 남자를 만나보며 후려볼 나이야
P0 	: 안 만나는 게 더 좋고
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 너무좋아 마자요 안 만나는 게 좋죠
P1 	: 그리고 액정을 통해 만나고 있는걸...
P1 	: 요즘 남돌 얘기 너무 많이해서 송구해요...
P1 	: 이자리를 틈타 사과하기
P0 	: 왜사과를하죠?
P0 	: 그것도 일종의 연애입니다
P0 	: 저도 일종의 연애를 하고 있습니다
P0 	: 종이와...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠ
P1 	: &name1& 요즘 누구랑 연애하세요...
P1 	: 저도 궁금해요... 알고싳어요
P0 	: 저..잘 모르겠어요..무협지남자에게 설레는데
P0 	: 이게 좀? 연애보단 효심같은?
P1 	: 헐... 무협지 남자 좋죠
P1 	: 아 그 감정 뭔지 알죠알죠
P1 	: 저도 연애보단 봉양받는듯한? 기분으로
P1 	: 살고 있긴 하거든요
P1 	: 화산....그건가요?
P1 	: 하.... 기억이 왜 안나지
P1 	: 화산귀환!!!!!
