# FILE DATA
ID : MDRW2100027939
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 경북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 로아해
P1 	: 커마하면서말이지
P0 	: 커마는 심즈지
P1 	: 로아신캐해봐
P1 	: 재밋어
P0 	: 컴터앞에 치우기힘듦
P0 	: 철면수심
P0 	: 티원들어간거봤나
P1 	: 으어?
P1 	: 티원들어감?
P0 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 풍형이랑 비슷한줄
P0 	: 알았는데 티원이라니
P1 	: 소오오오오름
P1 	: 티원..
P0 	: 티원들어갔잖슴~
P1 	: 잘하시는분이였넹
P0 	: ㅋㅋㅋㅋㅋㅋ개웃김
P0 	: 억울해하는거
P0 	: 진짜 준하형같음
P1 	: 정준하?
P0 	: ㅇㅇ
P0 	: 근데 티원 스트리머계약이래
P0 	: 롤이랑상관없댕
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아아
P0 	: 철면짬뽕
P1 	: 아
P1 	: 짬뽕먹고싶따
P0 	: 메이플스토리는
P0 	: 또난리네
P1 	: 넥슨이
P1 	: 넥슨한거지
P0 	: 헐 양궁부착샷
P0 	: 개귀엽다
P1 	: 그게
P1 	: 모야
P0 	: 메이플스토리
P0 	: 옷
P1 	: 아항
P0 	: 양궁세트
P1 	: 아직하나 메이플 석지니
P0 	: 안산쿵야 존똑
P0 	: 어젠가 공모전땜에
P0 	: 욕먹음ㅠ
P1 	: 왱
P0 	: 걍 모르는게좋아
P1 	: 우웅
P1 	: 구래
P0 	: 메이플에 돈안써서
P0 	: 다행이다
P0 	: 방탄패키지는 예뻤지만
P1 	: 마쟈
P1 	: 메이플깔지도아늠
P0 	: 난 50인가 60까지
P0 	: 했는뎅
P1 	: 메이플몬하겟엉
P0 	: 컴겜 또 다시 시작하면
P0 	: 밤새서안돼
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데ㅜ할겜도 없음..
P1 	: 난 로아 2시간3시간정도하는뎅
P0 	: 그정도면 걍
P0 	: 일퀘만하는거아냐?
P1 	: 3시간정도면
P1 	: 섬마3개는먹지
P0 	: 리듬하이브도 좀 해
P1 	: 우웅
P1 	: 리듬겜은
P1 	: 디제이맥스가짱인뎅
P0 	: 유료겜이잖아
P1 	: 스팀에서사면됭
P0 	: 그럴바에 리듬하이브해서
P0 	: 애들카드뽑겠다
P0 	: 슈퍼하드
P0 	: 난이도
P0 	: 너무재밌어
P1 	: 어렵지않낭
P0 	: 그니까재밌제
P0 	: ㅣ
P1 	: 우웅 열심히 하라
