# FILE DATA
ID : MDRW2100030232
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 전남
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 근데 저 엄청 내성적이에요ㅎㅎㅎ
P1 	: 음.. 슬의생에 곰과 같애요ㅎㅎ
P1 	: 아들도 그래요?ㅎ
P0 	: 내성적이진 않는데
P0 	: 부끄러움을 잘타요 ㅋ
P1 	: ㅎㅎ그게비슷한거아니에요?ㅎㅎ
P1 	: 그럼 질문하면 알겠네요ㅎ 엘레베이터 탈때 어디쪽에 타요? 아들은?
P0 	: 음 그냥 제옆에요  ㅎ
P1 	: 중간 ? 사이드?
P1 	: 아~ 아직은 옆에 있겠구나ㅎㅎ
P1 	: 사이드부분에 있으면 내성적인거고
P0 	: 엘베 눌르고 저한테 와요 ㅎㅎ
P1 	: 중간에 있으면 외향적인거래요ㅎ
P1 	: 모든 애들이 그러니ㅎ 그건패쓰~ㅎ
P0 	: 근데 보통 다 사이드 있지 않나요 ㅎㅎ
P1 	: 어린이집에서 애들하고 잘지내요?ㅎ
P1 	: 중앙에 있는분도 있죠ㅎㅎ
P0 	: 아 ㅋㅋ
P0 	: 친구들하곤 잘 어울려요 ㅎㅎ
P1 	: 오오ㅎ 그럼 완전 내성적이진 않네요ㅎ
P1 	: 저희딸은 저닮아서그런지.. 집에서는 말괄량이..ㅎㅎ 어린이집에서는 완전 내성적이에요
P1 	: 잘놀고 한다고하는데.. 왠지 그렇지 않는듯요ㅠ 한번씩 물어보면 대답을 잘 못하더라구요ㅠ
P0 	: 부끄러워서요 ㅋ
P1 	: 진짜궁금해서 딸이 말해주면 좋은데.
P1 	: 저는 딸이 뭐하는지 너무 궁금해요ㅎ 물론 아내를 통해서 듣지만 그래도 아이에게 듣는게 더 정확하니깐ㅎ 꼭 물어보는데 잘 말안하더라구요
P0 	: 곰곰이 전화 한번 해보세요
	  마음 이야기는 아닌데 어떤주제를 주면 
	  아이가  말하는건데
	  옆에셔 듣고 잇음 아 이이가 이런생각하구나 ㅋ 
	  신기해요
P0 	: 베이비 스토리에 잇어여 ㅎㅎ
P0 	: 예시로  물고기는 어떻게 이야기를 할까?  
	  이런 질문에
	  아이가 대답하는거 녹화할수있는 기능이에요 ㅎㅎ
P1 	: 아아ㅎ 그런게 있군요ㅎㅎ
P1 	: 이제 왔어요ㅎㅎ 에고에고ㅎ 너무늦었죠ㅎㅎ 해봐야겟습니당ㅎ
P0 	: 아뇨 ㅋㅋ
P0 	: 저도 앱테크 한다고 정신없엇네요 12시까지
P1 	: ㅎㅎ 글죠글죠ㅎㅎ
P1 	: 저도 오늘부터 해야겟습니다ㅎ 기가지니도해랴하는대
P1 	: 아참ㅍ
P0 	: 네넵
P1 	: 애기가 너무 좋은데ㅎ 말안들을때는 어쩔때보면 밉기도하고ㅎ 삐치면 어쩔때는 귀엽기도하고ㅎㅎ
P1 	: ㅎㅎ 그냥 마냥 다좋은것같애요ㅎㅎ 제 아이니깐ㅎㅎ
