# FILE DATA
ID : MDRW2100032054
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 아아 마시고 있어요
P0 	: 저는 어제 내려 놓은 거 많이 내려 놔서 다 못 먹고 나머지 뭐 하시고 있어요
P1 	: 남편은 카페라떼를 마시는데
P0 	: 전 어제 처음 먹을땐 따뜻했지만 지금은 시원합니다
P1 	: 2천 원이나 비싸요
P0 	: 라떼가 2,000원이다 비싸다구요 우유 값이 2천 원인가요
P0 	: 너무하네요
P1 	: 아메리카노만 모닝 할인 하거든요
P0 	: 아포카토가 먹고 싶네요 너 먹는 아이스크림이 있었더라면 좋았을 텐데
P1 	: 1900원 이거든요
P1 	: 라떼는 3900원
P0 	: 아 할인이 되어서 싼 거였군요 어쩐지 제주도 커피숍은 다들 비싸더라고요
P1 	: 아메리카노도 11시 이후에는 2,900원
P1 	: 그래서 항상 11시 전에 헐레벌떡 옵니다
P0 	: 아 그렇다면 가격이 이해가 가네요 아메리카노는 남는게 많을 텐데 그죠
P1 	: 모닝 타이밍을 놓칠 수 없으니까요
P0 	: 맞아요 천원이나 할인 되는데 할인 못 받으면 안 되죠
P1 	: 네 여기 자리가 엄청 넓어서 소파에서 잠을 잘 수도 있어요
P0 	: 강제 일찍 기상 되시겠어요
P1 	: 자리 비우는 것도 1시간은 봐 줍니다
P0 	: 가서 잠을 청하면 되겠군요
P1 	: 그래서 어떤 사람은 하루 종일 있다가 가더라고요
P0 	: 그러면 밥 먹고 오시나요
P0 	: 그런데 그건 민폐인 거 같아요
P1 	: 음식은 2,000원 추가하면 고를 수 있어요
P0 	: 회전율이 높아야 돈을 벌 것 아닐까요
P1 	: 여기는 사람이 머무르는 걸 신경 쓰지 않는 곳이에요
P0 	: 남편은 카페라떼 2,000원 추가해서 음식을 먹나요
P0 	: 분위기가 좋군요
P1 	: 그래서 카 공족이 가장 많아요
P0 	: 오늘은 아메리카노만 마신 됐나요
