# FILE DATA
ID : MDRW2100035655
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그러게용ㅋㅋㅋㅋㅋ
P0 	: 아침 드셨나요?
P1 	: 네 오늘 아침 시리얼 먹었어요 ㅋㅋ
P1 	: 저녁 드셨나요?
P0 	: 이제 먹으려구용!!
P0 	: 저녁 드셨어요?
P1 	: 저도 이제 먹으려고 준비중이에요!!
P0 	: 오오 어떤거 드세요??
P1 	: 그냥 집에 있는 반찬에 먹으려구요
P1 	: &name1&님은 뭐 드세요?
P0 	: 아항~
P0 	: 저는 김치전에 된장국이요!
P1 	: 와 맛있겠네요 제가 전 중에서 제일 좋아하는 게 김치전이거든요
P1 	: 오늘 비도 오는데 먹고 싶네요 ㅋㅋ
P0 	: 오오 &name2&님도 좋아하시는군요!
P0 	: 오징어도 넣었슴닷!
P0 	: 그쵸~  날이 이러니 엄청 생각나더라구요
P1 	: 와 오징어라니 탁월하시네요 ㅋㅋㅋ
P0 	: 그쵸! 진짜 오징어 너무 맛있구 감자도 넣구ㅋㅋㅋ
P0 	: 이것저것 넣어서 먹슴닷!
P0 	: 역시 엄마표가 최고에요!
P1 	: 진짜 맛있을 것 같아요!!
P1 	: 아하 맞아요 엄마표 최고
P1 	: 제가 하면 반죽에서부터 망삘이 흘러넘치는데 말이죠 ㅋㄱㄱ
P0 	: 저두용ㅋㅋㅋ
P1 	: 역시 엄마표 요리가 최고에요
P0 	: 맞아요!
P0 	: 못따라가죵
P0 	: 손맛이 진짜 크으
P1 	: 맞아요 진짜 특히 전이나 국같은 류는 엄마들이 계량도 대충해도 잘하시잖아요
P0 	: 맞아요!
P0 	: 저는 맞춰서해도 간당간당인데
P1 	: 요리 못하고 자취하고 있는 저는 맛있는 전을 먹으려면 배달밖에 방법이 없네요 ㅋㅋㅋ
