# FILE DATA
ID : MDRW2100039984
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 집이 거제라고 햇는데
P1 	: 은행이 광주은행이더라구요 ㅎ
P0 	: 헐 무섭네요
P1 	: 먼가 경상도가.....광주은행???
P0 	: 그래도 눈썰미가 있으셨나봐요
P1 	: 여기서부터 조금 이런 의심이 들었는데
P1 	: 안심결제하는건데 수수료는 자동 차감되야 하는거 아닌가요?
P1 	: 근데 수수료를 내가 계산해서 보내라는거예요
P1 	: 여기서부터 의심이 들기 시작해서
P0 	: 수상한건 말이 많아요
P1 	: 책 사진 좀 찍어서 달라니까
P1 	: 게시판에 있는 사진들을 보내더라구요
P0 	: 와 심하네요
P1 	: 그리고 때마침 제가 이걸로 머리굴리는동안
P1 	: 아이들이 목욕탕에 넣어놨는데 욕실은 난장판을 만들고 있더라구요 ㅎ
P0 	: 힘드셨겠어요ㅋㅋㅋ
P1 	: 그래서 그냥 에잇~ 그쪽한테는 안하겠다고하고
P1 	: 욕실 수습했죠 ㅋㅋㅋ
P0 	: 당하려면 다알아도 코베이잖아요
P0 	: 타이밍이 좋으셨네요
P1 	: 그러고나서 중나가보니 그 사기꾼이 올렸던 글이 삭제되어 있더라구요
P1 	: 그러고는 담날 또 올라오고 같은 사진들이 ㅎ
P0 	: 와 대박
P1 	: 댓글 달고 싶었어요 ㅎㅎ 사기꾼이라고...
P0 	: 진짜 저라도 열받을거같아여
P1 	: 근데 그랬다간 그사람은 저희집주소 전화번호 넘겨줬던 상태라...
P0 	: 아아 그럼좀 찜찜하져
P1 	: 신랑이 하지마라고 무슨 헷꼬지 할지 모른다고 참으라고 해서 ㅎㅎ
