# FILE DATA
ID : SDRW2100001717
category :  구어 > 사적대화 > 일상대화

# DOCUMENT DATA
title : 2인 일상 대화
author : 개인 발화자
publisher : 개인 발화 녹음
date : 20211202
topic : 가족 > 가족의 결혼 행사

# SPEAKER_INFO
id : SD2101901
age : 30대
occupation : 주부
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 경기
education : 대학원 이상

id : SD2101902
age : 30대
occupation : 무직/취업준비생
sex : 여성
birthplace : 울산
principal_residence : 충북
current_residence : 경기
education : 대졸

# SETTING
relation  :  부부


P0 	:저번 주에 우리 인천에 가서 오빠 만나고 왔었잖아? /
	 근데 오빠랑 얘기를 해 보니까. /
	 내후년 쯤에 결혼할 생각이 있는 거 같더라고. /
	 원래 우리 오빠가 별로 결혼 생각은 없었는데. /
	 아무래도 우리가 올해에 결혼도 하고 / 그런 걸 보니까 오빠도 그런 생각이 들었나 봐. /
	 그리고 여자 친구랑도 꽤 오래 사귀고 했으니까. /
	 빨리 결혼했으면 좋겠는데. /
	 그나마 이제 결혼 생각이 조금 생겼다고 하니까. /
	 다행인 거 같아. /
	
P1 	:저번에 안 그래도 형님 보고 왔을 때 보니까. /
	 결혼 생각이 많이 있으신 거 같더라고. /
	 저번에 여자 친구랑 / 우리 집에도 놀러 왔었잖아. /
	 그때 보니까 둘이 되게 잘 어울리더라고. /
	 여자 친구 분도 성격도 좋으신 거 같고 / 형님은 워낙 성격이 좋으니까. /
	 둘이 잘 맞는 거 같았어. /
	
P0 	:그렇긴 하지. /
	 그 여자 친구랑 내가 옛날부터 같이 만나고 했었는데. /
	 애가 예의도 바르고 나보다 나이는 많이 어리지만 / 성숙한 면이 있더라고. /
	 집에서도 첫째라서 그런지 책임감도 있고 / 알뜰하기도 하고 그래서 결혼하면 괜찮을 것 같아. /
	 내후년 쯤에 우리 오빠가 김해 쪽으로 가게 되면 / 그때 결혼을 할까 생각 중이라고 하더라고. /
	 김해로 가면 우리 집이랑도 가깝고 좋긴 한데. /
	 우리도 그 근처로 가게 되면 / 오빠 네랑 자주 어울려서 놀 거 같아. /
	
P1 	:아무래도 / 집 근처에서 있는 게 제일 좋긴 하지. /
	 형님이 얼른 그 밑에 지역으로 내려가야 좋을 텐데 말이야. /
	 그래야 여자 친구랑 결혼도 조금 더 빨리 할 수도 있고 / 아무래도 형님은 / 지금 우리가 결혼한 지 일 년 정도 돼서 그런지 / 그거 보면서 많은 생각이 드시는 거 같더라고. /
	 가끔 놀러 가서도 보면 / 형님이 조금 결혼 생각이 있으신 거 같은 느낌이 들었어. /
	 얼른 결혼을 하셨으면 좋겠어. /
	
P0 	:나도 그런 생각이야. /
	 그나저나 도련님도 이제 여자 친구 생겼다고 하던데. /
	 한 달 정도 된 거 같더라고. /
	 이번 주말에 여자 친구랑 놀러 온다는 소리도 있던데. /
	 과연 이번 주말에 올지 안 올지 그게 궁금한 거 같아. /
	 왜냐면 우리가 주말에 없는데. /
	 주말에 있을 때 에버랜드 같은데 놀러 오면 좋잖아? /
	 그래서 도련님한테 연락을 해 봐야겠어. /
	
P1 	:저번에 나한테 연락 왔었는데. /
	 언제 올지는 답을 안 해 주더라고. /
	 우리가 이번 주에 내려가니까. /
	 그날 얘기해 봐도 되고 / 아니면 뭐 우리 없을 때 와도 큰 상관은 없지. /
	 어차피 차를 들고 오는 것도 아니고 / 동생이랑 동생 여자 친구랑 / 둘이서 그냥 놀러 왔다 가는 거니까. /
	 큰 문제는 없을 것 같아. /
	 우리가 있어도 뭐 / 같이 저녁 정도 아마 먹는 거밖에 안 할 것 같은데. /
	 둘이 왔다 가라 해도 돼. /
	
P0 	:그건 그렇긴 하지. /
	 근데 우리 집 근처에 놀러 오니까. /
	 기왕이면 우리가 있을 때 올라 와서 얼굴도 보고 하면 좋잖아? /
	 근데 우리가 어차피 내일 시댁에 갈 거니까. /
	 그때 도련님 보긴 해서 큰 상관은 없을 거 같아. /
	 근데 일요일 날 / 큰할아버님 제사가 있다고 했잖아? /
	 그래서 어머님 댁에 이모님이랑 / 외삼촌이랑 외숙모랑 그 가족들이 / 다 올 수도 있다고 하더라고. /
	
P1 	:아 그렇더라고. /
	 외삼촌 하고 외숙모 하고 / 다 오시는 건 상관이 없는데. /
	 큰이모까지 오시면 / 아마 잠자리가 조금 부족하다고 엄마가 그러는 거 같았어. /
	 근데 뭐 큰 상관은 없을 거 같애. /
	 우리 다 어차피 잘 수 있는 공간이 있고 / 외삼촌도 저번에 / 우리 외삼춘 별장에서 봤었잖아. /
	 그래서 거기서 본 것처럼 / 편안하게 그냥 있어도 될 거 같거든. /
	 이모는 잠깐 봐서 / 여보가 조금 불편할 수도 있지만 / 그래도 뭐 그날도 잠깐 볼 거니까. /
	 큰 문제는 없을 거 같아. /
	
P0 	:어머님이랑 나도 얘기를 해 봤었는데. /
	 잠자리 문제가 / 방이나 거실에 아무 데서나 자도 되지만 / 이불이 조금 부족하신 거 같더라고. /
	 그래서 그것 때문에 걱정을 하시길래 / 만약에 그날 이모님이랑 외삼촌이랑 다 오면 / 우리가 이불 가져가면 된다고 그렇게 말씀은 드렸었어. /
	
P1 	:그렇지. /
	 집에 있는 이불 챙겨 가면 되지. /
	 우리 집에 가서 잘 때 이불 없는 게 / 큰 문제는 아니니까. /
	 집에 있는 거 챙겨 가면 돼. /
	 외삼춘이랑 저번에 경주에서 / 우리 만난 적 있었잖아? /
	 그때처럼 그냥 / 맛있는 거 먹고 편하게 놀면 될 거 같은데. /
	
P0 	:그때 우리가 결혼하고 / 삼 개월쯤 됐을 때 외삼촌 별장에 놀러 갔었잖아? /
	 나는 시댁 친척들을 처음 뵙는 자리여서 / 조금 걱정이 됐었는데. /
	 외삼촌이랑 외숙모가 워낙 편하게 해주셔서 / 그때 재밌게 놀고 왔던 거 같아. /
	
P1 	:저번에 외삼촌이 / 엄청 좋았다고 그랬었어. /
	 여보랑 같이 / 외삼촌 만나러 간 게 제일 좋다고 하더라고. /
	 엄마도 그게 제일 좋다고 했었지. /
	 그날 거기서 놀 때 / 엄청 먹을 것도 많이 먹었었고 / 재밌었던 기억이 있어서 / 거기 또 놀러 가고 싶긴 해. /
	 외삼촌 이번에 올라오면 얼굴도 한번 보고 / 여보랑 같이 또 놀고 하면 좋을 거 같은데. /
	
P0 	:외삼촌은 불편하지 않아서 오시는 것도 좋지. /
	 이모님은 그때 너무 잠깐 봬서 / 다시 뵙는 것도 괜찮을 것 같아. /
	 우리 저번에 경주에서 외삼촌네 집에 갔을 때도 / 소고기랑 돼지고기랑 / 닭고기 이런 거 다 준비해 주셨잖아? /
	 그날은 정말 오후 다섯 시부터 시작해서 / 거의 새벽 한 시가 될 때까지 / 먹고 마시기만 한 거 같아. /
	 엄청 잘 챙겨주시더라구. /
	
P1 	:그때 정말 많이 먹고 놀았었지. /
