# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.6
metadata : {}


# id : NWRW1800000021.6.1.1
與, 쟁점법안 대폭후퇴 끝 타결

與,	與/SH+,/SP
쟁점법안	쟁점/NNG+법안/NNG
대폭후퇴	대폭/MAG+후퇴/NNG
끝	끝/NNG
타결	타결/NNG


# id : NWRW1800000021.6.2.1
여야가 6일 임시국회 종료 이틀을 남기고 주요 쟁점법안 처리 문제를 일괄 타결했다.

여야가	여야/NNG+가/JKS
6일	6/SN+일/NNB
임시국회	임시/NNG+국회/NNG
종료	종료/NNG
이틀을	이틀/NNG+을/JKO
남기고	남기/VV+고/EC
주요	주요/NNG
쟁점법안	쟁점/NNG+법안/NNG
처리	처리/NNG
문제를	문제/NNG+를/JKO
일괄	일괄/NNG
타결했다.	타결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.2.2
이로써 지난해 12월 10일 개회 이래 4주 동안 야당의 본회의장 불법 점거와 국회의장의 질서유지권 발동 등으로 가파르게 대치했던 정국이 정상화됐다.

이로써	이/NP+로써/JKB
지난해	지난해/NNG
12월	12/SN+월/NNB
10일	10/SN+일/NNB
개회	개회/NNG
이래	이래/NNB
4주	4/SN+주/NNB
동안	동안/NNG
야당의	야당/NNG+의/JKG
본회의장	본회의장/NNG
불법	불법/NNG
점거와	점거/NNG+와/JC
국회의장의	국회/NNG+의장/NNG+의/JKG
질서유지권	질서/NNG+유지/NNG+권/XSN
발동	발동/NNG
등으로	등/NNB+으로/JKB
가파르게	가파르/VA+게/EC
대치했던	대치/NNG+하/XSV+았/EP+던/ETM
정국이	정국/NNG+이/JKS
정상화됐다.	정상/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.6.3.1
▶A3·4·5·6면에 관련기사

▶A3·4·5·6면에	▶/SW+A/SL+3/SN+·/SP+4/SN+·/SP+5/SN+·/SP+6/SN+면/NNG+에/JKB
관련기사	관련/NNG+기사/NNG


# id : NWRW1800000021.6.4.1
한나라당 홍준표, 민주당 원혜영, 선진과 창조의 모임 문국현 원내대표는 이날 국회 귀빈식당에서 원내대표 회담을 두 차례 열어 미디어 관계 법안 등 쟁점 법안의 처리 방안에 대한 10개 항에 합의했다.

한나라당	한나라당/NNP
홍준표,	홍준표/NNP+,/SP
민주당	민주당/NNP
원혜영,	원혜영/NNP+,/SP
선진과	선진/NNG+과/JC
창조의	창조/NNG+의/JKG
모임	모임/NNG
문국현	문국현/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
국회	국회/NNG
귀빈식당에서	귀빈/NNG+식당/NNG+에서/JKB
원내대표	원내/NNG+대표/NNG
회담을	회담/NNG+을/JKO
두	두/MMN
차례	차례/NNG
열어	열/VV+어/EC
미디어	미디어/NNG
관계	관계/NNG
법안	법안/NNG
등	등/NNB
쟁점	쟁점/NNG
법안의	법안/NNG+의/JKG
처리	처리/NNG
방안에	방안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
10개	10/SN+개/NNB
항에	항/NNG+에/JKB
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.5.1
여야는 이견이 없는 민생법안 등 100여 건을 이번 임시국회에서 협의 처리하되 아직 상임위원회에 상정되지 않았거나 심의를 거치지 못한 법안은 9일 다시 임시국회를 열어 처리하기로 했다.

여야는	여야/NNG+는/JX
이견이	이견/NNG+이/JKS
없는	없/VA+는/ETM
민생법안	민생/NNG+법안/NNG
등	등/NNB
100여	100/SN+여/XSN
건을	건/NNB+을/JKO
이번	이번/NNG
임시국회에서	임시/NNG+국회/NNG+에서/JKB
협의	협의/NNG
처리하되	처리/NNG+하/XSV+되/EC
아직	아직/MAG
상임위원회에	상임/NNG+위원회/NNG+에/JKB
상정되지	상정/NNG+되/XSV+지/EC
않았거나	않/VX+았/EP+거나/EC
심의를	심의/NNG+를/JKO
거치지	거치/VV+지/EC
못한	못하/VX+ㄴ/ETM
법안은	법안/NNG+은/JX
9일	9/SN+일/NNB
다시	다시/MAG
임시국회를	임시/NNG+국회/NNG+를/JKO
열어	열/VV+어/EC
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.6.1
그러나 여야는 이날 합의에서 상당수 쟁점법안의 처리 시기는 물론이고 법안 상정 여부조차 정하지 못해 2월 1일 열리는 임시국회에서 이를 둘러싼 ‘제2차 입법전쟁’이 벌어질 가능성이 높다.

그러나	그러나/MAJ
여야는	여야/NNG+는/JX
이날	이날/NNG
합의에서	합의/NNG+에서/JKB
상당수	상당수/NNG
쟁점법안의	쟁점/NNG+법안/NNG+의/JKG
처리	처리/NNG
시기는	시기/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
법안	법안/NNG
상정	상정/NNG
여부조차	여부/NNG+조차/JX
정하지	정하/VV+지/EC
못해	못하/VX+아/EC
2월	2/SN+월/NNB
1일	1/SN+일/NNB
열리는	열리/VV+는/ETM
임시국회에서	임시/NNG+국회/NNG+에서/JKB
이를	이/NP+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
‘제2차	‘/SS+제/XPN+2/SN+차/NNB
입법전쟁’이	입법/NNG+전쟁/NNG+’/SS+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000021.6.7.1
여야는 최대 쟁점이었던 미디어 관계 법안 8건 중 언론중재법 등 여야 간 이견이 없는 법안 2건만 이번 임시국회에서 협의 처리하고 신문·방송 겸영 허용과 대기업 방송 진출 허용 등 여야가 맞서는 6개 법안은 이른 시일 안에 합의 처리하도록 노력하기로 했다.

여야는	여야/NNG+는/JX
최대	최대/NNG
쟁점이었던	쟁점/NNG+이/VCP+었/EP+던/ETM
미디어	미디어/NNG
관계	관계/NNG
법안	법안/NNG
8건	8/SN+건/NNB
중	중/NNB
언론중재법	언론/NNG+중재법/NNG
등	등/NNB
여야	여야/NNG
간	간/NNB
이견이	이견/NNG+이/JKS
없는	없/VA+는/ETM
2건만	2/SN+건/NNB+만/JX
이번	이번/NNG
임시국회에서	임시/NNG+국회/NNG+에서/JKB
협의	협의/NNG
처리하고	처리/NNG+하/XSV+고/EC
신문·방송	신문/NNG+·/SP+방송/NNG
겸영	겸영/NNG
허용과	허용/NNG+과/JC
대기업	대/XPN+기업/NNG
방송	방송/NNG
진출	진출/NNG
허용	허용/NNG
여야가	여야/NNG+가/JKS
맞서는	맞서/VV+는/ETM
6개	6/SN+개/NNB
법안은	법안/NNG+은/JX
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
합의	합의/NNG
처리하도록	처리/NNG+하/XSV+도록/EC
노력하기로	노력/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.8.1
한미 자유무역협정(FTA) 비준동의안은 미국 차기 행정부가 출범(이달 20일)한 뒤 이른 시일 안에 협의 처리하기로 했다.

한미	한미/NNP
자유무역협정(FTA)	자유/NNG+무역/NNG+협정/NNG+(/SS+FTA/SL+)/SS
비준동의안은	비준/NNG+동의안/NNG+은/JX
미국	미국/NNP
차기	차기/NNG
행정부가	행정부/NNG+가/JKS
출범(이달	출범/NNG+(/SS+이달/NNG
20일)한	20/SN+일/NNB+)/SS+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이른	이르/VA+ㄴ/ETM
시일	시일/NNG
안에	안/NNG+에/JKB
협의	협의/NNG
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.9.1
출자총액제한제도 폐지 법안은 이번 임시국회에서 상임위원회에 상정하되 2월 임시국회에서 협의 처리하고 금산분리 완화 법안 역시 이번 임시국회에서 상정하되 여야가 합의 처리하도록 노력하기로 했다.

출자총액제한제도	출자/NNG+총액/NNG+제한/NNG+제도/NNG
폐지	폐지/NNG
법안은	법안/NNG+은/JX
이번	이번/NNG
임시국회에서	임시/NNG+국회/NNG+에서/JKB
상임위원회에	상임/NNG+위원회/NNG+에/JKB
상정하되	상정/NNG+하/XSV+되/EC
2월	2/SN+월/NNB
협의	협의/NNG
처리하고	처리/NNG+하/XSV+고/EC
금산분리	금산/NNG+분리/NNG
완화	완화/NNG
법안	법안/NNG
역시	역시/MAG
여야가	여야/NNG+가/JKS
합의	합의/NNG
처리하도록	처리/NNG+하/XSV+도록/EC
노력하기로	노력/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.10.1
재외국민에게 대선과 총선의 투표권을 부여하는 내용의 공직선거법 개정안은 여야 동수로 정치개혁특별위원회를 구성해 2월 임시국회에서 합의 처리하기로 했다.

재외국민에게	재외/NNG+국민/NNG+에게/JKB
대선과	대선/NNG+과/JC
총선의	총선/NNG+의/JKG
투표권을	투표/NNG+권/XSN+을/JKO
부여하는	부여/NNG+하/XSV+는/ETM
내용의	내용/NNG+의/JKG
공직선거법	공직/NNG+선거법/NNG
개정안은	개정안/NNG+은/JX
여야	여야/NNG
동수로	동수/NNG+로/JKB
정치개혁특별위원회를	정치/NNG+개혁/NNG+특별/NNG+위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
2월	2/SN+월/NNB
임시국회에서	임시/NNG+국회/NNG+에서/JKB
합의	합의/NNG
처리하기로	처리/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.11.1
이에 앞서 민주당은 이날 오전 국회 본회의장과 행정안전위, 정무위 회의장 점거 농성을 풀었다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
민주당은	민주당/NNP+은/JX
이날	이날/NNG
오전	오전/NNG
국회	국회/NNG
본회의장과	본회의장/NNG+과/JC
행정안전위,	행정/NNG+안전위/NNG+,/SP
정무위	정무위/NNG
회의장	회의장/NNG
점거	점거/NNG
농성을	농성/NNG+을/JKO
풀었다.	풀/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.6.11.2
민주당은 7일엔 문화체육관광방송통신위 회의장에서 철수하기로 했다.

민주당은	민주당/NNP+은/JX
7일엔	7/SN+일/NNB+에/JKB+ㄴ/JX
문화체육관광방송통신위	문화/NNG+체육/NNG+관광/NNG+방송/NNG+통신위/NNG
회의장에서	회의장/NNG+에서/JKB
철수하기로	철수/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.6.11.3
김형오 국회의장은 6일 질서유지권 발동을 해제했다.

김형오	김형오/NNP
국회의장은	국회/NNG+의장/NNG+은/JX
6일	6/SN+일/NNB
질서유지권	질서/NNG+유지/NNG+권/XSN
발동을	발동/NNG+을/JKO
해제했다.	해제/NNG+하/XSV+았/EP+다/EF+./SF


