# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.159
metadata : {}


# id : NWRW1800000022.159.1.1
"전직 대통령이 검찰 불려가는 이 나라… 이번이 마지막이기를";각계 반응 "깨끗하다더니…" 배신감 일부 시민 "사실 아니길"

"전직	"/SS+전직/NNG
대통령이	대통령/NNG+이/JKS
검찰	검찰/NNG
불려가는	불려가/VV+는/ETM
이	이/MMD
나라…	나라/NNG+…/SE
이번이	이번/NNG+이/JKS
마지막이기를";각계	마지막/NNG+이/VCP+기/ETN+를/JKO+"/SS+;/SW+각계/NNG
반응	반응/NNG
"깨끗하다더니…"	"/SS+깨끗하/VA+다더니/EC+…/SE+"/SS
배신감	배신감/NNG
일부	일부/NNG
시민	시민/NNG
"사실	"/SS+사실/NNG
아니길"	아니/VCN+기/ETN+ㄹ/JKO+"/SS


# id : NWRW1800000022.159.2.1
30일 노무현 전 대통령이 검찰 조사를 받기 위해 봉하마을에서 400㎞를 달려 서울 서초동 검찰 청사로 들어가는 모습을 생중계로 본 시민들의 심정은 배신감과 안타까움이 교차하는 듯했다.

30일	30/SN+일/NNB
노무현	노무현/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
봉하마을에서	봉하마을/NNP+에서/JKB
400㎞를	400/SN+㎞/SW+를/JKO
달려	달리/VV+어/EC
서울	서울/NNP
서초동	서초동/NNP
청사로	청사/NNG+로/JKB
들어가는	들어가/VV+는/ETM
모습을	모습/NNG+을/JKO
생중계로	생/XPN+중계/NNG+로/JKB
본	보/VV+ㄴ/ETM
시민들의	시민/NNG+들/XSN+의/JKG
심정은	심정/NNG+은/JX
배신감과	배신감/NNG+과/JC
안타까움이	안타깝/VA+ㅁ/ETN+이/JKS
교차하는	교차/NNG+하/XSV+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.159.3.1
"상대방에게는 엄격하고 자신에게는 관대했던 참여정부의 '편의주의적인 도덕적 우월주의'가 붕괴한 것"이라는 평가도 있었고, "(부정한 돈을 받았다는 것이) 제발 사실이 아니길 바란다"는 반응도 나왔다.

"상대방에게는	"/SS+상대방/NNG+에게/JKB+는/JX
엄격하고	엄격/NNG+하/XSA+고/EC
자신에게는	자신/NNG+에게/JKB+는/JX
관대했던	관대하/VA+았/EP+던/ETM
참여정부의	참여/NNG+정부/NNG+의/JKG
'편의주의적인	'/SS+편의주의/NNG+적/XSN+이/VCP+ㄴ/ETM
도덕적	도덕/NNG+적/XSN
우월주의'가	우월주의/NNG+'/SS+가/JKS
붕괴한	붕괴/NNG+하/XSV+ㄴ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
평가도	평가/NNG+도/JX
있었고,	있/VA+었/EP+고/EC+,/SP
"(부정한	"/SS+(/SS+부정/NNG+하/XSA+ㄴ/ETM
돈을	돈/NNG+을/JKO
받았다는	받/VV+았/EP+다는/ETM
것이)	것/NNB+이/JKS+)/SS
제발	제발/MAG
사실이	사실/NNG+이/JKC
