# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.196
metadata : {}


# id : NWRW1800000022.196.1.1
남궁민 지식경제부 우정사업본부장;"세계 최고의 우편 IT기술 활용 국제적 물류서비스 조직 될 것"

남궁민	남궁민/NNP
지식경제부	지식/NNG+경제부/NNG
우정사업본부장;"세계	우정/NNG+사업/NNG+본부장/NNG+;/SW+"/SS+세계/NNG
최고의	최고/NNG+의/JKG
우편	우편/NNG
IT기술	IT/SL+기술/NNG
활용	활용/NNG
국제적	국제/NNG+적/XSN
물류서비스	물류/NNG+서비스/NNG
조직	조직/NNG
될	되/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000022.196.2.1
우편 서비스와 정보기술(IT)을 결합한 '우정(郵政)IT'로 세계 시장으로 나가겠습니다.

우편	우편/NNG
서비스와	서비스/NNG+와/JC
정보기술(IT)을	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS+을/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
'우정(郵政)IT'로	'/SS+우정/NNG+(/SS+郵政/SH+)/SS+IT/SL+'/SS+로/JKB
세계	세계/NNG
시장으로	시장/NNG+으로/JKB
나가겠습니다.	나가/VV+겠/EP+습니다/EF+./SF


# id : NWRW1800000022.196.3.1
남궁민(54) 지식경제부 우정사업본부장은 1일 "세계적 택배회사인 DHL과 어깨를 나란히 하는 국제적 물류서비스 조직으로 거듭나겠다"고 말했다.

남궁민(54)	남궁민/NNP+(/SS+54/SN+)/SS
지식경제부	지식/NNG+경제부/NNG
우정사업본부장은	우정/NNG+사업/NNG+본부장/NNG+은/JX
1일	1/SN+일/NNB
"세계적	"/SS+세계/NNG+적/XSN
택배회사인	택배/NNG+회사/NNG+이/VCP+ㄴ/ETM
DHL과	DHL/SL+과/JKB
어깨를	어깨/NNG+를/JKO
나란히	나란히/MAG
하는	하/VV+는/ETM
국제적	국제/NNG+적/XSN
물류서비스	물류/NNG+서비스/NNG
조직으로	조직/NNG+으로/JKB
