# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.247
metadata : {}


# id : NWRW1800000022.247.1.1
"못살던 시절 스웨덴 입양 열심히 산 교민들 고마워"

"못살던	"/SS+못살/VV+던/ETM
시절	시절/NNG
스웨덴	스웨덴/NNP
입양	입양/NNG
열심히	열심히/MAG
산	살/VV+ㄴ/ETM
교민들	교민/NNG+들/XSN
고마워"	고맙/VA+어/EF+"/SS


# id : NWRW1800000022.247.2.1
스웨덴을 방문 중인 이 대통령은 13일 동포간담회에 참석, 지금까지 이곳에 입양된 1만여명의 동포에 대해 각별한 관심을 표시했다.

스웨덴을	스웨덴/NNP+을/JKO
방문	방문/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
이	이/NNP
대통령은	대통령/NNG+은/JX
13일	13/SN+일/NNB
동포간담회에	동포/NNG+간담회/NNG+에/JKB
참석,	참석/NNG+,/SP
지금까지	지금/NNG+까지/JX
이곳에	이곳/NP+에/JKB
입양된	입양/NNG+되/XSV+ㄴ/ETM
1만여명의	1/SN+만/NR+여/XSN+명/NNB+의/JKG
동포에	동포/NNG+에/JKB
대해	대하/VV+아/EC
각별한	각별/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
표시했다.	표시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.247.3.1
이 대통령은 "우리가 전쟁고아를 비롯해 아이들을 키울 수 없는 사람들이 스웨덴에 많이 입양을 시키게 되는 비극적인 역사도 있었다"면서 "스웨덴에 와 계시는 분들이 인정받고 존경받는 것에 대해 대단히 고맙게 생각한다"고 했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"우리가	"/SS+우리/NP+가/JKS
전쟁고아를	전쟁고아/NNG+를/JKO
비롯해	비롯하/VV+아/EC
아이들을	아이/NNG+들/XSN+을/JKO
키울	키우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
스웨덴에	스웨덴/NNP+에/JKB
많이	많이/MAG
입양을	입양/NNG+을/JKO
시키게	시키/VV+게/EC
되는	되/VV+는/ETM
비극적인	비극/NNG+적/XSN+이/VCP+ㄴ/ETM
역사도	역사/NNG+도/JX
있었다"면서	있/VV+었/EP+다/EF+"/SS+면서/EC
"스웨덴에	"/SS+스웨덴/NNP+에/JKB
와	오/VV+아/EC
계시는	계시/VX+는/ETM
분들이	분/NNB+들/XSN+이/JKS
인정받고	인정/NNG+받/XSV+고/EC
존경받는	존경/NNG+받/XSV+는/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
대단히	대단히/MAG
고맙게	고맙/VA+게/EC
생각한다"고	생각/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.247.4.1
입양아들의 대모(代母) 역할을 맡아온 김현덕(72)씨는 건배사에서 "스웨덴은 한국을 아들·딸·며느리·손자의 나라로 여기며 깊은 애정을 갖고 있다"면서 "우리는 조국의 이름을 위해서 살아왔고, 또 앞으로도 그렇게 살 것"이라고 했다.

입양아들의	입양아/NNG+들/XSN+의/JKG
대모(代母)	대모/NNG+(/SS+代母/SH+)/SS
역할을	역할/NNG+을/JKO
맡아온	맡/VV+아/EC+오/VX+ㄴ/ETM
김현덕(72)씨는	김현덕/NNP+(/SS+72/SN+)/SS+씨/NNB+는/JX
건배사에서	건배사/NNG+에서/JKB
"스웨덴은	"/SS+스웨덴/NNP+은/JX
