# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.431
metadata : {}


# id : NWRW1800000022.431.1.1
우즈 집에 있던 장모, 구급차에 실려 병원으로;장모는 스웨덴 외무부 차관 출신 아내는 아이들 데리고 집 나가

우즈	우즈/NNP
집에	집/NNG+에/JKB
있던	있/VA+던/ETM
장모,	장모/NNG+,/SP
구급차에	구급차/NNG+에/JKB
실려	실리/VV+어/EC
병원으로;장모는	병원/NNG+으로/JKB+;/SW+장모/NNG+는/JX
스웨덴	스웨덴/NNP
외무부	외무부/NNG
차관	차관/NNG
출신	출신/NNG
아내는	아내/NNG+는/JX
아이들	아이/NNG+들/XSN
데리고	데리/VV+고/EC
집	집/NNG
나가	나가/VV+아/EF


# id : NWRW1800000022.431.2.1
골프 황제 타이거 우즈(Woods)의 집에서 그의 장모가 앰뷸런스에 실려 나갔다고, AP 등 주요 언론이 8일 보도했다.

골프	골프/NNG
황제	황제/NNG
타이거	타이거/NNP
우즈(Woods)의	우즈/NNP+(/SS+Woods/SL+)/SS+의/JKG
집에서	집/NNG+에서/JKB
그의	그/NP+의/JKG
장모가	장모/NNG+가/JKS
앰뷸런스에	앰뷸런스/NNG+에/JKB
실려	실리/VV+어/EC
나갔다고,	나가/VX+았/EP+다고/EC+,/SP
AP	AP/SL
등	등/NNB
주요	주요/NNG
언론이	언론/NNG+이/JKS
8일	8/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.431.3.1
우즈의 자택이 위치한 플로리다주 올랜도의 지역 방송인 WESH TV는 이날 오전 2시 36분 우즈의 집에서 응급 환자가 발생했다는 전화가 접수돼, 앰뷸런스가 출동했다고 보도했다.

우즈의	우즈/NNP+의/JKG
자택이	자택/NNG+이/JKS
위치한	위치/NNG+하/XSV+ㄴ/ETM
플로리다주	플로리다주/NNP
올랜도의	올랜도/NNP+의/JKG
지역	지역/NNG
방송인	방송/NNG+이/VCP+ㄴ/ETM
WESH	WESH/SL
TV는	TV/SL+는/JX
이날	이날/NNG
오전	오전/NNG
2시	2/SN+시/NNB
36분	36/SN+분/NNB
집에서	집/NNG+에서/JKB
응급	응급/NNG
환자가	환자/NNG+가/JKS
발생했다는	발생/NNG+하/XSV+았/EP+다는/ETM
전화가	전화/NNG+가/JKS
접수돼,	접수/NNG+되/XSV+어/EC+,/SP
앰뷸런스가	앰뷸런스/NNG+가/JKS
출동했다고	출동/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.431.3.2
또 MSNBC방송과 폭스TV는 우즈의 집에서 우즈의 장모 바브로 홀름버그(Holmberg·57)가 들것에 실려 나와 인근 병원에 도착하는 장면을 방영했다.

또	또/MAG
MSNBC방송과	MSNBC/SL+방송/NNG+과/JC
폭스TV는	폭스TV/NNP+는/JX
우즈의	우즈/NNP+의/JKG
집에서	집/NNG+에서/JKB
장모	장모/NNG
바브로	바브로/NNP
홀름버그(Holmberg·57)가	홀름버그/NNP+(/SS+Holmberg/SL+·/SP+57/SN+)/SS+가/JKS
들것에	들것/NNG+에/JKB
실려	실리/VV+어/EC
나와	나오/VV+아/EC
인근	인근/NNG
병원에	병원/NNG+에/JKB
도착하는	도착/NNG+하/XSV+는/ETM
장면을	장면/NNG+을/JKO
방영했다.	방영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.431.3.3
이 방송에는 장모가 앰뷸런스로 병원에 도착, 병원의 비상 출입구로 들어가는 장면이 나왔다.

이	이/MMD
방송에는	방송/NNG+에/JKB+는/JX
장모가	장모/NNG+가/JKS
앰뷸런스로	앰뷸런스/NNG+로/JKB
병원에	병원/NNG+에/JKB
도착,	도착/NNG+,/SP
병원의	병원/NNG+의/JKG
비상	비상/NNG
출입구로	출입구/NNG+로/JKB
들어가는	들어가/VV+는/ETM
장면이	장면/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.431.3.4
방송은 "우즈의 장모와 쌍둥이 처제가 이날 우즈의 집을 방문했었다"고 보도했다.

방송은	방송/NNG+은/JX
"우즈의	"/SS+우즈/NNP+의/JKG
장모와	장모/NNG+와/JC
쌍둥이	쌍둥이/NNG
처제가	처제/NNG+가/JKS
이날	이날/NNG
우즈의	우즈/NNP+의/JKG
집을	집/NNG+을/JKO
