# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.173
metadata : {}


# id : NWRW1800000024.173.1.1
인권변호사→청문회 스타로 /‘지역주의 타파’ 대통령 당선

인권변호사→청문회	인권/NNG+변호사/NNG+→/SW+청문회/NNG
스타로	스타/NNG+로/JKB
/‘지역주의	//SP+‘/SS+지역주의/NNG
타파’	타파/NNG+’/SS
대통령	대통령/NNG
당선	당선/NNG


# id : NWRW1800000024.173.2.1
‘파란만장한 삶을 산 이단아.’

‘파란만장한	‘/SS+파란만장/NNG+하/XSA+ㄴ/ETM
삶을	삶/NNG+을/JKO
산	살/VV+ㄴ/ETM
이단아.’	이단아/NNG+./SF+’/SS


# id : NWRW1800000024.173.3.1
서거한 노무현 전 대통령의 대통령 당선 전까지의 삶은 이 한마디로 요약될 만큼 극적인 한편의 드라마였다.

서거한	서거/NNG+하/XSV+ㄴ/ETM
노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
대통령	대통령/NNG
당선	당선/NNG
전까지의	전/NNG+까지/JX+의/JKG
삶은	삶/NNG+은/JX
이	이/MMD
한마디로	한마디/NNG+로/JKB
요약될	요약/NNG+되/XSV+ㄹ/ETM
만큼	만큼/NNB
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
한편의	한/MMN+편/NNB+의/JKG
드라마였다.	드라마/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000024.173.4.1
‘까마귀도 먹을 것이 없어 울고 돌아간다’는 봉하마을, 그 마을에서도 가난했던 농군의 3남2녀 중 막내로 태어난 노 전 대통령은 ‘가난을 등에 업은 소년’으로 자랐다.

‘까마귀도	‘/SS+까마귀/NNG+도/JX
먹을	먹/VV+을/ETM
것이	것/NNB+이/JKS
없어	없/VA+어/EC
울고	울/VV+고/EC
돌아간다’는	돌아가/VV+ㄴ다/EF+’/SS+는/ETM
봉하마을,	봉하마을/NNP+,/SP
그	그/MMD
마을에서도	마을/NNG+에서/JKB+도/JX
