# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.242
metadata : {}


# id : NWRW1800000024.242.1.1
“‘디도스’는 지극히 초보 공격 /안이한 태도가 피해 키웠다”

“‘디도스’는	“/SS+‘/SS+디도스/NNG+’/SS+는/JX
지극히	지극히/MAG
초보	초보/NNG
공격	공격/NNG
/안이한	//SP+안이하/VA+ㄴ/ETM
태도가	태도/NNG+가/JKS
피해	피해/NNG
키웠다”	키우/VV+었/EP+다/EF+”/SS


# id : NWRW1800000024.242.2.1
“어느 날 갑자기 접속이 폭주할 수 있다는 지극히 상식적인 상황에 대비하지 않은 탓이 크다.”

“어느	“/SS+어느/MMD
날	날/NNG
갑자기	갑자기/MAG
접속이	접속/NNG+이/JKS
폭주할	폭주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지극히	지극히/MAG
상식적인	상식/NNG+적/XSN+이/VCP+ㄴ/ETM
상황에	상황/NNG+에/JKB
대비하지	대비/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
탓이	탓/NNG+이/JKS
크다.”	크/VA+다/EF+./SF+”/SS


# id : NWRW1800000024.242.3.1
사흘째 이어진 미확인 사이버 공격에 주요 국가기관과 금융·언론·포털·보안업체 누리집(홈페이지)이 속수무책으로 당한 데는, 사전에 충분히 예상할 수 있는 접속 폭주 상황에 대비한 대응체제를 갖추지 않았기 때문이라는 지적이 전문가들 사이에서 나오고 있다.

사흘째	사흘/NNG+째/XSN
이어진	이어지/VV+ㄴ/ETM
미확인	미/XPN+확인/NNG
사이버	사이버/NNG
공격에	공격/NNG+에/JKB
주요	주요/NNG
국가기관과	국가/NNG+기관/NNG+과/JC
금융·언론·포털·보안업체	금융/NNG+·/SP+언론/NNG+·/SP+포털/NNG+·/SP+보안업체/NNG
누리집(홈페이지)이	누리집/NNG+(/SS+홈페이지/NNG+)/SS+이/JKS
속수무책으로	속수무책/NNG+으로/JKB
당한	당하/VV+ㄴ/ETM
데는,	데/NNB+는/JX+,/SP
사전에	사전/NNG+에/JKB
충분히	충분히/MAG
예상할	예상/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
접속	접속/NNG
폭주	폭주/NNG
상황에	상황/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
대응체제를	대응/NNG+체제/NNG+를/JKO
갖추지	갖추/VV+지/EC
않았기	않/VX+았/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
전문가들	전문가/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.242.3.2
특정 사이트에 몰래 침투해 자료를 빼내거나 시스템을 파괴하는 해킹과 달리, 과도한 트래픽을 유도해 접속을 방해하는 디도스 공격은 지극히 초보적인 형태의 사이버 공격이다.

특정	특정/NNG
사이트에	사이트/NNG+에/JKB
몰래	몰래/MAG
침투해	침투/NNG+하/XSV+아/EC
자료를	자료/NNG+를/JKO
빼내거나	빼내/VV+거나/EC
시스템을	시스템/NNG+을/JKO
파괴하는	파괴/NNG+하/XSV+는/ETM
해킹과	해킹/NNG+과/JKB
달리,	달리/MAG+,/SP
과도한	과도/NNG+하/XSA+ㄴ/ETM
트래픽을	트래픽/NNG+을/JKO
유도해	유도/NNG+하/XSV+아/EC
접속을	접속/NNG+을/JKO
방해하는	방해/NNG+하/XSV+는/ETM
디도스	디도스/NNG
공격은	공격/NNG+은/JX
지극히	지극히/MAG
초보적인	초보/NNG+적/XSN+이/VCP+ㄴ/ETM
형태의	형태/NNG+의/JKG
사이버	사이버/NNG
공격이다.	공격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.4.1
9일 인터넷 보안업체와 전문가들의 말을 종합하면, 7~9일 사이에 일어난 디도스 공격은 겉모습으로만 보면 피해를 최소화하면서 ‘실력’을 뽐내는 모습이 역력하다.

9일	9/SN+일/NNB
인터넷	인터넷/NNG
보안업체와	보안업체/NNG+와/JC
전문가들의	전문가/NNG+들/XSN+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
7~9일	7/SN+~/SO+9/SN+일/NNB
사이에	사이/NNG+에/JKB
일어난	일어나/VV+ㄴ/ETM
디도스	디도스/NNG
공격은	공격/NNG+은/JX
겉모습으로만	겉모습/NNG+으로/JKB+만/JX
보면	보/VV+면/EC
피해를	피해/NNG+를/JKO
최소화하면서	최소/NNG+화/XSN+하/XSV+면서/EC
‘실력’을	‘/SS+실력/NNG+’/SS+을/JKO
뽐내는	뽐내/VV+는/ETM
모습이	모습/NNG+이/JKS
역력하다.	역력하/VA+다/EF+./SF


# id : NWRW1800000024.242.4.2
주요 정부기관과 금융권 등의 근무 시간이 끝난 오후 6시 이후의 밤 시간대를 공격 시점을 잡아 결과적으로 피해를 최소화했고, 누리집을 대상으로 접속 요청을 폭주시켜 접속을 지연시키는 디도스 공격만 했다는 점이 대표적이다.

주요	주요/NNG
정부기관과	정부/NNG+기관/NNG+과/JC
금융권	금융/NNG+권/XSN
등의	등/NNB+의/JKG
근무	근무/NNG
시간이	시간/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
오후	오후/NNG
6시	6/SN+시/NNB
이후의	이후/NNG+의/JKG
밤	밤/NNG
시간대를	시간대/NNG+를/JKO
공격	공격/NNG
시점을	시점/NNG+을/JKO
잡아	잡/VV+아/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
피해를	피해/NNG+를/JKO
최소화했고,	최소/NNG+화/XSN+하/XSV+았/EP+고/EC+,/SP
누리집을	누리집/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
접속	접속/NNG
요청을	요청/NNG+을/JKO
폭주시켜	폭주/NNG+시키/XSV+어/EC
접속을	접속/NNG+을/JKO
지연시키는	지연/NNG+시키/XSV+는/ETM
디도스	디도스/NNG
공격만	공격/NNG+만/JX
했다는	하/VV+았/EP+다는/ETM
점이	점/NNG+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.4.3
‘나쁜 해커’가 독한 마음을 먹었다면, 인터넷 통신망을 겨냥했거나 중요 자료가 담긴 컴퓨터(서버) 해킹을 함께 시도했다는 것이다.

‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
해커’가	해커/NNG+’/SS+가/JKS
독한	독/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
먹었다면,	먹/VV+었/EP+다면/EC+,/SP
인터넷	인터넷/NNG
통신망을	통신망/NNG+을/JKO
겨냥했거나	겨냥/NNG+하/XSV+았/EP+거나/EC
중요	중요/NNG
자료가	자료/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
컴퓨터(서버)	컴퓨터/NNG+(/SS+서버/NNG+)/SS
해킹을	해킹/NNG+을/JKO
함께	함께/MAG
시도했다는	시도/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.4.4
일부 전문가들이 ‘착한 해커’의 소행으로 보는 이유이다.

일부	일부/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
‘착한	‘/SS+착하/VA+ㄴ/ETM
해커’의	해커/NNG+’/SS+의/JKG
