# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.37
metadata : {}


# id : NWRW1800000024.37.1.1
경찰진압 ‘내부수칙’(집회·시위 현장 법집행 매뉴얼)도 안지켰다

경찰진압	경찰/NNG+진압/NNG
‘내부수칙’(집회·시위	‘/SS+내부/NNG+수칙/NNG+’/SS+(/SS+집회/NNG+·/SP+시위/NNG
현장	현장/NNG
법집행	법/NNG+집행/NNG
매뉴얼)도	매뉴얼/NNG+)/SS+도/JX
안지켰다	안/MAG+지키/VV+었/EP+다/EF


# id : NWRW1800000024.37.2.1
경찰이 용산 철거민 농성을 진압하는 과정에서 집회·시위 내부 수칙 등 작전의 기본을 무시한 채 성급하게 강제진압에 나선 사실과 정황이 속속 드러나고 있다.

경찰이	경찰/NNG+이/JKS
용산	용산/NNP
철거민	철거민/NNG
농성을	농성/NNG+을/JKO
진압하는	진압/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
집회·시위	집회/NNG+·/SP+시위/NNG
내부	내부/NNG
수칙	수칙/NNG
등	등/NNB
작전의	작전/NNG+의/JKG
기본을	기본/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
채	채/NNB
성급하게	성급하/VA+게/EC
강제진압에	강제/NNG+진압/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
사실과	사실/NNG+과/JC
정황이	정황/NNG+이/JKS
속속	속속/MAG
드러나고	드러나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.37.2.2
소방·경비 전문가들은 화재와 사고에 대한 대비 없이 조기 진압을 앞세운 경찰의 무리한 작전이 희생을 키웠다고 지적했다.

소방·경비	소방/NNG+·/SP+경비/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
화재와	화재/NNG+와/JC
사고에	사고/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비	대비/NNG
없이	없이/MAG
조기	조기/NNG
진압을	진압/NNG+을/JKO
앞세운	앞세우/VV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
무리한	무리/NNG+하/XSV+ㄴ/ETM
작전이	작전/NNG+이/JKS
희생을	희생/NNG+을/JKO
키웠다고	키우/VV+었/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.37.2.3
22일 <한겨레>가 입수한 경찰의 ‘집회·시위 현장 법집행 매뉴얼’을 보면, 시위대가 화염병을 던지는 경우 ‘화염병 소진을 유도’하고 ‘거의 소모된 뒤 검거작전을 펴도록’ 규정돼 있다.

22일	22/SN+일/NNB
<한겨레>가	</SS+한겨레/NNP+>/SS+가/JKS
입수한	입수/NNG+하/XSV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
‘집회·시위	‘/SS+집회/NNG+·/SP+시위/NNG
현장	현장/NNG
법집행	법/NNG+집행/NNG
매뉴얼’을	매뉴얼/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
시위대가	시위대/NNG+가/JKS
화염병을	화염병/NNG+을/JKO
던지는	던지/VV+는/ETM
경우	경우/NNG
‘화염병	‘/SS+화염병/NNG
소진을	소진/NNG+을/JKO
유도’하고	유도/NNG+’/SS+하/VV+고/EC
