# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.79
metadata : {}


# id : NWRW1800000026.79.1.1
'3D 테마주' 열풍은 계속된다

'3D	'/SS+3/SN+D/SL
테마주'	테마주/NNG+'/SS
열풍은	열풍/NNG+은/JX
계속된다	계속/NNG+되/XSV+ㄴ다/EF


# id : NWRW1800000026.79.2.1
'아바타 이어 이상한 나라 앨리스로….'

'아바타	'/SS+아바타/NNP
이어	잇/VV+어/EC
이상한	이상/NNG+하/XSA+ㄴ/ETM
나라	나라/NNG
앨리스로….'	앨리스/NNP+로/JKB+…/SE+./SF+'/SS


# id : NWRW1800000026.79.3.1
영화 '아바타'의 흥행을 기점으로 지난 연말 주식시장에서 고공 행진을 벌였던 3D(입체영상) 테마주들이 4일 일제히 상승세를 기록했다.

영화	영화/NNG
'아바타'의	'/SS+아바타/NNP+'/SS+의/JKG
흥행을	흥행/NNG+을/JKO
기점으로	기점/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
주식시장에서	주식/NNG+시장/NNG+에서/JKB
고공	고공/NNG
행진을	행진/NNG+을/JKO
벌였던	벌이/VV+었/EP+던/ETM
3D(입체영상)	3/SN+D/SL+(/SS+입체/NNG+영상/NNG+)/SS
테마주들이	테마주/NNG+들/XSN+이/JKS
4일	4/SN+일/NNB
일제히	일제히/MAG
상승세를	상승세/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.79.3.2
3D 영화인 '이상한 나라 앨리스'가 이날 국내 100여개 이상 3D 스크린을 통해 개봉한다는 소식에 관련주들이 들썩였다.

3D	3/SN+D/SL
영화인	영화/NNG+이/VCP+ㄴ/ETM
'이상한	'/SS+이상/NNG+하/XSA+ㄴ/ETM
나라	나라/NNG
앨리스'가	앨리스/NNP+'/SS+가/JKS
이날	이날/NNG
국내	국내/NNG
100여개	100/SN+여/XSN+개/NNB
이상	이상/NNG
스크린을	스크린/NNG+을/JKO
통해	통하/VV+아/EC
개봉한다는	개봉/NNG+하/XSV+ㄴ다는/ETM
소식에	소식/NNG+에/JKB
관련주들이	관련주/NNG+들/XSN+이/JKS
들썩였다.	들썩이/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.79.3.3
정부의 3D TV 육성 정책과 3D TV 출시 등도 호재로 작용했다.

정부의	정부/NNG+의/JKG
3D	3/SN+D/SL
TV	TV/SL
육성	육성/NNG
정책과	정책/NNG+과/JC
출시	출시/NNG
등도	등/NNB+도/JX
호재로	호재/NNG+로/JKB
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.79.4.1
3D테마주의 '대장주'(대표주) 격인 케이디씨는 이날 전날보다 310원(5.1%) 오른 6390원에 마감했다.

3D테마주의	3/SN+D/SL+테마주/NNG+의/JKG
'대장주'(대표주)	'/SS+대장주/NNG+'/SS+(/SS+대표주/NNG+)/SS
격인	격/NNB+이/VCP+ㄴ/ETM
케이디씨는	케이디씨/NNP+는/JX
이날	이날/NNG
전날보다	전날/NNG+보다/JKB
310원(5.1%)	310/SN+원/NNB+(/SS+5/SN+./SP+1/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
6390원에	6390/SN+원/NNB+에/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.79.4.2
이 회사는 지난 11월 23일부터 1월 5일까지 29거래일 중 11일이나 상한가를 기록하며 주가가 최고 9300원까지 치솟는 등 3D테마주의 '대박 신화'로 불린다.

이	이/MMD
회사는	회사/NNG+는/JX
지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
23일부터	23/SN+일/NNB+부터/JX
1월	1/SN+월/NNB
5일까지	5/SN+일/NNB+까지/JX
29거래일	29/SN+거래일/NNG
중	중/NNB
11일이나	11/SN+일/NNB+이나/JX
상한가를	상한/NNG+가/XSN+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
주가가	주가/NNG+가/JKS
최고	최고/NNG
9300원까지	9300/SN+원/NNB+까지/JX
치솟는	치솟/VV+는/ETM
등	등/NNB
3D테마주의	3/SN+D/SL+테마주/NNG+의/JKG
'대박	'/SS+대/XPN+박/NNG
신화'로	신화/NNG+'/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.79.4.3
이후 강한 조정을 받으며 6000원대까지 물러났지만 이날 다시 반등했다.

이후	이후/NNG
강한	강하/VA+ㄴ/ETM
조정을	조정/NNG+을/JKO
받으며	받/VV+으며/EC
6000원대까지	6000/SN+원/NNB+대/XSN+까지/JX
물러났지만	물러나/VV+았/EP+지만/EC
이날	이날/NNG
다시	다시/MAG
반등했다.	반등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.79.4.4
아이스테이션과 잘만테크도 상한가를 기록했으며 현대아이티와 네오엠텔도 각각 5.17%, 1.4% 상승했다.

아이스테이션과	아이스테이션/NNP+과/JC
잘만테크도	잘만테크/NNP+도/JX
상한가를	상한/NNG+가/XSN+를/JKO
기록했으며	기록/NNG+하/XSV+았/EP+으며/EC
현대아이티와	현대아이티/NNP+와/JC
네오엠텔도	네오엠텔/NNP+도/JX
각각	각각/MAG
5.17%,	5/SN+./SP+17/SN+%/SW+,/SP
1.4%	1/SN+./SP+4/SN+%/SW
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.79.5.1
이들 기업은 지난 연말 연일 상한가를 기록하며 승승장구하다 조정기를 거쳐 다시 주가가 오르는 모양새다.

이들	이/NP+들/XSN
기업은	기업/NNG+은/JX
지난	지나/VV+ㄴ/ETM
연말	연말/NNG
연일	연일/MAG
상한가를	상한/NNG+가/XSN+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
승승장구하다	승승장구/NNG+하/XSV+다/EC
조정기를	조정기/NNG+를/JKO
거쳐	거치/VV+어/EC
다시	다시/MAG
주가가	주가/NNG+가/JKS
오르는	오르/VV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.79.5.2
'아바타'의 흥행이 주가 상승에 견인한 만큼 '이상한 나라 앨리스'에 대한 기대감이 주가를 끌어올리고 있다는 분석이다.

'아바타'의	'/SS+아바타/NNP+'/SS+의/JKG
흥행이	흥행/NNG+이/JKS
주가	주가/NNG
상승에	상승/NNG+에/JKB
견인한	견인/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
'이상한	'/SS+이상/NNG+하/XSA+ㄴ/ETM
나라	나라/NNG
앨리스'에	앨리스/NNP+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
주가를	주가/NNG+를/JKO
끌어올리고	끌어올리/VV+고/EC
있다는	있/VX+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.79.5.3
이런 현상은 3D테마주를 통해 단기간 시세차익을 얻을 수 있다는 '학습효과'가 투자자들 사이에 생겼기 때문으로 전문가들은 보고 있다.

이런	이런/MMD
현상은	현상/NNG+은/JX
3D테마주를	3/SN+D/SL+테마주/NNG+를/JKO
통해	통하/VV+아/EC
단기간	단기간/NNG
시세차익을	시세/NNG+차익/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
'학습효과'가	'/SS+학습/NNG+효과/NNG+'/SS+가/JKS
투자자들	투자자/NNG+들/XSN
사이에	사이/NNG+에/JKB
생겼기	생기/VV+었/EP+기/ETN
때문으로	때문/NNB+으로/JKB
전문가들은	전문가/NNG+들/XSN+은/JX
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.79.6.1
물론 전문가들은 지나친 테마주 열풍은 경계해야 한다고 입을 모으고 있다.

물론	물론/MAG
전문가들은	전문가/NNG+들/XSN+은/JX
지나친	지나치/VA+ㄴ/ETM
테마주	테마주/NNG
열풍은	열풍/NNG+은/JX
경계해야	경계/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
입을	입/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


