# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.383
metadata : {}


# id : NWRW1800000029.383.1.1
[서울시장 보선 D-21]박원순 > 나경원 5.1%P 차 접전… 본보-KRC 여론조사

[서울시장	[/SS+서울시장/NNG
보선	보선/NNG
D-21]박원순	D/SL+-/SO+21/SN+]/SS+박원순/NNP
>	>/SS
나경원	나경원/NNP
5.1%P	5/SN+./SP+1/SN+%P/SW
차	차/NNG
접전…	접전/NNG+…/SE
본보-KRC	본보/NNG+-/SO+KRC/SL
여론조사	여론/NNG+조사/NNG


# id : NWRW1800000029.383.2.1
10·26 서울시장 보궐선거의 여야 대진표가 확정된 가운데 야권 단일후보인 박원순 변호사가 한나라당 나경원 최고위원을 오차범위 내에서 앞서는 것으로 나타났다.

10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보궐선거의	보궐/NNG+선거/NNG+의/JKG
여야	여야/NNG
대진표가	대진표/NNG+가/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
가운데	가운데/NNG
야권	야권/NNG
단일후보인	단일/NNG+후보/NNG+이/VCP+ㄴ/ETM
박원순	박원순/NNP
변호사가	변호사/NNG+가/JKS
한나라당	한나라당/NNP
나경원	나경원/NNP
최고위원을	최고/NNG+위원/NNG+을/JKO
오차범위	오차/NNG+범위/NNG
내에서	내/NNB+에서/JKB
앞서는	앞서/VV+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.383.3.1
동아일보가 4일 코리아리서치센터(KRC)에 의뢰해 서울시민 500명을 대상으로 실시한 임의번호걸기(RDD) 여론조사 결과 야권 단일후보인 박 변호사는 45.1%의 지지율로 나 최고위원(40.0%)을 5.1%포인트 앞섰다.

동아일보가	동아일보/NNP+가/JKS
4일	4/SN+일/NNB
코리아리서치센터(KRC)에	코리아리서치센터/NNP+(/SS+KRC/SL+)/SS+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
서울시민	서울/NNP+시민/NNG
500명을	500/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
실시한	실시/NNG+하/XSV+ㄴ/ETM
임의번호걸기(RDD)	임의/NNG+번호/NNG+걸/VV+기/ETN+(/SS+RDD/SL+)/SS
여론조사	여론/NNG+조사/NNG
결과	결과/NNG
야권	야권/NNG
단일후보인	단일/NNG+후보/NNG+이/VCP+ㄴ/ETM
박	박/NNP
변호사는	변호사/NNG+는/JX
45.1%의	45/SN+./SP+1/SN+%/SW+의/JKG
지지율로	지지/NNG+율/XSN+로/JKB
나	나/NP
최고위원(40.0%)을	최고/NNG+위원/NNG+(/SS+40/SN+./SP+0/SN+%/SW+)/SS+을/JKO
5.1%포인트	5/SN+./SP+1/SN+%포인트/NNG
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.383.3.2
자유선진당 지상욱 전 대변인을 찍겠다는 응답은 1.0%로 미미했다.

자유선진당	자유선진당/NNP
지상욱	지상욱/NNP
전	전/MMD
대변인을	대변인/NNG+을/JKO
찍겠다는	찍/VV+겠/EP+다는/ETM
응답은	응답/NNG+은/JX
1.0%로	1/SN+./SP+0/SN+%/SW+로/JKB
미미했다.	미미하/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.383.4.1
이처럼 박 변호사가 다소 앞선 가운데 여야 후보가 박빙의 승부를 펼치고 있는 것은 여야 후보가 확정되고 선거전이 본격화되면서 양측 지지층이 결집하고 있는 데 따른 결과로 보인다.

이처럼	이/NP+처럼/JKB
박	박/NNP
변호사가	변호사/NNG+가/JKS
다소	다소/MAG
앞선	앞서/VV+ㄴ/ETM
가운데	가운데/NNG
여야	여야/NNG
후보가	후보/NNG+가/JKS
박빙의	박빙/NNG+의/JKG
승부를	승부/NNG+를/JKO
펼치고	펼치/VV+고/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
확정되고	확정/NNG+되/XSV+고/EC
선거전이	선거전/NNG+이/JKS
본격화되면서	본격/NNG+화/XSN+되/XSV+면서/EC
양측	양측/NNG
지지층이	지지/NNG+층/XSN+이/JKS
