# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.144
metadata : {}


# id : NWRW1800000030.144.1.1
[100세 쇼크 축복인가 재앙인가] 전문직 93% "은퇴 후 봉사하고 싶다"고 답하는데…

[100세	[/SS+100/SN+세/NNB
쇼크	쇼크/NNG
축복인가	축복/NNG+이/VCP+ㄴ가/EF
재앙인가]	재앙/NNG+이/VCP+ㄴ가/EF+]/SS
전문직	전문직/NNG
93%	93/SN+%/SW
"은퇴	"/SS+은퇴/NNG
후	후/NNG
봉사하고	봉사/NNG+하/XSV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
답하는데…	답/NNG+하/XSV+는데/EC+…/SE


# id : NWRW1800000030.144.2.1
•봉사 기회는 찾기 어려워 "정부 손길 안 닿는 곳에 단비 뿌려줄 수 있는 인력"

•봉사	•/SW+봉사/NNG
기회는	기회/NNG+는/JX
찾기	찾/VV+기/ETN
어려워	어렵/VA+어/EC
"정부	"/SS+정부/NNG
손길	손길/NNG
안	안/MAG
닿는	닿/VV+는/ETM
곳에	곳/NNG+에/JKB
단비	단비/NNG
뿌려줄	뿌리/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
인력"	인력/NNG+"/SS


# id : NWRW1800000030.144.3.1
경기도 성남시에 사는 조건행(64)씨는 대기업에서 퇴직한 뒤 개인사업을 했다가 현재는 '벽화 그리기' 봉사활동에 정기적으로 참여한다.

경기도	경기도/NNP
성남시에	성남시/NNP+에/JKB
사는	살/VV+는/ETM
조건행(64)씨는	조건행/NNP+(/SS+64/SN+)/SS+씨/NNB+는/JX
대기업에서	대/XPN+기업/NNG+에서/JKB
퇴직한	퇴직/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
개인사업을	개인/NNG+사업/NNG+을/JKO
했다가	하/VV+았/EP+다가/EC
현재는	현재/NNG+는/JX
'벽화	'/SS+벽화/NNG
그리기'	그리/VV+기/ETN+'/SS
봉사활동에	봉사/NNG+활동/NNG+에/JKB
정기적으로	정기/NNG+적/XSN+으로/JKB
참여한다.	참여/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.144.3.2
작년 초 서울 시내 한 구청에서 벽화 그리기 강좌를 들은 뒤 50~70대 지인 15명과 모임을 만들어 휑뎅그렁한 공공건물 벽에 화사한 색채를 입히고 있다.

작년	작년/NNG
초	초/NNB
서울	서울/NNP
시내	시내/NNG
한	한/MMN
구청에서	구청/NNG+에서/JKB
벽화	벽화/NNG
그리기	그리/VV+기/ETN
강좌를	강좌/NNG+를/JKO
들은	듣/VV+은/ETM
뒤	뒤/NNG
50~70대	50/SN+~/SO+70/SN+대/NNB
지인	지인/NNG
15명과	15/SN+명/NNB+과/JKB
모임을	모임/NNG+을/JKO
만들어	만들/VV+어/EC
휑뎅그렁한	휑뎅그렁하/VA+ㄴ/ETM
공공건물	공공건물/NNG
벽에	벽/NNG+에/JKB
