# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.150
metadata : {}


# id : NWRW1800000030.150.1.1
"부산저축銀 브로커인 박태규 송환 협조를"

"부산저축銀	"/SS+부산/NNP+저축/NNG+銀/SH
브로커인	브로커/NNG+이/VCP+ㄴ/ETM
박태규	박태규/NNP
송환	송환/NNG
협조를"	협조/NNG+를/JKO+"/SS


# id : NWRW1800000030.150.2.1
•김준규 총장, 캐나다에 요청

•김준규	•/SW+김준규/NNP
총장,	총장/NNG+,/SP
캐나다에	캐나다/NNP+에/JKB
요청	요청/NNG


# id : NWRW1800000030.150.3.1
김준규 검찰총장은 27일 브라이언 손더스 캐나다 연방 검찰총장을 만나, "캐나다로 도피한 부산저축은행 브로커 박태규(72)씨를 조속히 송환할 수 있도록 협조해 달라"고 요청했다.

김준규	김준규/NNP
검찰총장은	검찰/NNG+총장/NNG+은/JX
27일	27/SN+일/NNB
브라이언	브라이언/NNP
손더스	손더스/NNP
캐나다	캐나다/NNP
연방	연방/NNG
검찰총장을	검찰/NNG+총장/NNG+을/JKO
만나,	만나/VV+아/EC+,/SP
"캐나다로	"/SS+캐나다/NNP+로/JKB
도피한	도피/NNG+하/XSV+ㄴ/ETM
부산저축은행	부산저축은행/NNP
브로커	브로커/NNG
박태규(72)씨를	박태규/NNP+(/SS+72/SN+)/SS+씨/NNB+를/JKO
조속히	조속히/MAG
송환할	송환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
협조해	협조/NNG+하/XSV+아/EC
달라"고	달/VX+라/EF+"/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.4.1
부산저축은행의 정·관계 로비를 담당한 박씨는 지난 3월 수사가 시작되자 캐나다로 도피했다.

부산저축은행의	부산저축은행/NNP+의/JKG
정·관계	정·관계/NNG
로비를	로비/NNG+를/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
박씨는	박/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
수사가	수사/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
캐나다로	캐나다/NNP+로/JKB
도피했다.	도피/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.4.2
손더스 총장은 이날 개막한 국제검사협회 총회와 세계검찰총장 회의 참석차 한국을 방문했다.

손더스	손더스/NNP
총장은	총장/NNG+은/JX
이날	이날/NNG
개막한	개막/NNG+하/XSV+ㄴ/ETM
국제검사협회	국제검사협회/NNP
총회와	총회/NNG+와/JC
세계검찰총장	세계/NNG+검찰/NNG+총장/NNG
회의	회의/NNG
참석차	참석차/NNG
한국을	한국/NNP+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.150.4.3
