# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.253
metadata : {}


# id : NWRW1800000030.253.1.1
[특파원칼럼] 그래도 정부 믿는 일본인들

[특파원칼럼]	[/SS+특파원/NNG+칼럼/NNG+]/SS
그래도	그래도/MAJ
정부	정부/NNG
믿는	믿/VV+는/ETM
일본인들	일본인/NNG+들/XSN


# id : NWRW1800000030.253.2.1
요즘 도쿄는 벚꽃 천지다.

요즘	요즘/NNG
도쿄는	도쿄/NNP+는/JX
벚꽃	벚꽃/NNG
천지다.	천지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.253.2.2
우에노공원 등 시내 곳곳이 꽃구경 나온 시민들로 오랜만에 활기를 찾고 있다.

우에노공원	우에노공원/NNP
등	등/NNB
시내	시내/NNG
곳곳이	곳곳/NNG+이/JKS
꽃구경	꽃구경/NNG
나온	나오/VV+ㄴ/ETM
시민들로	시민/NNG+들/XSN+로/JKB
오랜만에	오랜만/NNG+에/JKB
활기를	활기/NNG+를/JKO
찾고	찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.253.2.3
중국에서 새로 들여온 판다를 보기 위해 찾아온 어린이들로 우에노동물원도 붐비고 있다.

중국에서	중국/NNP+에서/JKB
새로	새로/MAG
들여온	들여오/VV+ㄴ/ETM
판다를	판다/NNG+를/JKO
보기	보/VV+기/ETN
위해	위하/VV+아/EC
찾아온	찾아오/VV+ㄴ/ETM
어린이들로	어린이/NNG+들/XSN+로/JKB
우에노동물원도	우에노동물원/NNP+도/JX
붐비고	붐비/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.253.2.4
일본열도를 시끌벅적하게 만들던 예년의 '밤 벚꽃놀이' 풍경은 사라졌지만, 그래도 예전의 모습을 조금씩 되찾고 있다.

일본열도를	일본/NNP+열도/NNG+를/JKO
시끌벅적하게	시끌벅적/MAG+하/XSA+게/EC
만들던	만들/VV+던/ETM
예년의	예년/NNG+의/JKG
'밤	'/SS+밤/NNG
벚꽃놀이'	벚꽃놀이/NNG+'/SS
풍경은	풍경/NNG+은/JX
사라졌지만,	사라지/VV+었/EP+지만/EC+,/SP
그래도	그래도/MAJ
예전의	예전/NNG+의/JKG
모습을	모습/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
되찾고	되찾/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.253.2.5
수돗물 방사선 오염 공포 이후 품귀 현상을 빚던 생수도 다시 손쉽게 구할 수 있게 됐다.

수돗물	수돗물/NNG
방사선	방사선/NNG
오염	오염/NNG
공포	공포/NNG
이후	이후/NNG
품귀	품귀/NNG
현상을	현상/NNG+을/JKO
빚던	빚/VV+던/ETM
생수도	생수/NNG+도/JX
다시	다시/MAG
손쉽게	손쉽/VA+게/EC
구할	구하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.253.2.6
자취를 감췄던 컵라면, 휴지 등 생필품도 넘쳐난다.

자취를	자취/NNG+를/JKO
감췄던	감추/VV+었/EP+던/ETM
컵라면,	컵라면/NNG+,/SP
휴지	휴지/NNG
등	등/NNB
생필품도	생필품/NNG+도/JX
넘쳐난다.	넘치/VV+어/EC+나/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.253.2.7
자발적 절전(節電)운동의 확산으로 도쿄의 밤은 과거처럼 화려하진 않지만, 골목 술집에서는 다시 젊은이들의 웃음소리가 높아지고 있다.

자발적	자발/NNG+적/XSN
절전(節電)운동의	절전/NNG+(/SS+節電/SH+)/SS+운동/NNG+의/JKG
확산으로	확산/NNG+으로/JKB
도쿄의	도쿄/NNP+의/JKG
밤은	밤/NNG+은/JX
과거처럼	과거/NNG+처럼/JKB
화려하진	화려하/VA+지/EC+ㄴ/JX
않지만,	않/VX+지만/EC+,/SP
골목	골목/NNG
술집에서는	술집/NNG+에서/JKB+는/JX
다시	다시/MAG
젊은이들의	젊은이/NNG+들/XSN+의/JKG
웃음소리가	웃음소리/NNG+가/JKS
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.253.2.8
재난피해자를 의식해 소비를 너무 자제하면 오히려 복구를 어렵게 한다는 주장이 나오면서 백화점과 상가에도 사람들의 발길이 늘어나기 시작했다.

재난피해자를	재난/NNG+피해자/NNG+를/JKO
의식해	의식/NNG+하/XSV+아/EC
소비를	소비/NNG+를/JKO
너무	너무/MAG
자제하면	자제/NNG+하/XSV+면/EC
오히려	오히려/MAG
복구를	복구/NNG+를/JKO
어렵게	어렵/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
주장이	주장/NNG+이/JKS
나오면서	나오/VV+면서/EC
백화점과	백화점/NNG+과/JC
상가에도	상가/NNG+에/JKB+도/JX
사람들의	사람/NNG+들/XSN+의/JKG
발길이	발길/NNG+이/JKS
늘어나기	늘어나/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.253.3.1
시민들은 일상으로 빠르게 복귀하고 있지만 불안은 여전하다.

시민들은	시민/NNG+들/XSN+은/JX
일상으로	일상/NNG+으로/JKB
빠르게	빠르/VA+게/EC
복귀하고	복귀/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
불안은	불안/NNG+은/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000030.253.3.2
3·11대지진 이후 규모 5 이상의 여진(餘震)만 400회가 넘게 발생했다.

3·11대지진	3/SN+·/SP+11/SN+대/XPN+지진/NNG
이후	이후/NNG
규모	규모/NNG
5	5/SN
이상의	이상/NNG+의/JKG
여진(餘震)만	여진/NNG+(/SS+餘震/SH+)/SS+만/JX
400회가	400/SN+회/NNB+가/JKS
넘게	넘/VV+게/EC
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.253.3.3
하루에도 몇번씩 TV에서는 지진을 알리는 긴급방송이 나오고 몸이 흔들린다.

하루에도	하루/NNG+에/JKB+도/JX
몇번씩	몇/NR+번/NNB+씩/XSN
TV에서는	TV/SL+에서/JKB+는/JX
지진을	지진/NNG+을/JKO
알리는	알리/VV+는/ETM
긴급방송이	긴급/NNG+방송/NNG+이/JKS
나오고	나오/VV+고/EC
몸이	몸/NNG+이/JKS
흔들린다.	흔들리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.253.3.4
'이러다 건물이 붕괴하는 것 아닌가' 하는 그날의 악몽(惡夢)도 되살아난다.

'이러다	'/SS+이러/VV+다/EC
건물이	건물/NNG+이/JKS
붕괴하는	붕괴/NNG+하/XSV+는/ETM
것	것/NNB
아닌가'	아니/VCN+ㄴ가/EF+'/SS
하는	하/VV+는/ETM
그날의	그날/NNG+의/JKG
악몽(惡夢)도	악몽/NNG+(/SS+惡夢/SH+)/SS+도/JX
되살아난다.	되살아나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.253.3.5
방사성 물질 오염 채소에다 물고기까지 등장하면서 '뭘 먹어야 할지 모르겠다'는 불안도 스멀거린다.

방사성	방사/NNG+성/XSN
물질	물질/NNG
오염	오염/NNG
채소에다	채소/NNG+에다/JKB
물고기까지	물고기/NNG+까지/JX
등장하면서	등장/NNG+하/XSV+면서/EC
'뭘	'/SS+뭐/NP+ㄹ/JKO
먹어야	먹/VV+어야/EC
할지	하/VX+ㄹ지/EC
모르겠다'는	모르/VV+겠/EP+다/EF+'/SS+는/ETM
불안도	불안/NNG+도/JX
스멀거린다.	스멀거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.253.3.6
그래도 지진·쓰나미·원전사고라는 전대미문의 위기를 일본인들은 놀라울 정도의 질서로 극복하고 있다.

그래도	그래도/MAJ
지진·쓰나미·원전사고라는	지진/NNG+·/SP+쓰나미/NNG+·/SP+원전/NNG+사고/NNG+이/VCP+라는/ETM
전대미문의	전대미문/NNG+의/JKG
위기를	위기/NNG+를/JKO
일본인들은	일본인/NNG+들/XSN+은/JX
