# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.28
metadata : {}


# id : NWRW1800000030.28.1.1
獨 '아줌마들의 우상' 레이옌 장관 메르켈 뒤이을 여성 총리 '0순위'

獨	獨/SH
'아줌마들의	'/SS+아줌마/NNG+들/XSN+의/JKG
우상'	우상/NNG+'/SS
레이옌	레이옌/NNP
장관	장관/NNG
메르켈	메르켈/NNP
뒤이을	뒤잇/VV+을/ETM
여성	여성/NNG
총리	총리/NNG
'0순위'	'/SS+0/SN+순위/NNG+'/SS


# id : NWRW1800000030.28.2.1
•자녀 7명 낳은 '다산 정치인' 전업주부하다 장관까지 올라, 추진력까지 갖춰 인기 높아

•자녀	•/SW+자녀/NNG
7명	7/SN+명/NNB
낳은	낳/VV+은/ETM
'다산	'/SS+다산/NNG
정치인'	정치인/NNG+'/SS
전업주부하다	전업주부/NNG+하/XSV+다/EC
장관까지	장관/NNG+까지/JX
올라,	오르/VV+아/EC+,/SP
추진력까지	추진력/NNG+까지/JX
갖춰	갖추/VV+어/EC
인기	인기/NNG
높아	높/VA+아/EF


# id : NWRW1800000030.28.3.1
독일에서 우어줄라 폰 데어 레이옌(53·사진) 노동부 장관이 능력 있고 인기있는 정치인으로 주목받고 있다.

독일에서	독일/NNP+에서/JKB
우어줄라	우어줄라/NNP
폰	폰/NNP
데어	데어/NNP
레이옌(53·사진)	레이옌/NNP+(/SS+53/SN+·/SP+사진/NNG+)/SS
노동부	노동부/NNG
장관이	장관/NNG+이/JKS
능력	능력/NNG
있고	있/VA+고/EC
인기있는	인기/NNG+있/VV+는/ETM
정치인으로	정치인/NNG+으로/JKB
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.28.3.2
그녀는 장남 데이비드(24)부터 막내 그라시아(12)까지 자녀 7명을 낳아, 낸시 펠로시 미 하원의장보다 자식 2명을 더 둔 '다산 정치인'으로 유명하다.

그녀는	그녀/NP+는/JX
장남	장남/NNG
데이비드(24)부터	데이비드/NNP+(/SS+24/SN+)/SS+부터/JX
막내	막내/NNG
그라시아(12)까지	그라시아/NNP+(/SS+12/SN+)/SS+까지/JX
자녀	자녀/NNG
7명을	7/SN+명/NNB+을/JKO
낳아,	낳/VV+아/EC+,/SP
낸시	낸시/NNP
펠로시	펠로시/NNP
미	미/NNP
하원의장보다	하원/NNG+의장/NNG+보다/JKB
자식	자식/NNG
2명을	2/SN+명/NNB+을/JKO
더	더/MAG
둔	두/VV+ㄴ/ETM
'다산	'/SS+다산/NNG
정치인'으로	정치인/NNG+'/SS+으로/JKB
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000030.28.4.1
레이옌은 옳다고 믿는 정책은 확실히 밀어붙이는 것으로 정평이 났다.

레이옌은	레이옌/NNP+은/JX
옳다고	옳/VA+다고/EC
믿는	믿/VV+는/ETM
정책은	정책/NNG+은/JX
확실히	확실히/MAG
밀어붙이는	밀어붙이/VV+는/ETM
것으로	것/NNB+으로/JKB
정평이	정평/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.28.4.2
예산을 파격적으로 끌어오고 정책 지원금도 팍팍 내준다.

예산을	예산/NNG+을/JKO
파격적으로	파격/NNG+적/XSN+으로/JKB
끌어오고	끌어오/VV+고/EC
정책	정책/NNG
지원금도	지원금/NNG+도/JX
팍팍	팍팍/MAG
내준다.	내주/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.28.4.3
이미 '아줌마들의 우상'이었던 그녀는 여성 정치인 지지율에서 앙겔라 메르켈 총리 다음을 달려 '독일 내 두 번째 여성 총리가 나온다면 레이옌일 것'이라는 세평이 자자하다.

이미	이미/MAG
'아줌마들의	'/SS+아줌마/NNG+들/XSN+의/JKG
우상'이었던	우상/NNG+'/SS+이/VCP+었/EP+던/ETM
그녀는	그녀/NP+는/JX
여성	여성/NNG
정치인	정치인/NNG
지지율에서	지지/NNG+율/XSN+에서/JKB
앙겔라	앙겔라/NNP
메르켈	메르켈/NNP
총리	총리/NNG
다음을	다음/NNG+을/JKO
달려	달리/VV+어/EC
'독일	'/SS+독일/NNP
내	내/NNB
두	두/MMN
번째	번/NNB+째/XSN
총리가	총리/NNG+가/JKS
나온다면	나오/VV+ㄴ다면/EC
레이옌일	레이옌/NNP+이/VCP+ㄹ/ETM
것'이라는	것/NNB+'/SS+이/VCP+라는/ETM
세평이	세평/NNG+이/JKS
자자하다.	자자하/VA+다/EF+./SF


# id : NWRW1800000030.28.5.1
레이옌은 유럽연합(EU) 위원회에서 일했던 부친 때문에 벨기에 브뤼셀에서 태어났다.

레이옌은	레이옌/NNP+은/JX
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
