# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.312
metadata : {}


# id : NWRW1800000030.312.1.1
4野 단일화로 표는 모았지만… 현장선 '물과 기름'

4野	4/SN+野/SH
단일화로	단일/NNG+화/XSN+로/JKB
표는	표/NNG+는/JX
모았지만…	모으/VV+았/EP+지만/EC+…/SE
현장선	현장/NNG+서/JKB+ㄴ/JX
'물과	'/SS+물/NNG+과/JC
기름'	기름/NNG+'/SS


# id : NWRW1800000030.312.2.1
•경기 분당乙 : 유시민 "유세 돕겠다" 제안 민주 "오히려 역효과" 거절

•경기	•/SW+경기/NNP
분당乙	분당/NNP+乙/SH
:	:/SP
유시민	유시민/NNP
"유세	"/SS+유세/NNG
돕겠다"	돕/VV+겠/EP+다/EF+"/SS
제안	제안/NNG
민주	민주/NNP
"오히려	"/SS+오히려/MAG
역효과"	역효과/NNG+"/SS
거절	거절/NNG


# id : NWRW1800000030.312.3.1
4·27 재·보선에 나설 야권 후보 단일화를 성사시킨 야(野) 4당은 14일 춘천을 시작으로 지역별 공동유세에 들어갔다.

4·27	4/SN+·/SP+27/SN
재·보선에	재·보선/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
야권	야권/NNG
후보	후보/NNG
단일화를	단일/NNG+화/XSN+를/JKO
성사시킨	성사/NNG+시키/XSV+ㄴ/ETM
야(野)	야/NNG+(/SS+野/SH+)/SS
4당은	4/SN+당/NNG+은/JX
14일	14/SN+일/NNB
춘천을	춘천/NNP+을/JKO
시작으로	시작/NNG+으로/JKB
지역별	지역/NNG+별/XSN
공동유세에	공동/NNG+유세/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.3.2
그러나 막상 현장에선 화합적 결합단계에 이르지 못하고 선거운동 지원을 서로 기피하는 현상까지 벌어졌다.

그러나	그러나/MAJ
막상	막상/MAG
현장에선	현장/NNG+에서/JKB+ㄴ/JX
화합적	화합/NNG+적/XSN
결합단계에	결합/NNG+단계/NNG+에/JKB
이르지	이르/VV+지/EC
