# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.404
metadata : {}


# id : NWRW1800000030.404.1.1
[충청] 논산 돈암서원, 인문학 메카로 만든다

[충청]	[/SS+충청/NNP+]/SS
논산	논산/NNP
돈암서원,	돈암서원/NNP+,/SP
인문학	인문학/NNG
메카로	메카/NNG+로/JKB
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000030.404.2.1
?가을부터 강좌·답사 운영, 윤증고택 숙박시설 활용

?가을부터	?/NA+가을/NNG+부터/JX
강좌·답사	강좌/NNG+·/SP+답사/NNG
운영,	운영/NNG+,/SP
윤증고택	윤증고택/NNP
숙박시설	숙박/NNG+시설/NNG
활용	활용/NNG


# id : NWRW1800000030.404.3.1
충남도가 논산시 연산면 임리 '돈암서원'(국가사적 제383호)을 인문학의 메카로 조성키로 했다.

충남도가	충남도/NNP+가/JKS
논산시	논산시/NNP
연산면	연산면/NNP
임리	임리/NNP
'돈암서원'(국가사적	'/SS+돈암서원/NNP+'/SS+(/SS+국가/NNG+사적/NNG
제383호)을	제/XPN+383/SN+호/NNB+)/SS+을/JKO
인문학의	인문학/NNG+의/JKG
메카로	메카/NNG+로/JKB
조성키로	조성/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.404.3.2
돈암서원은 영남학파와 함께 조선시대 유학의 양대 축인 기호학파의 본거지였다.

돈암서원은	돈암서원/NNP+은/JX
영남학파와	영남학파/NNG+와/JKB
함께	함께/MAG
조선시대	조선시대/NNG
유학의	유학/NNG+의/JKG
양대	양대/MMA
축인	축/NNG+이/VCP+ㄴ/ETM
기호학파의	기호학파/NNG+의/JKG
본거지였다.	본거지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.404.4.1
김종민 충남도 정무부지사는 20일 "논산 일원은 조선시대 기호학파 거두인 사계 김장생, 우암 송시열, 명재 윤증 선생의 사상이 고스란히 배어 있는 곳"이라며 "사계 선생의 학문적 업적을 기리기 위해 세워진 돈암서원에서 9월부터 '인문학 강좌'를 운영할 계획"이라고 밝혔다.

김종민	김종민/NNP
충남도	충남도/NNP
정무부지사는	정무/NNG+부지사/NNG+는/JX
20일	20/SN+일/NNB
"논산	"/SS+논산/NNP
일원은	일원/NNG+은/JX
조선시대	조선시대/NNG
기호학파	기호학파/NNG
거두인	거두/NNG+이/VCP+ㄴ/ETM
사계	사계/NNP
김장생,	김장생/NNP+,/SP
우암	우암/NNP
송시열,	송시열/NNP+,/SP
명재	명재/NNP
윤증	윤증/NNP
선생의	선생/NNG+의/JKG
사상이	사상/NNG+이/JKS
고스란히	고스란히/MAG
배어	배/VV+어/EC
있는	있/VX+는/ETM
곳"이라며	곳/NNG+"/SS+이/VCP+라며/EC
"사계	"/SS+사계/NNP
학문적	학문/NNG+적/XSN
업적을	업적/NNG+을/JKO
기리기	기리/VV+기/ETN
위해	위하/VV+아/EC
세워진	세우/VV+어/EC+지/VX+ㄴ/ETM
돈암서원에서	돈암서원/NNP+에서/JKB
9월부터	9/SN+월/NNB+부터/JX
'인문학	'/SS+인문학/NNG
강좌'를	강좌/NNG+'/SS+를/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
계획"이라고	계획/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.404.4.2
이를 통해 답보상태에 놓여있는 논산 일대 기호학파 유교문화권 개발사업의 돌파구를 마련하겠다는 뜻도 깔려 있다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
답보상태에	답보/NNG+상태/NNG+에/JKB
놓여있는	놓이/VV+어/EC+있/VX+는/ETM
논산	논산/NNP
일대	일대/NNG
기호학파	기호학파/NNG
유교문화권	유교/NNG+문화/NNG+권/XSN
개발사업의	개발/NNG+사업/NNG+의/JKG
돌파구를	돌파구/NNG+를/JKO
마련하겠다는	마련/NNG+하/XSV+겠/EP+다는/ETM
뜻도	뜻/NNG+도/JX
깔려	깔리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.404.5.1
도는 9월과 10월 2차례 인문학 강좌를 시범개설한 뒤 내년부터 정기 강좌를 운영할 계획이다.

도는	도/NNG+는/JX
9월과	9/SN+월/NNB+과/JC
10월	10/SN+월/NNB
2차례	2/SN+차례/NNG
인문학	인문학/NNG
강좌를	강좌/NNG+를/JKO
시범개설한	시범/NNG+개설/NNG+하/XSV+ㄴ/ETM
