# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.132
metadata : {}


# id : NWRW1800000032.132.1.1
중 ‘구원투수’ 국부펀드 불안한 경제 구해낼까

중	중/NNP
‘구원투수’	‘/SS+구원/NNG+투수/NNG+’/SS
국부펀드	국부/NNG+펀드/NNG
불안한	불안/NNG+하/XSA+ㄴ/ETM
경제	경제/NNG
구해낼까	구하/VV+아/EC+내/VX+ㄹ까/EF


# id : NWRW1800000032.132.2.1
투자공사, 4대은행 주식매입

투자공사,	투자/NNG+공사/NNG+,/SP
4대은행	4/SN+대/NNG+은행/NNG
주식매입	주식/NNG+매입/NNG


# id : NWRW1800000032.132.3.1
부실 해결안돼 ‘효과’ 회의적

부실	부실/NNG
해결안돼	해결/NNG+안/MAG+되/XSV+어/EC
‘효과’	‘/SS+효과/NNG+’/SS
회의적	회의/NNG+적/XSN


# id : NWRW1800000032.132.4.1
지방정부 부채도 우려 커져

지방정부	지방/NNG+정부/NNG
부채도	부채/NNG+도/JX
우려	우려/NNG
커져	커지/VV+어/EF


# id : NWRW1800000032.132.5.1
중국이 국부펀드를 ‘구원투수’로 내세워 중국 4대은행을 비롯해 곤경에 처한 금융시스템 구하기에 나섰다.

중국이	중국/NNP+이/JKS
국부펀드를	국부/NNG+펀드/NNG+를/JKO
‘구원투수’로	‘/SS+구원/NNG+투수/NNG+’/SS+로/JKB
내세워	내세우/VV+어/EC
중국	중국/NNP
4대은행을	4/SN+대/NNG+은행/NNG+을/JKO
비롯해	비롯하/VV+아/EC
곤경에	곤경/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
금융시스템	금융/NNG+시스템/NNG
구하기에	구하/VV+기/ETN+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.132.6.1
중국투자공사(CIC)의 국내투자 부문인 중앙후이진투자공사는 10일 중국은행, 공상은행, 건설은행, 농업은행 등 4대 은행 주식을 매입했다.

중국투자공사(CIC)의	중국투자공사/NNP+(/SS+CIC/SL+)/SS+의/JKG
국내투자	국내/NNG+투자/NNG
부문인	부문/NNG+이/VCP+ㄴ/ETM
중앙후이진투자공사는	중앙후이진투자공사/NNP+는/JX
10일	10/SN+일/NNB
중국은행,	중국은행/NNP+,/SP
공상은행,	공상은행/NNP+,/SP
건설은행,	건설은행/NNP+,/SP
농업은행	농업은행/NNP
