# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.224
metadata : {}


# id : NWRW1800000032.224.1.1
탈북자단체 대북전단 기습살포

탈북자단체	탈북자/NNG+단체/NNG
대북전단	대북/NNG+전단/NNG
기습살포	기습/NNG+살포/NNG


# id : NWRW1800000032.224.2.1
김포 월곶면서 20만장 날려

김포	김포/NNP
월곶면서	월곶면/NNP+서/JKB
20만장	20/SN+만/NR+장/NNB
날려	날리/VV+어/EF


# id : NWRW1800000032.224.3.1
민통선 마을 주민들 극도 불안

민통선	민통선/NNG
마을	마을/NNG
주민들	주민/NNG+들/XSN
극도	극도/NNG
불안	불안/NNG


# id : NWRW1800000032.224.4.1
탈북자단체인 자유북한운동연합 회원들이 31일 아침 6시30분께 접경지역인 경기도 김포시 월곶면 고막리 문수산 주변에서 대북전단 20만장을 기습적으로 북에 날려보내, 민간인 통제선(민통선) 마을 주민들이 극도로 불안해하고 있다.

탈북자단체인	탈북자/NNG+단체/NNG+이/VCP+ㄴ/ETM
자유북한운동연합	자유북한운동연합/NNP
회원들이	회원/NNG+들/XSN+이/JKS
31일	31/SN+일/NNB
아침	아침/NNG
6시30분께	6/SN+시/NNB+30/SN+분/NNB+께/XSN
접경지역인	접경/NNG+지역/NNG+이/VCP+ㄴ/ETM
경기도	경기도/NNP
김포시	김포시/NNP
월곶면	월곶면/NNP
고막리	고막리/NNP
문수산	문수산/NNP
주변에서	주변/NNG+에서/JKB
대북전단	대북/NNG+전단/NNG
20만장을	20/SN+만/NR+장/NNB+을/JKO
기습적으로	기습/NNG+적/XSN+으로/JKB
북에	북/NNP+에/JKB
날려보내,	날리/VV+어/EC+보내/VV+어/EC+,/SP
민간인	민간인/NNG
통제선(민통선)	통제선/NNG+(/SS+민통선/NNG+)/SS
마을	마을/NNG
주민들이	주민/NNG+들/XSN+이/JKS
극도로	극도/NNG+로/JKB
불안해하고	불안/NNG+하/XSA+아/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.224.5.1
이 단체는 지난 18일과 24일 강원도 철원과 인천 백령도에서 대북전단을 뿌리려다 주민들이 저지하자 이날 주민들 몰래 살포해, 주민들과 마찰은 없었다.

이	이/MMD
단체는	단체/NNG+는/JX
지난	지나/VV+ㄴ/ETM
18일과	18/SN+일/NNB+과/JC
24일	24/SN+일/NNB
강원도	강원도/NNP
철원과	철원/NNP+과/JC
인천	인천/NNP
백령도에서	백령도/NNP+에서/JKB
대북전단을	대북/NNG+전단/NNG+을/JKO
뿌리려다	뿌리/VV+려다/EC
주민들이	주민/NNG+들/XSN+이/JKS
저지하자	저지/NNG+하/XSV+자/EC
이날	이날/NNG
주민들	주민/NNG+들/XSN
몰래	몰래/MAG
살포해,	살포/NNG+하/XSV+아/EC+,/SP
주민들과	주민/NNG+들/XSN+과/JKB
마찰은	마찰/NNG+은/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.224.6.1
서부전선 최북단 민통선 마을인 김포시 월곶면 보구곶리·조강리·용강리·개곡리는 휴전선에서 불과 3㎞ 안팎 지역에 있다.

서부전선	서부/NNG+전선/NNG
최북단	최/XPN+북단/NNG
민통선	민통선/NNG
마을인	마을/NNG+이/VCP+ㄴ/ETM
김포시	김포시/NNP
월곶면	월곶면/NNP
보구곶리·조강리·용강리·개곡리는	보구곶리/NNP+·/SP+조강리/NNP+·/SP+용강리/NNP+·/SP+개곡리/NNP+는/JX
휴전선에서	휴전선/NNG+에서/JKB
불과	불과/MAG
3㎞	3/SN+㎞/SW
안팎	안팎/NNG
지역에	지역/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.224.7.1
인근 김포시 하성면 ‘애기봉’ 꼭대기에 종교단체가 성탄트리 불을 밝힌 지난해 12월 이후 북의 조준포격 우려로 주민 1000여명이 한동안 공포에 떨었던 곳이다.

인근	인근/NNG
김포시	김포시/NNP
하성면	하성면/NNP
‘애기봉’	‘/SS+애기봉/NNP+’/SS
꼭대기에	꼭대기/NNG+에/JKB
종교단체가	종교/NNG+단체/NNG+가/JKS
성탄트리	성탄/NNG+트리/NNG
불을	불/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
지난해	지난해/NNG
12월	12/SN+월/NNB
이후	이후/NNG
북의	북/NNP+의/JKG
조준포격	조준/NNG+포격/NNG
우려로	우려/NNG+로/JKB
주민	주민/NNG
1000여명이	1000/SN+여/XSN+명/NNB+이/JKS
한동안	한/XPN+동안/NNG
공포에	공포/NNG+에/JKB
떨었던	떨/VV+었/EP+던/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.224.8.1
김포시 월곶면·하성면 등 4개 면 이장단협의회와 김포지역 13개 시민사회단체는 “지난해 말 북의 ‘애기봉 조준포격 경고’ 이후 전쟁 위험지역으로 부각돼 땅값이 폭락하고 지역상권이 붕괴돼 주민들이 살기가 힘들어졌는데, 또다시 북에 공격의 빌미를 줘 걱정이 크다”며 이날 전단 살포에 강한 불만을 나타냈다.

김포시	김포시/NNP
월곶면·하성면	월곶면/NNP+·/SP+하성면/NNP
등	등/NNB
4개	4/SN+개/NNB
면	면/NNG
이장단협의회와	이장/NNG+단/NNG+협의회/NNG+와/JC
김포지역	김포/NNP+지역/NNG
13개	13/SN+개/NNB
시민사회단체는	시민/NNG+사회단체/NNG+는/JX
“지난해	“/SS+지난해/NNG
말	말/NNB
북의	북/NNP+의/JKG
‘애기봉	‘/SS+애기봉/NNP
