# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.413
metadata : {}


# id : NWRW1800000032.413.1.1
혁신과통합 “안철수 동참했으면”

혁신과통합	혁신과통합/NNP
“안철수	“/SS+안철수/NNP
동참했으면”	동참/NNG+하/XSV+았/EP+으면/EF+”/SS


# id : NWRW1800000032.413.2.1
개방형 당원제·SNS정당 등 통합정당 방안 제시

개방형	개방/NNG+형/XSN
당원제·SNS정당	당원/NNG+제/XSN+·/SP+SNS/SL+정당/NNG
등	등/NNB
통합정당	통합/NNG+정당/NNG
방안	방안/NNG
제시	제시/NNG


# id : NWRW1800000032.413.3.1
야권통합 추진기구인 ‘혁신과 통합’이 6일 안철수 서울대 융합과학기술대학원장의 통합정당 동참을 제안했다.

야권통합	야권/NNG+통합/NNG
추진기구인	추진/NNG+기구/NNG+이/VCP+ㄴ/ETM
‘혁신과	‘/SS+혁신/NNG+과/JC
통합’이	통합/NNG+’/SS+이/JKS
6일	6/SN+일/NNB
안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장의	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+의/JKG
통합정당	통합/NNG+정당/NNG
동참을	동참/NNG+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.413.3.2
동시에 통합정당은 “정당의 문턱을 크게 낮춰 시민들의 적극적인 참여를 활성화해야 한다”며 시민이 주도하는 ‘혁신적 통합정당’이 돼야 한다고 제시했다.

동시에	동시/NNG+에/JKB
통합정당은	통합/NNG+정당/NNG+은/JX
“정당의	“/SS+정당/NNG+의/JKG
문턱을	문턱/NNG+을/JKO
크게	크/VA+게/EC
낮춰	낮추/VV+어/EC
시민들의	시민/NNG+들/XSN+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
활성화해야	활성/NNG+화/XSN+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
시민이	시민/NNG+이/JKS
주도하는	주도/NNG+하/XSV+는/ETM
‘혁신적	‘/SS+혁신/NNG+적/XSN
통합정당’이	통합/NNG+정당/NNG+’/SS+이/JKC
돼야	되/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.413.4.1
혁신과 통합의 이해찬·문성근 상임대표 등은 이날 기자 간담회를 열어 “안철수 교수도 변화를 바라는 시민들의 요구를 받아들여 혁신적 통합정당 건설의 길에 함께했으면 한다”며 안철수 원장에게 동참할 것을 제안했다.

혁신과	혁신/NNG+과/JC
통합의	통합/NNG+의/JKG
이해찬·문성근	이해찬/NNP+·/SP+문성근/NNP
상임대표	상임/NNG+대표/NNG
등은	등/NNB+은/JX
이날	이날/NNG
기자	기자/NNG
간담회를	간담회/NNG+를/JKO
열어	열/VV+어/EC
“안철수	“/SS+안철수/NNP
교수도	교수/NNG+도/JX
변화를	변화/NNG+를/JKO
바라는	바라/VV+는/ETM
시민들의	시민/NNG+들/XSN+의/JKG
요구를	요구/NNG+를/JKO
받아들여	받아들이/VV+어/EC
혁신적	혁신/NNG+적/XSN
통합정당	통합/NNG+정당/NNG
건설의	건설/NNG+의/JKG
길에	길/NNG+에/JKB
함께했으면	함께/MAG+하/XSV+았/EP+으면/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
안철수	안철수/NNP
원장에게	원장/NNG+에게/JKB
동참할	동참/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안했다.	제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.413.4.2
박원순 서울시장은 야권의 통합정당이 발족하면 합류하겠다는 뜻을 이미 밝혔다.

박원순	박원순/NNP
서울시장은	서울시장/NNG+은/JX
야권의	야권/NNG+의/JKG
통합정당이	통합/NNG+정당/NNG+이/JKS
발족하면	발족/NNG+하/XSV+면/EC
합류하겠다는	합류/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
이미	이미/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.413.5.1
손학규 민주당 대표가 제안한 통합 일정에도 혁신과 통합은 환영의 뜻을 나타냈다.

손학규	손학규/NNP
민주당	민주당/NNP
대표가	대표/NNG+가/JKS
제안한	제안/NNG+하/XSV+ㄴ/ETM
통합	통합/NNG
일정에도	일정/NNG+에/JKB+도/JX
혁신과	혁신/NNG+과/JC
통합은	통합/NNG+은/JX
환영의	환영/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.413.5.2
민주당과 진보정당, 시민정치세력, 그리고 안철수·박원순 세력까지 통합정당이란 한 울타리에 모이자는 것이다.

민주당과	민주당/NNP+과/JC
진보정당,	진보/NNG+정당/NNG+,/SP
시민정치세력,	시민/NNG+정치/NNG+세력/NNG+,/SP
그리고	그리고/MAJ
안철수·박원순	안철수/NNP+·/SP+박원순/NNP
세력까지	세력/NNG+까지/JX
통합정당이란	통합/NNG+정당/NNG+이/VCP+란/ETM
한	한/MMN
울타리에	울타리/NNG+에/JKB
모이자는	모이/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.413.6.1
혁신과 통합은 이날 야권통합의 결과물로 탄생할 ‘혁신적 통합정당’의 얼개도 밝혔다.

혁신과	혁신/NNG+과/JC
통합은	통합/NNG+은/JX
이날	이날/NNG
야권통합의	야권/NNG+통합/NNG+의/JKG
결과물로	결과물/NNG+로/JKB
탄생할	탄생/NNG+하/XSV+ㄹ/ETM
‘혁신적	‘/SS+혁신/NNG+적/XSN
통합정당’의	통합/NNG+정당/NNG+’/SS+의/JKG
얼개도	얼개/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.413.6.2
이들은 먼저 통합정당의 당원 구조로 ‘개방형 시민당원제’를 제시했다.

이들은	이/NP+들/XSN+은/JX
먼저	먼저/MAG
통합정당의	통합/NNG+정당/NNG+의/JKG
당원	당원/NNG
구조로	구조/NNG+로/JKB
‘개방형	‘/SS+개방/NNG+형/XSN
시민당원제’를	시민/NNG+당원/NNG+제/XSN+’/SS+를/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.413.6.3
김기식 공동대표는 “당원의 형식에 엄격함을 두지 말고, 당원이 아니더라도 당의 정치 과정에 시민들이 자유롭게 참여할 수 있는 열린 정당 구조를 만들자는 것”이라고 설명했다.

김기식	김기식/NNP
공동대표는	공동/NNG+대표/NNG+는/JX
“당원의	“/SS+당원/NNG+의/JKG
형식에	형식/NNG+에/JKB
엄격함을	엄격/NNG+하/XSA+ㅁ/ETN+을/JKO
두지	두/VV+지/EC
말고,	말/VX+고/EC+,/SP
당원이	당원/NNG+이/JKC
아니더라도	아니/VCN+더라도/EC
당의	당/NNG+의/JKG
정치	정치/NNG
과정에	과정/NNG+에/JKB
시민들이	시민/NNG+들/XSN+이/JKS
자유롭게	자유/NNG+롭/XSA+게/EC
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
열린	열리/VV+ㄴ/ETM
정당	정당/NNG
구조를	구조/NNG+를/JKO
만들자는	만들/VV+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.413.6.4
지지자 중심의 미국식 정당 모델도 폭넓게 수용하겠다는 것이다.

지지자	지지자/NNG
중심의	중심/NNG+의/JKG
미국식	미국식/NNG
정당	정당/NNG
모델도	모델/NNG+도/JX
폭넓게	폭넓/VA+게/EC
수용하겠다는	수용/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.413.7.1
둘째는 에스엔에스(SNS·사회관계망 서비스) 기반의 ‘소셜네트워크 정당’이다.

둘째는	둘째/NR+는/JX
에스엔에스(SNS·사회관계망	에스엔에스/NNG+(/SS+SNS/SL+·/SP+사회관계망/NNG
서비스)	서비스/NNG+)/SS
기반의	기반/NNG+의/JKG
‘소셜네트워크	‘/SS+소셜/NNG+네트워크/NNG
정당’이다.	정당/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000032.413.7.2
에스엔에스와 인터넷을 통해 기존의 정당 정치가 놓쳤던 민심을 반영하는 수단을 갖추자는 것이다.

에스엔에스와	에스엔에스/NNG+와/JC
인터넷을	인터넷/NNG+을/JKO
통해	통하/VV+아/EC
기존의	기존/NNG+의/JKG
정당	정당/NNG
정치가	정치/NNG+가/JKS
놓쳤던	놓치/VV+었/EP+던/ETM
민심을	민심/NNG+을/JKO
반영하는	반영/NNG+하/XSV+는/ETM
수단을	수단/NNG+을/JKO
갖추자는	갖추/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.413.7.3
이밖에 각종 정책에 대한 ‘시민 반응성 지수’ 도입 등도 포함됐다.

이밖에	이/NP+밖/NNG+에/JKB
각종	각종/NNG
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘시민	‘/SS+시민/NNG
반응성	반응/NNG+성/XSN
지수’	지수/NNG+’/SS
도입	도입/NNG
등도	등/NNB+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.413.7.4
시민 여론조사나 패널 운영 등을 통해 정책에 대한 여론을 묻고, 이를 지수화해 적극적으로 정책 수립 및 기조 운용에 반영하자는 것이다.

시민	시민/NNG
여론조사나	여론/NNG+조사/NNG+나/JC
패널	패널/NNG
운영	운영/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
정책에	정책/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여론을	여론/NNG+을/JKO
묻고,	묻/VV+고/EC+,/SP
이를	이/NP+를/JKO
지수화해	지수/NNG+화/XSN+하/XSV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
정책	정책/NNG
수립	수립/NNG
및	및/MAG
기조	기조/NNG
운용에	운용/NNG+에/JKB
반영하자는	반영/NNG+하/XSV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.413.8.1
혁신과 통합이 이날 밝힌 방안은 10·26 서울시장 보궐선거에서 박원순 시장에게 지지를 보낸 각계각층의 유권자, 특히 60~70%대의 높은 지지를 보인 20~40대 유권자들이 참여할 수 있는 틀을 고민한 결과물로 보인다.

혁신과	혁신/NNG+과/JC
통합이	통합/NNG+이/JKS
이날	이날/NNG
밝힌	밝히/VV+ㄴ/ETM
