# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.121
metadata : {}


# id : NWRW1800000033.121.1.1
[신나는 공부]고려대 미디어스쿨 2기 수료식 “언론인의 꿈, 가슴에 새겼습니다”

[신나는	[/SS+신나/VV+는/ETM
공부]고려대	공부/NNG+]/SS+고려대/NNP
미디어스쿨	미디어스쿨/NNP
2기	2/SN+기/NNG
수료식	수료식/NNG
“언론인의	“/SS+언론인/NNG+의/JKG
꿈,	꿈/NNG+,/SP
가슴에	가슴/NNG+에/JKB
새겼습니다”	새기/VV+었/EP+습니다/EF+”/SS


# id : NWRW1800000033.121.2.1
“이틀을 공들여 작성한 기사를 두고 현직 기자님들로부터 가슴을 후벼 파는 듯한 독설을 들었을 때 제 자신이 한없이 작아보였습니다.

“이틀을	“/SS+이틀/NNG+을/JKO
공들여	공들이/VV+어/EC
작성한	작성/NNG+하/XSV+ㄴ/ETM
기사를	기사/NNG+를/JKO
두고	두/VV+고/EC
현직	현직/NNG
기자님들로부터	기자/NNG+님/XSN+들/XSN+로부터/JKB
가슴을	가슴/NNG+을/JKO
후벼	후비/VV+어/EC
파는	파/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
독설을	독설/NNG+을/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
제	저/NP+의/JKG
자신이	자신/NNG+이/JKS
한없이	한없이/MAG
작아보였습니다.	작/VA+아/EC+보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000033.121.2.2
하지만 이 모든 과정이 훗날 기자가 됐을 때 큰 내공이 돼줄 거라 믿습니다.”(2기 기자반 안혜란 양·서울 성심여고 3)

하지만	하지만/MAJ
이	이/MMD
모든	모든/MMN
과정이	과정/NNG+이/JKS
훗날	훗날/NNG
기자가	기자/NNG+가/JKS
됐을	되/VV+었/EP+을/ETM
때	때/NNG
큰	크/VA+ㄴ/ETM
내공이	내공/NNG+이/JKC
돼줄	되/VV+어/EC+주/VX+ㄹ/ETM
거라	거/NNB+이/VCP+라/EC
믿습니다.”(2기	믿/VV+습니다/EF+./SF+”/SS+(/SS+2/SN+기/NNG
기자반	기자/NNG+반/NNG
안혜란	안혜란/NNP
양·서울	양/NNB+·/SP+서울/NNP
성심여고	성심여고/NNP
3)	3/SN+)/SS


# id : NWRW1800000033.121.3.1
“SBS 부성철 PD님이 해주신 말이 있습니다.

“SBS	“/SS+SBS/SL
부성철	부성철/NNP
PD님이	PD/SL+님/XSN+이/JKS
해주신	하/VV+아/EC+주/VX+시/EP+ㄴ/ETM
말이	말/NNG+이/JKS
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000033.121.3.2
너희들 마음속에 있는 냄비에 PD라는 직업을 넣고 끓여보라고.

너희들	너희/NP+들/XSN
마음속에	마음속/NNG+에/JKB
있는	있/VA+는/ETM
냄비에	냄비/NNG+에/JKB
PD라는	PD/SL+이/VCP+라는/ETM
직업을	직업/NNG+을/JKO
넣고	넣/VV+고/EC
끓여보라고.	끓이/VV+어/EC+보/VX+라고/EF+./SF


# id : NWRW1800000033.121.3.3
물이 끓지 않는다면 끓을 수 있도록 단서를 찾든지, 다른 길을 찾아보라고.

물이	물/NNG+이/JKS
끓지	끓/VV+지/EC
않는다면	않/VX+는다면/EC
끓을	끓/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
단서를	단서/NNG+를/JKO
찾든지,	찾/VV+든지/EC+,/SP
다른	다른/MMD
