# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.82
metadata : {}


# id : NWRW1800000033.82.1.1
인도까지 반발… ‘中여권 지도’ 파문 확산

인도까지	인도/NNP+까지/JX
반발…	반발/NNG+…/SE
‘中여권	‘/SS+中/SH+여권/NNG
지도’	지도/NNG+’/SS
파문	파문/NNG
확산	확산/NNG


# id : NWRW1800000033.82.2.1
中, 자국영토 그림에 中-印 분쟁지역 포함 印, 중국인용 비자에 인도영토 표시 맞불 베트남, 中여권에 ‘무효’ 직인 찍고 별도 비자

中,	中/SH+,/SP
자국영토	자국/NNG+영토/NNG
그림에	그림/NNG+에/JKB
中-印	中/SH+-/SO+印/SH
분쟁지역	분쟁/NNG+지역/NNG
포함	포함/NNG
印,	印/SH+,/SP
중국인용	중국인/NNG+용/XSN
비자에	비자/NNG+에/JKB
인도영토	인도/NNP+영토/NNG
표시	표시/NNG
맞불	맞불/NNG
베트남,	베트남/NNP+,/SP
中여권에	中/SH+여권/NNG+에/JKB
‘무효’	‘/SS+무효/NNG+’/SS
직인	직인/NNG
찍고	찍/VV+고/EC
별도	별도/NNG
비자	비자/NNG


# id : NWRW1800000033.82.3.1
중국이 자국 국민에게 발급하는 새 여권의 지도에 동남아 일대뿐 아니라 인도와 영토분쟁을 빚고 있는 지역까지 자국 영토로 표시한 것으로 알려졌다.

중국이	중국/NNP+이/JKS
자국	자국/NNG
국민에게	국민/NNG+에게/JKB
발급하는	발급/NNG+하/XSV+는/ETM
새	새/MMA
여권의	여권/NNG+의/JKG
지도에	지도/NNG+에/JKB
동남아	동남아/NNP
일대뿐	일대/NNG+뿐/JX
아니라	아니/VCN+라/EC
인도와	인도/NNP+와/JKB
영토분쟁을	영토/NNG+분쟁/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
지역까지	지역/NNG+까지/JX
영토로	영토/NNG+로/JKB
표시한	표시/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.82.3.2
이에 따라 인도가 공식 반발하며 대응책 마련에 나서 파문이 확산되고 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
인도가	인도/NNP+가/JKS
