# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.130
metadata : {}


# id : NWRW1800000036.130.1.1
김종영과 칼더…현대조각 거장 ‘2인 2색’

김종영과	김종영/NNP+과/JC
칼더…현대조각	칼더/NNP+…/SE+현대/NNG+조각/NNG
거장	거장/NNG
‘2인	‘/SS+2/SN+인/NNG
2색’	2/SN+색/NNG+’/SS


# id : NWRW1800000036.130.2.1
[한겨레] 한국 현대조각 선구자 김종영

[한겨레]	[/SS+한겨레/NNP+]/SS
한국	한국/NNP
현대조각	현대/NNG+조각/NNG
선구자	선구자/NNG
김종영	김종영/NNP


# id : NWRW1800000036.130.3.1
모더니즘에 동양적 정취 물씬

모더니즘에	모더니즘/NNG+에/JKB
동양적	동양/NNG+적/XSN
정취	정취/NNG
물씬	물씬/MAG


# id : NWRW1800000036.130.4.1
조각 외 드로잉·서예도 눈길

조각	조각/NNG
외	외/NNB
드로잉·서예도	드로잉/NNG+·/SP+서예/NNG+도/JX
눈길	눈길/NNG


# id : NWRW1800000036.130.5.1
현대 조각에서 가장 중요한 작가들로 평가받는 국내외 조각 거장들의 전시회가 동시에 열리고 있다.

현대	현대/NNG
조각에서	조각/NNG+에서/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
작가들로	작가/NNG+들/XSN+로/JKB
평가받는	평가/NNG+받/XSV+는/ETM
국내외	국내외/NNG
조각	조각/NNG
거장들의	거장/NNG+들/XSN+의/JKG
전시회가	전시회/NNG+가/JKS
동시에	동시/NNG+에/JKB
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.130.6.1
서울 평창동 김종영미술관(02-3217-6484)에서는 조각가 우성 김종영(1915~82)의 작고 30주기를 맞아 ‘김종영 그 절대를 향한’ 전시회를 26일까지 연다.

서울	서울/NNP
평창동	평창동/NNP
김종영미술관(02-3217-6484)에서는	김종영미술관/NNP+(/SS+02/SN+-/SO+3217/SN+-/SO+6484/SN+)/SS+에서/JKB+는/JX
조각가	조각가/NNG
우성	우성/NNP
김종영(1915~82)의	김종영/NNP+(/SS+1915/SN+~/SO+82/SN+)/SS+의/JKG
작고	작고/NNG
30주기를	30/SN+주기/NNB+를/JKO
맞아	맞/VV+아/EC
‘김종영	‘/SS+김종영/NNP
그	그/MMD
절대를	절대/NNG+를/JKO
향한’	향하/VV+ㄴ/ETM+’/SS
전시회를	전시회/NNG+를/JKO
26일까지	26/SN+일/NNB+까지/JX
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.130.6.2
전후 한국 현대조각을 대표했던 김종영의 작품 세계 전반을 돌아볼 수 있는 자리다.

전후	전후/NNG
한국	한국/NNP
현대조각을	현대/NNG+조각/NNG+을/JKO
대표했던	대표/NNG+하/XSV+았/EP+던/ETM
김종영의	김종영/NNP+의/JKG
작품	작품/NNG
세계	세계/NNG
전반을	전반/NNG+을/JKO
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.130.7.1
우성의 조각은 형태의 근본을 추구하는 작가의 집요함이 묻어나면서도 흥취가 엿보인다.

우성의	우성/NNP+의/JKG
조각은	조각/NNG+은/JX
형태의	형태/NNG+의/JKG
근본을	근본/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
작가의	작가/NNG+의/JKG
집요함이	집요하/VA+ㅁ/ETN+이/JKS
묻어나면서도	묻어나/VV+면서/EC+도/JX
흥취가	흥취/NNG+가/JKS
엿보인다.	엿보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.130.7.2
언뜻 보면 현대적인 모더니즘의 느낌이 강렬한데 동시에 동양적인 분위기도 함께 풍기는 것도 특징이다.

언뜻	언뜻/MAG
보면	보/VV+면/EC
현대적인	현대/NNG+적/XSN+이/VCP+ㄴ/ETM
모더니즘의	모더니즘/NNG+의/JKG
느낌이	느낌/NNG+이/JKS
강렬한데	강렬하/VA+ㄴ데/EC
동시에	동시/NNG+에/JKB
동양적인	동양/NNG+적/XSN+이/VCP+ㄴ/ETM
분위기도	분위기/NNG+도/JX
함께	함께/MAG
풍기는	풍기/VV+는/ETM
것도	것/NNB+도/JX
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.130.7.3
우성은 조각가로 널리 알려졌지만 회화와 서예 등 미술 전 분야를 평생 탐구했던 작가였다.

우성은	우성/NNP+은/JX
조각가로	조각가/NNG+로/JKB
널리	널리/MAG
알려졌지만	알려지/VV+었/EP+지만/EC
회화와	회화/NNG+와/JC
서예	서예/NNG
등	등/NNB
미술	미술/NNG
전	전/MMN
분야를	분야/NNG+를/JKO
평생	평생/NNG
탐구했던	탐구/NNG+하/XSV+았/EP+던/ETM
작가였다.	작가/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.130.7.4
그의 예술에 가장 중요한 영향을 끼친 이는 추사 김정희.

그의	그/NP+의/JKG
예술에	예술/NNG+에/JKB
