# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.147
metadata : {}


# id : NWRW1800000036.147.1.1
‘반지의 제왕’보다 경쾌하지만 기시감 커

‘반지의	‘/SS+반지/NNG+의/JKG
제왕’보다	제왕/NNG+’/SS+보다/JKB
경쾌하지만	경쾌하/VA+지만/EC
기시감	기시감/NNG
커	크/VA+어/EF


# id : NWRW1800000036.147.2.1
[한겨레] 리뷰 l 호빗

[한겨레]	[/SS+한겨레/NNP+]/SS
리뷰	리뷰/NNG
l	l/SL
호빗	호빗/NNP


# id : NWRW1800000036.147.3.1
<호빗: 뜻밖의 여정>(호빗)은 <반지의 제왕>의 ‘반지원정대’가 모험을 떠나기 60년 전으로 거슬러 올라간 이야기다.

<호빗:	</SS+호빗/NNP+:/SP
뜻밖의	뜻밖/NNG+의/JKG
여정>(호빗)은	여정/NNG+>/SS+(/SS+호빗/NNP+)/SS+은/JX
<반지의	</SS+반지/NNG+의/JKG
제왕>의	제왕/NNG+>/SS+의/JKG
‘반지원정대’가	‘/SS+반지원정대/NNP+’/SS+가/JKS
모험을	모험/NNG+을/JKO
떠나기	떠나/VV+기/ETN
60년	60/SN+년/NNB
전으로	전/NNG+으로/JKB
거슬러	거스르/VV+어/EC
올라간	올라가/VV+ㄴ/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.3.2
피터 잭슨 감독이 2001년부터 2003년까지 <반지의 제왕> 3부작을 내놓은 뒤에 다시 새롭게 시작하는, <반지의 제왕>의 실마리가 되는 과거다.

피터	피터/NNP
잭슨	잭슨/NNP
감독이	감독/NNG+이/JKS
2001년부터	2001/SN+년/NNB+부터/JX
2003년까지	2003/SN+년/NNB+까지/JX
<반지의	</SS+반지/NNG+의/JKG
제왕>	제왕/NNG+>/SS
3부작을	3/SN+부작/NNB+을/JKO
내놓은	내놓/VV+은/ETM
뒤에	뒤/NNG+에/JKB
다시	다시/MAG
새롭게	새롭/VA+게/EC
시작하는,	시작/NNG+하/XSV+는/ETM+,/SP
제왕>의	제왕/NNG+>/SS+의/JKG
실마리가	실마리/NNG+가/JKC
되는	되/VV+는/ETM
과거다.	과거/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.3.3
원작자 톨킨은 1937년 <호빗>을 출간했고 <반지의 제왕>은 17년 뒤인 1954년 펴냈다.

원작자	원작자/NNG
톨킨은	톨킨/NNP+은/JX
1937년	1937/SN+년/NNB
<호빗>을	</SS+호빗/NNP+>/SS+을/JKO
출간했고	출간/NNG+하/XSV+았/EP+고/EC
<반지의	</SS+반지/NNG+의/JKG
제왕>은	제왕/NNG+>/SS+은/JX
17년	17/SN+년/NNB
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
1954년	1954/SN+년/NNB
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.147.4.1
<호빗>에서는 <반지의 제왕> 1편 <반지원정대>에서 조카 ‘프로도’(일라이저 우드)에게 반지를 넘겨준 삼촌 ‘빌보’(마틴 프리먼, <반지의 제왕> 3부작에선 이언 홈)가 주인공으로 등장한다.

<호빗>에서는	</SS+호빗/NNP+>/SS+에서/JKB+는/JX
<반지의	</SS+반지/NNG+의/JKG
제왕>	제왕/NNG+>/SS
1편	1/SN+편/NNB
<반지원정대>에서	</SS+반지원정대/NNP+>/SS+에서/JKB
조카	조카/NNG
‘프로도’(일라이저	‘/SS+프로도/NNP+’/SS+(/SS+일라이저/NNP
우드)에게	우드/NNP+)/SS+에게/JKB
반지를	반지/NNG+를/JKO
넘겨준	넘겨주/VV+ㄴ/ETM
삼촌	삼촌/NNG
‘빌보’(마틴	‘/SS+빌보/NNP+’/SS+(/SS+마틴/NNP
프리먼,	프리먼/NNP+,/SP
3부작에선	3/SN+부작/NNB+에서/JKB+ㄴ/JX
이언	이언/NNP
홈)가	홈/NNP+)/SS+가/JKS
주인공으로	주인공/NNG+으로/JKB
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.4.2
호빗족 마을에서 평온하게 살아가던 빌보에게 회색의 마법사 ‘간달프’(이언 매켈런)가 불쑥 찾아와 뜻밖의 제안을 한다.

호빗족	호빗족/NNP
마을에서	마을/NNG+에서/JKB
평온하게	평온/NNG+하/XSA+게/EC
살아가던	살아가/VV+던/ETM
빌보에게	빌보/NNP+에게/JKB
회색의	회색/NNG+의/JKG
마법사	마법사/NNG
‘간달프’(이언	‘/SS+간달프/NNP+’/SS+(/SS+이언/NNP
매켈런)가	매켈런/NNP+)/SS+가/JKS
불쑥	불쑥/MAG
찾아와	찾아오/VV+아/EC
뜻밖의	뜻밖/NNG+의/JKG
제안을	제안/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.4.3
난쟁이족의 영토였지만 지금은 사악한 용 ‘스마우그’에게 빼앗긴 ‘외로운 산’ 에레보르 왕국을 되찾기 위해 떠나자는 것이다.

난쟁이족의	난쟁이족/NNG+의/JKG
영토였지만	영토/NNG+이/VCP+었/EP+지만/EC
지금은	지금/NNG+은/JX
사악한	사악/NNG+하/XSA+ㄴ/ETM
용	용/NNG
‘스마우그’에게	‘/SS+스마우그/NNP+’/SS+에게/JKB
빼앗긴	빼앗기/VV+ㄴ/ETM
‘외로운	‘/SS+외롭/VA+ㄴ/ETM
산’	산/NNG+’/SS
에레보르	에레보르/NNP
왕국을	왕국/NNG+을/JKO
되찾기	되찾/VV+기/ETN
위해	위하/VV+아/EC
떠나자는	떠나/VV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.4.4
별로 내키지 않아 하는 빌보의 집에 한밤중 13명의 난쟁이족 원정대가 차례로 찾아와 시끌벅적한 잔치를 벌인다.

별로	별로/MAG
내키지	내키/VV+지/EC
않아	않/VX+아/EC
하는	하/VX+는/ETM
빌보의	빌보/NNP+의/JKG
집에	집/NNG+에/JKB
한밤중	한/XPN+밤중/NNG
13명의	13/SN+명/NNB+의/JKG
난쟁이족	난쟁이족/NNG
원정대가	원정대/NNG+가/JKS
차례로	차례/NNG+로/JKB
찾아와	찾아오/VV+아/EC
시끌벅적한	시끌벅적/MAG+하/XSA+ㄴ/ETM
잔치를	잔치/NNG+를/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.4.5
빌보는 망설임 끝에 그들 일행에 합류해 오르크·와르그 등 괴물과 마법사·엘프 등과 맞닥뜨리는 험난한 여정을 시작한다.

빌보는	빌보/NNP+는/JX
망설임	망설임/NNG
끝에	끝/NNG+에/JKB
그들	그/NP+들/XSN
일행에	일행/NNG+에/JKB
합류해	합류/NNG+하/XSV+아/EC
오르크·와르그	오르크/NNP+·/SP+와르그/NNP
등	등/NNB
괴물과	괴물/NNG+과/JC
마법사·엘프	마법사/NNG+·/SP+엘프/NNG
등과	등/NNB+과/JKB
맞닥뜨리는	맞닥뜨리/VV+는/ETM
험난한	험난하/VA+ㄴ/ETM
여정을	여정/NNG+을/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.147.5.1
<호빗>에서 가장 흥미로운 대목은 어떻게 빌보가 절대반지를 손에 넣게 됐는지 드러나는 부분이다.

<호빗>에서	</SS+호빗/NNP+>/SS+에서/JKB
가장	가장/MAG
흥미로운	흥미/NNG+롭/XSA+ㄴ/ETM
대목은	대목/NNG+은/JX
어떻게	어떻/VA+게/EC
빌보가	빌보/NNP+가/JKS
절대반지를	절대/NNG+반지/NNG+를/JKO
손에	손/NNG+에/JKB
넣게	넣/VV+게/EC
됐는지	되/VV+었/EP+는지/EF
드러나는	드러나/VV+는/ETM
부분이다.	부분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.147.5.2
빌보는 일행과 떨어져 고블린 동굴에서 헤매다 괴물 골룸(앤디 서키스)과 마주치고, 골룸이 흘린 ‘절대반지’를 우연히 줍게 된다.

빌보는	빌보/NNP+는/JX
일행과	일행/NNG+과/JKB
떨어져	떨어지/VV+어/EC
고블린	고블린/NNG
동굴에서	동굴/NNG+에서/JKB
헤매다	헤매/VV+다/EC
괴물	괴물/NNG
골룸(앤디	골룸/NNP+(/SS+앤디/NNP
서키스)과	서키스/NNP+)/SS+과/JKB
마주치고,	마주치/VV+고/EC+,/SP
골룸이	골룸/NNP+이/JKS
흘린	흘리/VV+ㄴ/ETM
