# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.236
metadata : {}


# id : NWRW1800000036.236.1.1
‘주말 교육프로그램’ 171가지 체험해볼까

‘주말	‘/SS+주말/NNG
교육프로그램’	교육/NNG+프로그램/NNG+’/SS
171가지	171/SN+가지/NNB
체험해볼까	체험/NNG+하/XSV+아/EC+보/VX+ㄹ까/EF


# id : NWRW1800000036.236.2.1
[한겨레] 고양서 21~23일 박람회 열어

[한겨레]	[/SS+한겨레/NNP+]/SS
고양서	고양/NNP+서/JKB
21~23일	21/SN+~/SO+23/SN+일/NNB
박람회	박람회/NNG
열어	열/VV+어/EF


# id : NWRW1800000036.236.3.1
우주체험·진로멘토링 등 마련

우주체험·진로멘토링	우주/NNG+체험/NNG+·/SP+진로/NNG+멘토링/NNG
등	등/NNB
마련	마련/NNG


# id : NWRW1800000036.236.4.1
주5일제 수업 전면 시행에 따라 초·중·고 학생과 학부모가 주말에 학교 밖에서 즐길 수 있는 교육프로그램을 한자리에서 체험해보는 교육박람회가 열린다.

주5일제	주/NNG+5/SN+일/NNB+제/XSN
수업	수업/NNG
전면	전면/NNG
시행에	시행/NNG+에/JKB
따라	따르/VV+아/EC
초·중·고	초·중·고/NNG
학생과	학생/NNG+과/JC
학부모가	학부모/NNG+가/JKS
주말에	주말/NNG+에/JKB
학교	학교/NNG
밖에서	밖/NNG+에서/JKB
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
교육프로그램을	교육/NNG+프로그램/NNG+을/JKO
한자리에서	한자리/NNG+에서/JKB
체험해보는	체험/NNG+하/XSV+아/EC+보/VX+는/ETM
교육박람회가	교육/NNG+박람회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.236.4.2
경기도는 오는 21~23일 고양시 킨텍스에서 기업, 공공기관, 학교, 단체 등 90곳이 참여하는 ‘창의·인성 교육나눔 박람회’(blog.naver.com/2012edunanum)를 연다고 18일 밝혔다.

경기도는	경기도/NNP+는/JX
오는	오/VV+는/ETM
21~23일	21/SN+~/SO+23/SN+일/NNB
고양시	고양시/NNP
킨텍스에서	킨텍스/NNP+에서/JKB
기업,	기업/NNG+,/SP
공공기관,	공공/NNG+기관/NNG+,/SP
학교,	학교/NNG+,/SP
단체	단체/NNG
등	등/NNB
90곳이	90/SN+곳/NNG+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
‘창의·인성	‘/SS+창의/NNG+·/SP+인성/NNG
교육나눔	교육/NNG+나누/VV+ㅁ/ETN
박람회’(blog.naver.com/2012edunanum)를	박람회/NNG+’/SS+(/SS+blog/SL+./SP+naver/SL+./SP+com/SL+//SP+2012/SN+edunanum/SL+)/SS+를/JKO
연다고	열/VV+ㄴ다고/EC
18일	18/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.236.4.3
박람회는 미래로, 예술로, 지혜로, 창의로 등 4개의 테마존에 171개의 체험부스가 마련돼 학생들이 자신의 적성과 흥미에 맞는 테마여행을 즐길 수 있다.

박람회는	박람회/NNG+는/JX
미래로,	미래/NNG+로/JKB+,/SP
예술로,	예술/NNG+로/JKB+,/SP
지혜로,	지혜/NNG+로/JKB+,/SP
창의로	창의/NNG+로/JKB
등	등/NNB
4개의	4/SN+개/NNB+의/JKG
테마존에	테마/NNG+존/NNG+에/JKB
171개의	171/SN+개/NNB+의/JKG
체험부스가	체험/NNG+부스/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
학생들이	학생/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
적성과	적성/NNG+과/JC
흥미에	흥미/NNG+에/JKB
맞는	맞/VV+는/ETM
테마여행을	테마/NNG+여행/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.236.5.1
미래로에는 진로 멘토링, 직업 체험, 나만의 꿈으로 만드는 북아트 체험, 인재 멘토링 스쿨 등이, 예술로에는 디자인 체험, 악기 교육, 점토그릇 만들기, 천연염색 체험과 아이패드를 활용한 만화예술교육 등이 준비됐다.

미래로에는	미래/NNG+로/JKB+에/JKB+는/JX
진로	진로/NNG
멘토링,	멘토링/NNG+,/SP
직업	직업/NNG
체험,	체험/NNG+,/SP
나만의	나/NP+만/JX+의/JKG
꿈으로	꿈/NNG+으로/JKB
만드는	만들/VV+는/ETM
북아트	북/NNG+아트/NNG
인재	인재/NNG
멘토링	멘토링/NNG
스쿨	스쿨/NNG
등이,	등/NNB+이/JKS+,/SP
