# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.337
metadata : {}


# id : NWRW1800000037.337.1.1
靑 “부처 이름 바뀐 장관 5명도 임명”

靑	靑/SH
“부처	“/SS+부처/NNG
이름	이름/NNG
바뀐	바뀌/VV+ㄴ/ETM
장관	장관/NNG
5명도	5/SN+명/NNB+도/JX
임명”	임명/NNG+”/SS


# id : NWRW1800000037.337.2.1
朴대통령, 11일 12명 임명 계획

朴대통령,	朴/SH+대통령/NNG+,/SP
11일	11/SN+일/NNB
12명	12/SN+명/NNB
임명	임명/NNG
계획	계획/NNG


# id : NWRW1800000037.337.3.1
박근혜 대통령이 국회에서 인사청문회를 통과한 장관 12명을 모두 임명하겠다고 8일 밝혔다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
인사청문회를	인사/NNG+청문회/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
장관	장관/NNG
12명을	12/SN+명/NNB+을/JKO
모두	모두/MAG
임명하겠다고	임명/NNG+하/XSV+겠/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.337.4.1
김행 청와대 대변인은 이날 “박 대통령은 11일 청문회를 마치고 경과보고서를 통보받은 7명과 부처 명칭 등 정부조직법이 개정되지 않아 새로운 부처의 장관으로 임명장을 수여하는 것이 논란이 되었던 5명도 함께 임명장을 수여하기로 했다”고 말했다.

김행	김행/NNP
청와대	청와대/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
“박	“/SS+박/NNP
대통령은	대통령/NNG+은/JX
11일	11/SN+일/NNB
청문회를	청문회/NNG+를/JKO
마치고	마치/VV+고/EC
경과보고서를	경과/NNG+보고서/NNG+를/JKO
통보받은	통보/NNG+받/XSV+은/ETM
7명과	7/SN+명/NNB+과/JC
부처	부처/NNG
명칭	명칭/NNG
등	등/NNB
정부조직법이	정부/NNG+조직법/NNG+이/JKS
개정되지	개정/NNG+되/XSV+지/EC
않아	않/VX+아/EC
새로운	새롭/VA+ㄴ/ETM
부처의	부처/NNG+의/JKG
장관으로	장관/NNG+으로/JKB
임명장을	임명장/NNG+을/JKO
수여하는	수여/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
논란이	논란/NNG+이/JKC
되었던	되/VV+었/EP+던/ETM
5명도	5/SN+명/NNB+도/JX
함께	함께/MAG
수여하기로	수여/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.337.4.2
김 대변인은 “민주당에서 정부조직법 개정 이전이라도 청문회를 마친 장관 후보자에 대해서는 임명하는 데 문제가 없다는 공식발표가 있었다”고 말했다.

김	김/NNP
대변인은	대변인/NNG+은/JX
“민주당에서	“/SS+민주당/NNP+에서/JKB
정부조직법	정부/NNG+조직법/NNG
개정	개정/NNG
이전이라도	이전/NNG+이/VCP+라도/EC
청문회를	청문회/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
장관	장관/NNG
후보자에	후보자/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
임명하는	임명/NNG+하/XSV+는/ETM
데	데/NNB
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
공식발표가	공식/NNG+발표/NNG+가/JKS
