# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.98
metadata : {}


# id : NWRW1800000037.98.1.1
[에너지 강국]가스는 수입하고 기술은 수출한다… 아프리카까지 진출해 미래 개척

[에너지	[/SS+에너지/NNG
강국]가스는	강국/NNG+]/SS+가스/NNG+는/JX
수입하고	수입/NNG+하/XSV+고/EC
기술은	기술/NNG+은/JX
수출한다…	수출/NNG+하/XSV+ㄴ다/EF+…/SE
아프리카까지	아프리카/NNP+까지/JX
진출해	진출/NNG+하/XSV+아/EC
미래	미래/NNG
개척	개척/NNG


# id : NWRW1800000037.98.2.1
한국가스공사는 한국을 ‘기술수출국’으로 만들겠다는 중장기 과제를 세우고 전 세계에서 다양한 사업을 진행 중이다.

한국가스공사는	한국가스공사/NNP+는/JX
한국을	한국/NNP+을/JKO
‘기술수출국’으로	‘/SS+기술/NNG+수출국/NNG+’/SS+으로/JKB
만들겠다는	만들/VV+겠/EP+다는/ETM
중장기	중장기/NNG
과제를	과제/NNG+를/JKO
세우고	세우/VV+고/EC
전	전/MMN
세계에서	세계/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
사업을	사업/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.98.2.2
현재 전 세계 12개국에서 21개 프로젝트를 진행하며 미래성장을 위한 동력을 확보하고 있다.

현재	현재/MAG
전	전/MMN
세계	세계/NNG
12개국에서	12/SN+개국/NNB+에서/JKB
21개	21/SN+개/NNB
프로젝트를	프로젝트/NNG+를/JKO
진행하며	진행/NNG+하/XSV+며/EC
미래성장을	미래/NNG+성장/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
동력을	동력/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.98.2.3
지난 30년간 대한민국 가스산업을 이끌며 축적한 기술력을 바탕으로 세계시장에 나서겠다는 각오다.

지난	지나/VV+ㄴ/ETM
30년간	30/SN+년/NNB+간/XSN
대한민국	대한민국/NNP
가스산업을	가스/NNG+산업/NNG+을/JKO
이끌며	이끌/VV+며/EC
축적한	축적/NNG+하/XSV+ㄴ/ETM
기술력을	기술력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
세계시장에	세계/NNG+시장/NNG+에/JKB
나서겠다는	나서/VV+겠/EP+다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.98.3.1
가스공사는 지난해 8월 중국 HQC사와 20만 kL 규모의 액화천연가스(LNG) 저장탱크 설계 및 감리용역 수출계약에 성공했다.

가스공사는	가스공사/NNP+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
중국	중국/NNP
HQC사와	HQC사/NNP+와/JKB
20만	20/SN+만/NR
kL	kL/SW
규모의	규모/NNG+의/JKG
액화천연가스(LNG)	액화/NNG+천연가스/NNG+(/SS+LNG/SL+)/SS
저장탱크	저장/NNG+탱크/NNG
설계	설계/NNG
및	및/MAG
감리용역	감리/NNG+용역/NNG
수출계약에	수출/NNG+계약/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.98.3.2
우리 기술로 만든 저장탱크가 세계에서도 통한다는 사실을 증명한 것이다.

우리	우리/NP
기술로	기술/NNG+로/JKB
만든	만들/VV+ㄴ/ETM
저장탱크가	저장/NNG+탱크/NNG+가/JKS
세계에서도	세계/NNG+에서/JKB+도/JX
통한다는	통하/VV+ㄴ다는/ETM
사실을	사실/NNG+을/JKO
증명한	증명/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.98.4.1
중국시장으로 진출하게 된 배경에는 국내에서의 치열한 기술 개발이 있었다.

중국시장으로	중국/NNP+시장/NNG+으로/JKB
진출하게	진출/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
배경에는	배경/NNG+에/JKB+는/JX
국내에서의	국내/NNG+에서/JKB+의/JKG
치열한	치열/NNG+하/XSA+ㄴ/ETM
기술	기술/NNG
개발이	개발/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000037.98.4.2
