# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.123
metadata : {}


# id : NWRW1800000038.123.1.1
"한국, 연구 결과를 상업화하는 데 아주 능숙한 나라"

"한국,	"/SS+한국/NNP+,/SP
연구	연구/NNG
결과를	결과/NNG+를/JKO
상업화하는	상업/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
아주	아주/MAG
능숙한	능숙하/VA+ㄴ/ETM
나라"	나라/NNG+"/SS


# id : NWRW1800000038.123.2.1
데이비드 퍼싱 美유타대 총장 訪韓

데이비드	데이비드/NNP
퍼싱	퍼싱/NNP
美유타대	美/SH+유타대/NNP
총장	총장/NNG
訪韓	訪韓/SH


# id : NWRW1800000038.123.3.1
"유타대 송도캠퍼스에 입학하면, 이미 (송도에) 입주해 있는 3개 국제 대학의 우수한 수업도 같이 수강할 수 있도록 기회를 제공할 예정입니다."

"유타대	"/SS+유타대/NNP
송도캠퍼스에	송도캠퍼스/NNP+에/JKB
입학하면,	입학/NNG+하/XSV+면/EC+,/SP
이미	이미/MAG
(송도에)	(/SS+송도/NNP+에/JKB+)/SS
입주해	입주/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
3개	3/SN+개/NNB
국제	국제/NNG
대학의	대학/NNG+의/JKG
우수한	우수/NNG+하/XSA+ㄴ/ETM
수업도	수업/NNG+도/JX
같이	같이/MAG
수강할	수강/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기회를	기회/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
예정입니다."	예정/NNG+이/VCP+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000038.123.4.1
내년 9월 개교하는 미국 유타대학교 송도캠퍼스를 알리기 위해 이달 초 방한한 데이비드 퍼싱(Pershing·64) 총장은 "현재 미국 뉴욕주립대(SUNY), 조지메이슨대(GMU), 벨기에 겐트대(GHENT) 등 송도에 입주한 다른 대학과 학점 교류를 협의 중"이라며 "학적에 관계없이 우수한 수업을 골라 듣고 학점도 인정받을 수 있을 것"이라고 했다.

내년	내년/NNG
9월	9/SN+월/NNB
개교하는	개교/NNG+하/XSV+는/ETM
미국	미국/NNP
유타대학교	유타대학교/NNP
송도캠퍼스를	송도캠퍼스/NNP+를/JKO
알리기	알리/VV+기/ETN
위해	위하/VV+아/EC
이달	이달/NNG
초	초/NNB
방한한	방한/NNG+하/XSV+ㄴ/ETM
데이비드	데이비드/NNP
퍼싱(Pershing·64)	퍼싱/NNP+(/SS+Pershing/SL+·/SP+64/SN+)/SS
총장은	총장/NNG+은/JX
"현재	"/SS+현재/MAG
뉴욕주립대(SUNY),	뉴욕주립대/NNP+(/SS+SUNY/SL+)/SS+,/SP
조지메이슨대(GMU),	조지메이슨대/NNP+(/SS+GMU/SL+)/SS+,/SP
벨기에	벨기에/NNP
겐트대(GHENT)	겐트대/NNP+(/SS+GHENT/SL+)/SS
등	등/NNB
송도에	송도/NNP+에/JKB
입주한	입주/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
대학과	대학/NNG+과/JKB
학점	학점/NNG
교류를	교류/NNG+를/JKO
협의	협의/NNG
중"이라며	중/NNB+"/SS+이/VCP+라며/EC
"학적에	"/SS+학적/NNG+에/JKB
관계없이	관계없이/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
수업을	수업/NNG+을/JKO
골라	고르/VV+아/EC
듣고	듣/VV+고/EC
학점도	학점/NNG+도/JX
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.123.4.2
그동안 송도에 문을 연 국제캠퍼스가 학교당 너덧개 전공밖에 제공하지 않아 진학을 망설였던 학생들을 위해 내놓은 대책이다.

그동안	그동안/NNG
송도에	송도/NNP+에/JKB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
국제캠퍼스가	국제/NNG+캠퍼스/NNG+가/JKS
학교당	학교/NNG+당/XSN
너덧개	너덧/MMN+개/NNB
전공밖에	전공/NNG+밖에/JX
제공하지	제공/NNG+하/XSV+지/EC
않아	않/VX+아/EC
진학을	진학/NNG+을/JKO
망설였던	망설이/VV+었/EP+던/ETM
학생들을	학생/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
내놓은	내놓/VV+은/ETM
대책이다.	대책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.123.5.1
유타대는 1850년 설립된 미국 주립대로, 세계 대학 순위 100위 안에 드는 연구 중심 대학교다.

유타대는	유타대/NNP+는/JX
1850년	1850/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
미국	미국/NNP
주립대로,	주립대/NNG+로/JKB+,/SP
세계	세계/NNG
대학	대학/NNG
순위	순위/NNG
100위	100/SN+위/NNB
안에	안/NNG+에/JKB
드는	들/VV+는/ETM
연구	연구/NNG
중심	중심/NNG
대학교다.	대/XPN+학교/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.123.5.2
2008년 한국 정부의 초대로 송도 글로벌캠퍼스 개발에 참여해 내년부터 학교를 운영한다.

2008년	2008/SN+년/NNB
한국	한국/NNP
정부의	정부/NNG+의/JKG
초대로	초대/NNG+로/JKB
송도	송도/NNP
글로벌캠퍼스	글로벌캠퍼스/NNG
개발에	개발/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
내년부터	내년/NNG+부터/JX
학교를	학교/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.123.5.3
송도캠퍼스에 입학하면 한국에서 3년간 공부하고, 마지막 1년은 미국 본교에서 공부한 다음 학위를 받게 된다.

송도캠퍼스에	송도캠퍼스/NNP+에/JKB
입학하면	입학/NNG+하/XSV+면/EC
한국에서	한국/NNP+에서/JKB
3년간	3/SN+년/NNB+간/XSN
공부하고,	공부/NNG+하/XSV+고/EC+,/SP
마지막	마지막/NNG
1년은	1/SN+년/NNB+은/JX
미국	미국/NNP
본교에서	본교/NNG+에서/JKB
공부한	공부/NNG+하/XSV+ㄴ/ETM
다음	다음/NNG
학위를	학위/NNG+를/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.123.5.4
한국 정부가 송도 부지와 건물을 세워주면, 유타대가 본교의 교수진과 커리큘럼을 가져와 가르치는 시스템이다.

한국	한국/NNP
정부가	정부/NNG+가/JKS
송도	송도/NNP
부지와	부지/NNG+와/JC
건물을	건물/NNG+을/JKO
세워주면,	세우/VV+어/EC+주/VX+면/EC+,/SP
유타대가	유타대/NNP+가/JKS
본교의	본교/NNG+의/JKG
교수진과	교수진/NNG+과/JC
커리큘럼을	커리큘럼/NNG+을/JKO
가져와	가져오/VV+아/EC
가르치는	가르치/VV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.123.6.1
퍼싱 총장은 1978년 화학공학 조교수로 교직에 들어선 지 35년 만인 지난해 유타대 15대 총장직에 올랐다.

퍼싱	퍼싱/NNP
총장은	총장/NNG+은/JX
1978년	1978/SN+년/NNB
화학공학	화학/NNG+공학/NNG
조교수로	조교수/NNG+로/JKB
교직에	교직/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
지	지/NNB
35년	35/SN+년/NNB
