# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.61
metadata : {}


# id : NWRW1800000038.61.1.1
어떤 피아노가 좋을까

어떤	어떤/MMD
피아노가	피아노/NNG+가/JKS
좋을까	좋/VA+을까/EF


# id : NWRW1800000038.61.2.1
예술의전당 공연·녹음 앞둔 김선욱, 음색 다른 두 대의 피아노 두고 고심

예술의전당	예술의전당/NNP
공연·녹음	공연/NNG+·/SP+녹음/NNG
앞둔	앞두/VV+ㄴ/ETM
김선욱,	김선욱/NNP+,/SP
음색	음색/NNG
다른	다르/VA+ㄴ/ETM
두	두/MMN
대의	대/NNB+의/JKG
피아노	피아노/NNG
두고	두/VV+고/EC
고심	고심/NNG


# id : NWRW1800000038.61.3.1
피아니스트 김선욱(25)은 17~18일 예술의전당에서 서울시향(지휘 정명훈)과 베토벤 피아노 협주곡 5번 '황제'를 협연하고, 그 실황을 첫 음반으로 발표할 예정이다.

피아니스트	피아니스트/NNG
김선욱(25)은	김선욱/NNP+(/SS+25/SN+)/SS+은/JX
17~18일	17/SN+~/SO+18/SN+일/NNB
예술의전당에서	예술의전당/NNP+에서/JKB
서울시향(지휘	서울시향/NNP+(/SS+지휘/NNG
정명훈)과	정명훈/NNP+)/SS+과/JKB
베토벤	베토벤/NNP
피아노	피아노/NNG
협주곡	협주곡/NNG
5번	5/SN+번/NNB
'황제'를	'/SS+황제/NNP+'/SS+를/JKO
협연하고,	협연/NNG+하/XSV+고/EC+,/SP
그	그/MMD
실황을	실황/NNG+을/JKO
첫	첫/MMN
음반으로	음반/NNG+으로/JKB
발표할	발표/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.61.3.2
그를 고심에 빠지게 한 건, 다름 아닌 피아노였다.

그를	그/NP+를/JKO
고심에	고심/NNG+에/JKB
빠지게	빠지/VV+게/EC
한	하/VX+ㄴ/ETM
건,	거/NNB+ㄴ/JX+,/SP
