# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.130
metadata : {}


# id : NWRW1800000041.130.1.1
[임희윤 기자의 싱글노트]대중음악이 ‘흥청대는 풍악’인가

[임희윤	[/SS+임희윤/NNP
기자의	기자/NNG+의/JKG
싱글노트]대중음악이	싱글/NNG+노트/NNG+]/SS+대중음악/NNG+이/JKS
‘흥청대는	‘/SS+흥청대/VV+는/ETM
풍악’인가	풍악/NNG+’/SS+이/VCP+ㄴ가/EF


# id : NWRW1800000041.130.2.1
2014년 4월 27일 일요일 비.

2014년	2014/SN+년/NNB
4월	4/SN+월/NNB
27일	27/SN+일/NNB
일요일	일요일/NNG
비.	비/NNG+./SF


# id : NWRW1800000041.130.2.2
킵 라우드 앤드 캐리 온.

킵	킵/NA
라우드	라우드/NNP
앤드	앤드/NNG
캐리	캐리/NA
온.	온/NNG+./SF


# id : NWRW1800000041.130.2.3
#106 Soundgarden ‘The Day I Tried to Live’(1994년)

#106	#/SW+106/SN
Soundgarden	Soundgarden/SL
‘The	‘/SS+The/SL
Day	Day/SL
I	I/SL
Tried	Tried/SL
to	to/SL
Live’(1994년)	Live/SL+’/SS+(/SS+1994/SN+년/NNB+)/SS


# id : NWRW1800000041.130.3.1
26, 27일과 5월 3, 4일 경기 고양시 아람누리에서 열리기로 했던 음악 축제 ‘뷰티풀 민트 라이프 2014’(뷰민라)가 개막 전날인 25일 오후 취소됐다.

26,	26/SN+,/SP
27일과	27/SN+일/NNB+과/JC
5월	5/SN+월/NNB
3,	3/SN+,/SP
4일	4/SN+일/NNB
경기	경기/NNP
고양시	고양시/NNP
아람누리에서	아람누리/NNP+에서/JKB
열리기로	열리/VV+기/ETN+로/JKB
했던	하/VV+았/EP+던/ETM
음악	음악/NNG
축제	축제/NNG
‘뷰티풀	‘/SS+뷰티풀/NNG
민트	민트/NNG
라이프	라이프/NNG
2014’(뷰민라)가	2014/SN+’/SS+(/SS+뷰민라/NNG+)/SS+가/JKS
개막	개막/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
25일	25/SN+일/NNB
오후	오후/NNG
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.130.3.2
대관사인 고양문화재단의 일방적 취소 통보로 인한 것이었다.

대관사인	대관사/NNG+이/VCP+ㄴ/ETM
고양문화재단의	고양문화재단/NNP+의/JKG
일방적	일방/NNG+적/XSN
취소	취소/NNG
통보로	통보/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.130.4.1
고양문화재단 측은 “진도 여객선 침몰사고 희생자와 실종자 그리고 그 가족들의 슬픔을 뒤로한 채 어떤 형태로든 ‘뷰티풀 민트 라이프 2014’의 정상 진행에 협조할 수 없는 상황”이라고 했다.

고양문화재단	고양문화재단/NNP
측은	측/NNB+은/JX
“진도	“/SS+진도/NNP
