# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.345
metadata : {}


# id : NWRW1800000044.345.1.1
남경필 대 정병국…‘어제의 동지’ 외나무다리 맞대결

남경필	남경필/NNP
대	대/NNB
정병국…‘어제의	정병국/NNP+…/SE+‘/SS+어제/NNG+의/JKG
동지’	동지/NNG+’/SS
외나무다리	외나무다리/NNG
맞대결	맞대결/NNG


# id : NWRW1800000044.345.2.1
[한겨레] 새누리 경기지사 경선 후보 압축

[한겨레]	[/SS+한겨레/NNP+]/SS
새누리	새누리/NNP
경기지사	경기/NNP+지사/NNG
경선	경선/NNG
후보	후보/NNG
압축	압축/NNG


# id : NWRW1800000044.345.3.1
어제의 ‘동지’가 결국 외나무다리에서 만났다.

어제의	어제/NNG+의/JKG
‘동지’가	‘/SS+동지/NNG+’/SS+가/JKS
결국	결국/NNG
외나무다리에서	외나무다리/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.345.3.2
남경필과 정병국.

남경필과	남경필/NNP+과/JC
정병국.	정병국/NNP+./SF


# id : NWRW1800000044.345.4.1
한나라당(새누리당의 전신) ‘원조 소장파’의 대표주자로 원희룡 전 의원과 함께 ‘남·원·정’으로 불리며 한때 정치개혁을 향한 고락을 같이 했던 그들이 6·4 지방선거 새누리당 경기지사 후보를 놓고 숙명의 맞대결을 펼치게 됐다.

한나라당(새누리당의	한나라당/NNP+(/SS+새누리당/NNP+의/JKG
전신)	전신/NNG+)/SS
‘원조	‘/SS+원조/NNG
소장파’의	소장파/NNG+’/SS+의/JKG
대표주자로	대표/NNG+주자/NNG+로/JKB
원희룡	원희룡/NNP
전	전/MMD
의원과	의원/NNG+과/JKB
함께	함께/MAG
‘남·원·정’으로	‘/SS+남/NNP+·/SP+원/NNP+·/SP+정/NNP+’/SS+으로/JKB
불리며	불리/VV+며/EC
한때	한때/MAG
정치개혁을	정치/NNG+개혁/NNG+을/JKO
향한	향하/VV+ㄴ/ETM
고락을	고락/NNG+을/JKO
같이	같이/MAG
했던	하/VV+았/EP+던/ETM
그들이	그/NP+들/XSN+이/JKS
6·4	6/SN+·/SP+4/SN
지방선거	지방/NNG+선거/NNG
새누리당	새누리당/NNP
경기지사	경기/NNP+지사/NNG
후보를	후보/NNG+를/JKO
놓고	놓/VV+고/EC
숙명의	숙명/NNG+의/JKG
맞대결을	맞대결/NNG+을/JKO
펼치게	펼치/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.345.4.2
새누리당 공천관리위원회는 7일 열린 전체회의에서 지난 주말 외부 여론조사기관 2곳에 의뢰해 실시한 여론조사를 확인한 결과, 원유철·정병국 의원과 김영선 전 의원 가운데 정 의원의 지지율이 가장 높아 경선 후보로 결정했다고 밝혔다.

새누리당	새누리당/NNP
공천관리위원회는	공천/NNG+관리/NNG+위원회/NNG+는/JX
7일	7/SN+일/NNB
열린	열리/VV+ㄴ/ETM
전체회의에서	전체/NNG+회의/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
외부	외부/NNG
여론조사기관	여론/NNG+조사/NNG+기관/NNG
2곳에	2/SN+곳/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사를	여론/NNG+조사/NNG+를/JKO
확인한	확인/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
원유철·정병국	원유철/NNP+·/SP+정병국/NNP
의원과	의원/NNG+과/JC
김영선	김영선/NNP
전	전/MMD
의원	의원/NNG
가운데	가운데/NNG
정	정/NNP
의원의	의원/NNG+의/JKG
지지율이	지지/NNG+율/XSN+이/JKS
가장	가장/MAG
높아	높/VA+아/EC
경선	경선/NNG
후보로	후보/NNG+로/JKB
결정했다고	결정/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.345.4.3
김재원 공천위 부위원장은 “(세 후보 지지율이) 워낙 미세한 차이였기 때문에 자세한 수치를 밝힐 수는 없지만, 여론조사회사 코리아리서치와 에이시(AC)닐슨 두 곳의 결과를 합산 평균한 결과 정 의원이 가장 높은 지지율을 얻었다”고 설명했다.

김재원	김재원/NNP
공천위	공천위/NNG
부위원장은	부위원장/NNG+은/JX
“(세	“/SS+(/SS+세/MMN
후보	후보/NNG
지지율이)	지지/NNG+율/XSN+이/JKS+)/SS
워낙	워낙/MAG
미세한	미세/NNG+하/XSA+ㄴ/ETM
차이였기	차이/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
자세한	자세하/VA+ㄴ/ETM
수치를	수치/NNG+를/JKO
밝힐	밝히/VV+ㄹ/ETM
수는	수/NNB+는/JX
없지만,	없/VA+지만/EC+,/SP
여론조사회사	여론/NNG+조사/NNG+회사/NNG
코리아리서치와	코리아리서치/NNP+와/JC
에이시(AC)닐슨	에이시/NNP+(/SS+AC/SL+)/SS+닐슨/NNP
두	두/MMN
곳의	곳/NNG+의/JKG
결과를	결과/NNG+를/JKO
합산	합산/NNG
평균한	평균/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
정	정/NNP
의원이	의원/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
지지율을	지지/NNG+율/XSN+을/JKO
얻었다”고	얻/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.345.5.1
애초 새누리당 경기지사 후보 경선은 남경필·정병국·원유철 의원과 김영선 전 의원의 4파전이었다.

애초	애초/NNG
새누리당	새누리당/NNP
경기지사	경기/NNP+지사/NNG
후보	후보/NNG
경선은	경선/NNG+은/JX
남경필·정병국·원유철	남경필/NNP+·/SP+정병국/NNP+·/SP+원유철/NNP
의원과	의원/NNG+과/JC
김영선	김영선/NNP
전	전/MMD
의원의	의원/NNG+의/JKG
4파전이었다.	4파전/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.345.5.2
하지만 남 의원을 제외한 나머지 세 후보가 지난 3일 긴급 회동 뒤 경선 흥행을 위해 당 공천위가 여론조사로 후보를 2배수로 추가 압축해 달라고 요청했다.

하지만	하지만/MAJ
남	남/NNP
의원을	의원/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
세	세/MMN
후보가	후보/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
긴급	긴급/NNG
회동	회동/NNG
뒤	뒤/NNG
경선	경선/NNG
흥행을	흥행/NNG+을/JKO
위해	위하/VV+아/EC
당	당/NNG
공천위가	공천위/NNG+가/JKS
여론조사로	여론/NNG+조사/NNG+로/JKB
후보를	후보/NNG+를/JKO
2배수로	2/SN+배수/NNG+로/JKB
추가	추가/NNG
압축해	압축/NNG+하/XSV+아/EC
달라고	달/VX+라고/EC
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.345.5.3
여론조사 등에서 상당한 격차로 독주하고 있는 남 의원에 맞서기 위해 세 후보 가운데 ‘대표선수’를 뽑아 양자 대결 구도를 만들어 달라는 것이었다.

여론조사	여론/NNG+조사/NNG
등에서	등/NNB+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
격차로	격차/NNG+로/JKB
독주하고	독주/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
남	남/NNP
의원에	의원/NNG+에/JKB
맞서기	맞서/VV+기/ETN
위해	위하/VV+아/EC
세	세/MMN
후보	후보/NNG
가운데	가운데/NNG
‘대표선수’를	‘/SS+대표/NNG+선수/NNG+’/SS+를/JKO
뽑아	뽑/VV+아/EC
양자	양자/NNG
대결	대결/NNG
구도를	구도/NNG+를/JKO
만들어	만들/VV+어/EC
달라는	달/VX+라는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.345.6.1
남 의원으로선 정 의원과의 맞대결이 껄끄럽기도 하고 미안하기도 할 것 같다.

남	남/NNP
의원으로선	의원/NNG+으로서/JKB+ㄴ/JX
정	정/NNP
의원과의	의원/NNG+과/JKB+의/JKG
맞대결이	맞대결/NNG+이/JKS
껄끄럽기도	껄끄럽/VA+기/ETN+도/JX
하고	하/VX+고/EC
미안하기도	미안/NNG+하/XSA+기/ETN+도/JX
할	하/VX+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000044.345.6.2
애초 경기지사에 마음이 없었던 정 의원을 설득해 출마하도록 한 게 남 의원이기 때문이다.

애초	애초/NNG
경기지사에	경기/NNP+지사/NNG+에/JKB
마음이	마음/NNG+이/JKS
없었던	없/VA+었/EP+던/ETM
정	정/NNP
의원을	의원/NNG+을/JKO
설득해	설득/NNG+하/XSV+아/EC
출마하도록	출마/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
게	거/NNB+이/JKS
남	남/NNP
의원이기	의원/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.345.6.3
정 의원은 지난해 2월 남 의원의 권유를 받고 8월부터 출마를 준비해왔다.

정	정/NNP
의원은	의원/NNG+은/JX
지난해	지난해/NNG
2월	2/SN+월/NNB
남	남/NNP
의원의	의원/NNG+의/JKG
권유를	권유/NNG+를/JKO
받고	받/VV+고/EC
8월부터	8/SN+월/NNB+부터/JX
출마를	출마/NNG+를/JKO
준비해왔다.	준비/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.345.6.4
남 의원의 보좌진이 정 의원의 선거운동을 돕기도 했다.

남	남/NNP
의원의	의원/NNG+의/JKG
보좌진이	보좌진/NNG+이/JKS
정	정/NNP
선거운동을	선거/NNG+운동/NNG+을/JKO
돕기도	돕/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.345.6.5
하지만 새누리당 원내대표 출마를 준비하던 남 의원이 당 지도부의 거듭된 ‘중진 차출’ 압박 끝에 뒤늦게 경기지사 출마 쪽으로 선회하면서 상황이 바뀌었다.

하지만	하지만/MAJ
새누리당	새누리당/NNP
원내대표	원내/NNG+대표/NNG
출마를	출마/NNG+를/JKO
준비하던	준비/NNG+하/XSV+던/ETM
남	남/NNP
의원이	의원/NNG+이/JKS
당	당/NNG
지도부의	지도부/NNG+의/JKG
거듭된	거듭/MAG+되/XSV+ㄴ/ETM
‘중진	‘/SS+중진/NNG
차출’	차출/NNG+’/SS
압박	압박/NNG
끝에	끝/NNG+에/JKB
뒤늦게	뒤늦/VA+게/EC
경기지사	경기/NNP+지사/NNG
출마	출마/NNG
쪽으로	쪽/NNB+으로/JKB
선회하면서	선회/NNG+하/XSV+면서/EC
상황이	상황/NNG+이/JKS
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.345.6.6
이런 사정 탓에 지난달 중순엔 남 의원이 ‘심야 번개 회동’에서 술잔을 기울이면서 정 의원에게 미안한 마음을 토로했다고도 한다.

이런	이런/MMD
사정	사정/NNG
탓에	탓/NNG+에/JKB
지난달	지난달/NNG
중순엔	중순/NNG+에/JKB+ㄴ/JX
남	남/NNP
의원이	의원/NNG+이/JKS
‘심야	‘/SS+심야/NNG
번개	번개/NNG
회동’에서	회동/NNG+’/SS+에서/JKB
술잔을	술잔/NNG+을/JKO
기울이면서	기울이/VV+면서/EC
정	정/NNP
의원에게	의원/NNG+에게/JKB
미안한	미안/NNG+하/XSA+ㄴ/ETM
마음을	마음/NNG+을/JKO
토로했다고도	토로/NNG+하/XSV+았/EP+다고/EC+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.345.7.1
이날 공천위의 공식 발표 직후에도 남 의원이 가장 먼저 정 의원에게 축하 전화를 걸었다.

이날	이날/NNG
공천위의	공천위/NNG+의/JKG
공식	공식/NNG
발표	발표/NNG
직후에도	직후/NNG+에/JKB+도/JX
남	남/NNP
의원이	의원/NNG+이/JKS
가장	가장/MAG
먼저	먼저/MAG
정	정/NNP
의원에게	의원/NNG+에게/JKB
축하	축하/NNG
전화를	전화/NNG+를/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.345.7.2
남 의원은 통화에서 정 의원에게 “깨끗하게 정책 대결을 해 아름다운 경선을 만들어내자”고 했고, 정 의원도 흔쾌히 동의했다고 한다.

남	남/NNP
의원은	의원/NNG+은/JX
통화에서	통화/NNG+에서/JKB
정	정/NNP
의원에게	의원/NNG+에게/JKB
“깨끗하게	“/SS+깨끗하/VA+게/EC
정책	정책/NNG
대결을	대결/NNG+을/JKO
해	하/VV+아/EC
아름다운	아름답/VA+ㄴ/ETM
경선을	경선/NNG+을/JKO
만들어내자”고	만들/VV+어/EC+내/VX+자/EF+”/SS+고/JKQ
했고,	하/VV+았/EP+고/EC+,/SP
의원도	의원/NNG+도/JX
흔쾌히	흔쾌히/MAG
동의했다고	동의/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.345.7.3
남 의원은 의원회관 집무실에서 기자들과 만나 “누가 승자가 되든 정치적 자산으로 남을 수 있는 과정으로 만들겠다”고 말했다.

남	남/NNP
의원은	의원/NNG+은/JX
의원회관	의원/NNG+회관/NNG
집무실에서	집무실/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“누가	“/SS+누구/NP+가/JKS
승자가	승자/NNG+가/JKC
되든	되/VV+든/EC
정치적	정치/NNG+적/XSN
자산으로	자산/NNG+으로/JKB
남을	남/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
과정으로	과정/NNG+으로/JKB
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.345.7.4
정 의원은 “최선의 노력을 다해 기대에 어긋나지 않게 승리하겠다”고 다짐했다.

정	정/NNP
의원은	의원/NNG+은/JX
“최선의	“/SS+최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
다해	다/MAG+하/XSV+아/EC
기대에	기대/NNG+에/JKB
어긋나지	어긋나/VV+지/EC
않게	않/VX+게/EC
승리하겠다”고	승리/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


