# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.195
metadata : {}


# id : NWRW1800000046.195.1.1
개는 끔찍이 아끼면서 아이는 학대… 11살 소녀가 16㎏

개는	개/NNG+는/JX
끔찍이	끔찍이/MAG
아끼면서	아끼/VV+면서/EC
아이는	아이/NNG+는/JX
학대…	학대/NNG+…/SE
11살	11/SN+살/NNB
소녀가	소녀/NNG+가/JKS
16㎏	16/SN+㎏/SW


# id : NWRW1800000046.195.2.1
게임중독 아빠·동거녀 구속… 2년간 때리고 학교 안보내

게임중독	게임/NNG+중독/NNG
아빠·동거녀	아빠/NNG+·/SP+동거녀/NNG
구속…	구속/NNG+…/SE
2년간	2/SN+년/NNB+간/XSN
때리고	때리/VV+고/EC
학교	학교/NNG
안보내	안/MAG+보내/VV+어/EF


# id : NWRW1800000046.195.3.1
인천 연수경찰서는 11세 딸을 2년여간 집에 가두고 상습적으로 학대한 혐의로 아이 아버지(32)와 그 동거녀(35), 동거녀의 친구(36)를 구속했다고 20일 밝혔다.

인천	인천/NNP
연수경찰서는	연수경찰서/NNP+는/JX
11세	11/SN+세/NNB
딸을	딸/NNG+을/JKO
2년여간	2/SN+년/NNB+여/XSN+간/XSN
집에	집/NNG+에/JKB
가두고	가두/VV+고/EC
상습적으로	상습/NNG+적/XSN+으로/JKB
학대한	학대/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
아이	아이/NNG
아버지(32)와	아버지/NNG+(/SS+32/SN+)/SS+와/JC
그	그/MMD
동거녀(35),	동거녀/NNG+(/SS+35/SN+)/SS+,/SP
동거녀의	동거녀/NNG+의/JKG
친구(36)를	친구/NNG+(/SS+36/SN+)/SS+를/JKO
구속했다고	구속/NNG+하/XSV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.195.4.1
지난 12일 낮 11시쯤 인천 연수구의 한 수퍼마켓 주인이 "여섯 살 정도 돼 보이는 여자 아이가 맨발로 혼자 돌아다니고 있다. 아무래도 아동 학대가 의심된다"며 경찰에 신고했다.

지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
낮	낮/NNG
11시쯤	11/SN+시/NNB+쯤/XSN
인천	인천/NNP
연수구의	연수구/NNP+의/JKG
한	한/MMN
수퍼마켓	수퍼마켓/NNG
주인이	주인/NNG+이/JKS
"여섯	"/SS+여섯/NR
살	살/NNB
정도	정도/NNG
돼	되/VV+어/EC
보이는	보이/VV+는/ETM
여자	여자/NNG
아이가	아이/NNG+가/JKS
맨발로	맨/XPN+발/NNG+로/JKB
혼자	혼자/MAG
돌아다니고	돌아다니/VV+고/EC
있다.	있/VX+다/EF+./SF
아무래도	아무래도/MAG
아동	아동/NNG
학대가	학대/NNG+가/JKS
의심된다"며	의심/NNG+되/XSV+ㄴ다/EF+"/SS+며/EC
경찰에	경찰/NNG+에/JKB
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.195.4.2
수퍼 주인이 처음 봤을 때 여자 아이는 수퍼마켓 밖에서 가게 안 빵 진열대를 들여다보며 서성거리고 있었다.

수퍼	수퍼/NNG
주인이	주인/NNG+이/JKS
처음	처음/NNG
봤을	보/VV+았/EP+을/ETM
때	때/NNG
여자	여자/NNG
아이는	아이/NNG+는/JX
수퍼마켓	수퍼마켓/NNG
밖에서	밖/NNG+에서/JKB
가게	가게/NNG
안	안/NNG
빵	빵/NNG
진열대를	진열대/NNG+를/JKO
