# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.400
metadata : {}


# id : NWRW1800000046.400.1.1
점심때 됐지만 함께 식사 안해… 배웅하던 朴대통령이 묻자, 아베 "숯불구이 먹으러…"

점심때	점심때/NNG
됐지만	되/VV+었/EP+지만/EC
함께	함께/MAG
식사	식사/NNG
안해…	안/MAG+하/VV+아/EC+…/SE
배웅하던	배웅/NNG+하/XSV+던/ETM
朴대통령이	朴/SH+대통령/NNG+이/JKS
묻자,	묻/VV+자/EC+,/SP
아베	아베/NNP
"숯불구이	"/SS+숯불/NNG+구이/NNG
먹으러…"	먹/VV+으러/EC+…/SE+"/SS


# id : NWRW1800000046.400.2.1
朴대통령, 리커창땐 황금색 옷 이번엔 차분한 녹색 재킷… 국방행사 때 주로 입는 옷

朴대통령,	朴/SH+대통령/NNG+,/SP
리커창땐	리커창/NNP+때/NNG+ㄴ/JX
황금색	황금색/NNG
옷	옷/NNG
이번엔	이번/NNG+에/JKB+ㄴ/JX
차분한	차분하/VA+ㄴ/ETM
녹색	녹색/NNG
재킷…	재킷/NNG+…/SE
국방행사	국방/NNG+행사/NNG
때	때/NNG
주로	주로/MAG
입는	입/VV+는/ETM


# id : NWRW1800000046.400.3.1
박근혜 대통령과 아베 신조 일본 총리 간 양자 정상회담은 2일 오전 10시 5분부터 1시간 40분 동안 진행됐다.

박근혜	박근혜/NNP
대통령과	대통령/NNG+과/JC
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리	총리/NNG
간	간/NNB
양자	양자/NNG
정상회담은	정상/NNG+회담/NNG+은/JX
2일	2/SN+일/NNB
오전	오전/NNG
10시	10/SN+시/NNB
5분부터	5/SN+분/NNB+부터/JX
1시간	1/SN+시간/NNB
40분	40/SN+분/NNB
동안	동안/NNG
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.400.3.2
3년 반 만의 회담이었지만 국빈 방문이 아니라 현안만 논의하는 '실무 회담'이었던 탓에 청와대의 환영 행사도 없었다.

3년	3/SN+년/NNB
반	반/NNG
만의	만/NNB+의/JKG
회담이었지만	회담/NNG+이/VCP+었/EP+지만/EC
국빈	국빈/NNG
방문이	방문/NNG+이/JKS
아니라	아니/VCN+라/EC
현안만	현안/NNG+만/JX
논의하는	논의/NNG+하/XSV+는/ETM
'실무	'/SS+실무/NNG
회담'이었던	회담/NNG+'/SS+이/VCP+었/EP+던/ETM
탓에	탓/NNG+에/JKB
청와대의	청와대/NNP+의/JKG
환영	환영/NNG
행사도	행사/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.400.3.3
공동 기자회견이나 공동 발표문도 없었다.

공동	공동/NNG
기자회견이나	기자/NNG+회견/NNG+이나/JC
발표문도	발표문/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.400.4.1
이날 회담은 점심 시간 직전인 11시 45분에 끝났지만 오찬도 없었다.

이날	이날/NNG
회담은	회담/NNG+은/JX
점심	점심/NNG
시간	시간/NNG
직전인	직전/NNG+이/VCP+ㄴ/ETM
11시	11/SN+시/NNB
45분에	45/SN+분/NNB+에/JKB
끝났지만	끝나/VV+았/EP+지만/EC
오찬도	오찬/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.400.4.2
대신 아베 총리는 서울 인사동의 한 음식점에서 수행원들과 식사를 해결했다.

대신	대신/NNG
아베	아베/NNP
총리는	총리/NNG+는/JX
서울	서울/NNP
인사동의	인사동/NNP+의/JKG
한	한/MMN
음식점에서	음식점/NNG+에서/JKB
수행원들과	수행원/NNG+들/XSN+과/JC
식사를	식사/NNG+를/JKO
해결했다.	해결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.4.3
이날 귀국 후 일본 TV에 출연한 아베 총리는 "정상회담을 마치고 청와대를 나갈 때 (박 대통령이) '이제 어떻게 하십니까'라고 묻자 '밖에 야키니쿠(숯불구이)를 먹으러 간다'고 했다"며 "보통 음식점에 식사하러 간다는 얘기에 (박 대통령이) 조금 놀라더라"고 말했다.

이날	이날/NNG
귀국	귀국/NNG
후	후/NNG
일본	일본/NNP
TV에	TV/SL+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
아베	아베/NNP
총리는	총리/NNG+는/JX
"정상회담을	"/SS+정상/NNG+회담/NNG+을/JKO
마치고	마치/VV+고/EC
청와대를	청와대/NNP+를/JKO
나갈	나가/VV+ㄹ/ETM
때	때/NNG
(박	(/SS+박/NNP
대통령이)	대통령/NNG+이/JKS+)/SS
'이제	'/SS+이제/MAG
어떻게	어떻/VA+게/EC
하십니까'라고	하/VV+시/EP+ㅂ니까/EF+'/SS+라고/JKQ
묻자	묻/VV+자/EC
'밖에	'/SS+밖/NNG+에/JKB
야키니쿠(숯불구이)를	야키니쿠/NNG+(/SS+숯불/NNG+구이/NNG+)/SS+를/JKO
먹으러	먹/VV+으러/EC
간다'고	가/VV+ㄴ다/EF+'/SS+고/JKQ
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"보통	"/SS+보통/NNG
음식점에	음식점/NNG+에/JKB
식사하러	식사/NNG+하/XSV+러/EC
간다는	가/VV+ㄴ다는/ETM
얘기에	얘기/NNG+에/JKB
조금	조금/MAG
놀라더라"고	놀라/VV+더라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.5.1
박 대통령은 이날 오전 10시 청와대 본관에 나와 아베 총리를 맞이했다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
10시	10/SN+시/NNB
청와대	청와대/NNP
본관에	본관/NNG+에/JKB
나와	나오/VV+아/EC
아베	아베/NNP
총리를	총리/NNG+를/JKO
맞이했다.	맞이하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.5.2
취임식이나 국방·안보 관련 행사 때 주로 입어온 짙은 녹색 재킷 차림이었다.

취임식이나	취임식/NNG+이나/JC
국방·안보	국방/NNG+·/SP+안보/NNG
관련	관련/NNG
행사	행사/NNG
때	때/NNG
주로	주로/MAG
입어온	입/VV+어/EC+오/VX+ㄴ/ETM
짙은	짙/VA+은/ETM
녹색	녹색/NNG
재킷	재킷/NNG
차림이었다.	차림/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.400.5.3
지난 31일 한·중 정상회담 때 입은 황금색 재킷이나 1일 한·중·일 3국 정상회의 때의 붉은 재킷과 대비됐다.

지난	지나/VV+ㄴ/ETM
31일	31/SN+일/NNB
한·중	한·중/NNP
정상회담	정상/NNG+회담/NNG
때	때/NNG
입은	입/VV+은/ETM
황금색	황금색/NNG
재킷이나	재킷/NNG+이나/JC
1일	1/SN+일/NNB
한·중·일	한·중·일/NNP
3국	3국/NNG
정상회의	정상/NNG+회의/NNG
때의	때/NNG+의/JKG
붉은	붉/VA+은/ETM
재킷과	재킷/NNG+과/JKB
대비됐다.	대비/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.400.5.4
아베 총리는 박 대통령이 지켜보는 가운데 방명록에 '내각 총리대신 아베'라고 서명했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
박	박/NNP
대통령이	대통령/NNG+이/JKS
지켜보는	지켜보/VV+는/ETM
가운데	가운데/NNG
방명록에	방명록/NNG+에/JKB
'내각	'/SS+내각/NNG
총리대신	총리대신/NNG
아베'라고	아베/NNP+'/SS+라고/JKQ
서명했다.	서명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.400.6.1
이어 청와대 백악실에서 열린 비공개 단독 정상회담에는 외교장관 등 양측 핵심 참모만 3명씩 배석했다.

이어	이어/MAG
청와대	청와대/NNP
