# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.69
metadata : {}


# id : NWRW1800000046.69.1.1
TV는 재방송… 인터넷 '본방'이 뜬다

TV는	TV/SL+는/JX
재방송…	재/XPN+방송/NNG+…/SE
인터넷	인터넷/NNG
'본방'이	'/SS+본방/NNG+'/SS+이/JKS
뜬다	뜨/VV+ㄴ다/EF


# id : NWRW1800000046.69.2.1
'마리텔' 인기에 '예띠…' '18초' 인터넷 기반 프로그램 쏟아져

'마리텔'	'/SS+마리텔/NNG+'/SS
인기에	인기/NNG+에/JKB
'예띠…'	'/SS+예띠/NA+…/SE+'/SS
'18초'	'/SS+18/SN+초/NNB+'/SS
인터넷	인터넷/NNG
기반	기반/NNG
프로그램	프로그램/NNG
쏟아져	쏟아지/VV+어/EF


# id : NWRW1800000046.69.3.1
TV 방송국 PD가 만드는 프로그램을 TV로 볼 필요가 없는 시대가 오고 있다.

TV	TV/SL
방송국	방송국/NNG
PD가	PD/SL+가/JKS
만드는	만들/VV+는/ETM
프로그램을	프로그램/NNG+을/JKO
TV로	TV/SL+로/JKB
볼	보/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없는	없/VA+는/ETM
시대가	시대/NNG+가/JKS
오고	오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.69.3.2
'흥행불패' 나영석 PD의 새 예능 '신(新)서유기' 얘기다.

'흥행불패'	'/SS+흥행/NNG+불패/NNG+'/SS
나영석	나영석/NNP
PD의	PD/SL+의/JKG
새	새/MMA
예능	예능/NNG
'신(新)서유기'	'/SS+신/XPN+(/SS+新/SH+)/SS+서유기/NNP+'/SS
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.69.3.3
강호동, 이승기, 이수근 등이 나오고 이들이 중국 여행하는 모습을 담은 '1박2일' 중국 버전인 셈인데 TV가 아니라 인터넷으로만 방송될 예정이다.

강호동,	강호동/NNP+,/SP
이승기,	이승기/NNP+,/SP
이수근	이수근/NNP
