# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.85
metadata : {}


# id : NWRW1800000046.85.1.1
[名匠은 말한다] 印章공예 가르치는 류철규

[名匠은	[/SS+名匠/SH+은/JX
말한다]	말/NNG+하/XSV+ㄴ다/EF+]/SS
印章공예	印章/SH+공예/NNG
가르치는	가르치/VV+는/ETM
류철규	류철규/NNP


# id : NWRW1800000046.85.2.1
새벽 108拜 후 작업… "사람 운명이 담겼잖아요"

새벽	새벽/NNG
108拜	108/SN+拜/SH
후	후/NNG
작업…	작업/NNG+…/SE
"사람	"/SS+사람/NNG
운명이	운명/NNG+이/JKS
담겼잖아요"	담기/VV+었/EP+잖아/EF+요/JX+"/SS


# id : NWRW1800000046.85.3.1
천수관음상과 달마상 서각(書刻·나무판에 새긴 글과 그림), 직육각 돌판에 깨알같이 경구를 새긴 전각(篆刻), 조선 어보(御寶)와 명문가 수결(手決) 복원작, 그리고 각종 서예 작품….

천수관음상과	천수관음상/NNG+과/JC
달마상	달마상/NNG
서각(書刻·나무판에	서각/NNG+(/SS+書刻/SH+·/SP+나무판/NNG+에/JKB
새긴	새기/VV+ㄴ/ETM
글과	글/NNG+과/JC
그림),	그림/NNG+)/SS+,/SP
직육각	직육각/NNG
돌판에	돌판/NNG+에/JKB
깨알같이	깨알/NNG+같이/MAG
경구를	경구/NNG+를/JKO
전각(篆刻),	전각/NNG+(/SS+篆刻/SH+)/SS+,/SP
조선	조선/NNP
어보(御寶)와	어보/NNG+(/SS+御寶/SH+)/SS+와/JC
명문가	명문가/NNG
수결(手決)	수결/NNG+(/SS+手決/SH+)/SS
복원작,	복원/NNG+작/NNG+,/SP
그리고	그리고/MAJ
각종	각종/NNG
서예	서예/NNG
작품….	작품/NNG+…/SE+./SF


# id : NWRW1800000046.85.4.1
인장(印章) 공예 '대한민국 명장'인 류철규(60)의 작업장 '성호사'에 전시된 작품은 도장에 한정되지 않는다.

인장(印章)	인장/NNG+(/SS+印章/SH+)/SS
공예	공예/NNG
'대한민국	'/SS+대한민국/NNP
명장'인	명장/NNG+'/SS+이/VCP+ㄴ/ETM
류철규(60)의	류철규/NNP+(/SS+60/SN+)/SS+의/JKG
작업장	작업장/NNG
'성호사'에	'/SS+성호사/NNP+'/SS+에/JKB
전시된	전시/NNG+되/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
도장에	도장/NNG+에/JKB
한정되지	한정/NNG+되/XSV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000046.85.4.2
새벽에 일어나 108배를 올리고 시작하는 그의 주업(主業) 인장은 낮 12시를 넘기는 법이 없다.

새벽에	새벽/NNG+에/JKB
일어나	일어나/VV+아/EC
108배를	108/SN+배/NNG+를/JKO
올리고	올리/VV+고/EC
시작하는	시작/NNG+하/XSV+는/ETM
그의	그/NP+의/JKG
주업(主業)	주업/NNG+(/SS+主業/SH+)/SS
인장은	인장/NNG+은/JX
낮	낮/NNG
12시를	12/SN+시/NNB+를/JKO
넘기는	넘기/VV+는/ETM
법이	법/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.85.4.3
작업량도 하루 2개 이하로 제한한다.

작업량도	작업량/NNG+도/JX
하루	하루/NNG
2개	2/SN+개/NNB
이하로	이하/NNG+로/JKB
제한한다.	제한/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.85.4.4
고도의 집중력을 요하기 때문에 물량 맞추느라 서둘러선 안 되기 때문이다.

고도의	고도/NNG+의/JKG
집중력을	집중력/NNG+을/JKO
요하기	요/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
물량	물량/NNG
맞추느라	맞추/VV+느라/EC
서둘러선	서두르/VV+어서/EC+ㄴ/JX
안	안/MAG
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.85.4.5
대신 오후에는 서각·전각·서예 등 작품 활동을 한다.

대신	대신/NNG
오후에는	오후/NNG+에/JKB+는/JX
서각·전각·서예	서각/NNG+·/SP+전각/NNG+·/SP+서예/NNG
등	등/NNB
작품	작품/NNG
활동을	활동/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.85.4.6
그는 한국서예협회와 한국서화작가협회 초대 작가이기도 했다.

그는	그/NP+는/JX
한국서예협회와	한국서예협회/NNP+와/JC
한국서화작가협회	한국서화작가협회/NNP
초대	초대/NNG
작가이기도	작가/NNG+이/VCP+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.85.4.7
"도장쟁이를 넘어 예술가가 되라시던 스승님 덕이죠."

"도장쟁이를	"/SS+도장/NNG+쟁이/XSN+를/JKO
넘어	넘/VV+어/EC
예술가가	예술가/NNG+가/JKC
되라시던	되/VV+라/EF+하/VV+시/EP+던/ETM
스승님	스승/NNG+님/XSN
덕이죠."	덕/NNG+이/VCP+죠/EF+./SF+"/SS


# id : NWRW1800000046.85.5.1
류철규는 열여섯 살이던 1970년 호구지책으로 인장에 입문했다.

류철규는	류철규/NNP+는/JX
열여섯	열여섯/NR
살이던	살/NNB+이/VCP+던/ETM
1970년	1970/SN+년/NNB
호구지책으로	호구지책/NNG+으로/JKB
인장에	인장/NNG+에/JKB
입문했다.	입문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.85.5.2
