# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.155
metadata : {}


# id : NWRW1800000048.155.1.1
사람도 귀신도 아닌 도깨비 판치는 세상

사람도	사람/NNG+도/JX
귀신도	귀신/NNG+도/JX
아닌	아니/VCN+ㄴ/ETM
도깨비	도깨비/NNG
판치는	판치/VV+는/ETM
세상	세상/NNG


# id : NWRW1800000048.155.2.1
원로작가 주재환 ‘이매망량’전

원로작가	원로/NNG+작가/NNG
주재환	주재환/NNP
‘이매망량’전	‘/SS+이매망량/NNG+’/SS+전/NNG


# id : NWRW1800000048.155.3.1
도깨비와 귀신들 세상이다.

도깨비와	도깨비/NNG+와/JC
귀신들	귀신/NNG+들/XSN
세상이다.	세상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.155.3.2
엿가락처럼 늘어난 팔과 손으로 눈을 가린 소녀, 절의 산신당이나 굿집에서 봤을 법한 무신도 수호신과 호랑이들이 전시장 그림 속을 어슬렁거린다.

엿가락처럼	엿가락/NNG+처럼/JKB
늘어난	늘어나/VV+ㄴ/ETM
팔과	팔/NNG+과/JC
손으로	손/NNG+으로/JKB
눈을	눈/NNG+을/JKO
가린	가리/VV+ㄴ/ETM
소녀,	소녀/NNG+,/SP
절의	절/NNG+의/JKG
산신당이나	산신당/NNG+이나/JC
굿집에서	굿/NNG+집/NNG+에서/JKB
봤을	보/VV+았/EP+을/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
무신도	무신도/NNG
수호신과	수호신/NNG+과/JC
호랑이들이	호랑이/NNG+들/XSN+이/JKS
전시장	전시장/NNG
그림	그림/NNG
속을	속/NNG+을/JKO
어슬렁거린다.	어슬렁거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.155.3.3
서울 소격동 트렁크갤러리에서 열리고 있는 참여미술계의 원로작가 주재환(75)씨의 근작전 ‘이매망량’의 풍경이다.

서울	서울/NNP
소격동	소격동/NNP
트렁크갤러리에서	트렁크갤러리/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
참여미술계의	참여/NNG+미술/NNG+계/XSN+의/JKG
원로작가	원로/NNG+작가/NNG
주재환(75)씨의	주재환/NNP+(/SS+75/SN+)/SS+씨/NNB+의/JKG
근작전	근작전/NNG
‘이매망량’의	‘/SS+이매망량/NNG+’/SS+의/JKG
풍경이다.	풍경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.155.4.1
이 소품들은 최근 4~5년 사이 작가가 현실에 대한 단상을 주물럭거리며 빚어낸 것들이다.

이	이/MMD
소품들은	소품/NNG+들/XSN+은/JX
최근	최근/MAG
4~5년	4/SN+~/SO+5/SN+년/NNB
사이	사이/NNG
작가가	작가/NNG+가/JKS
현실에	현실/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
단상을	단상/NNG+을/JKO
주물럭거리며	주물럭거리/VV+며/EC
빚어낸	빚어내/VV+ㄴ/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.155.4.2
인쇄물 등의 무신도 사진과 스스로 만든 다기한 도깨비 이미지들을 콜라주 등의 방식으로 뒤섞어 만들었다.

인쇄물	인쇄물/NNG
등의	등/NNB+의/JKG
무신도	무신도/NNG
사진과	사진/NNG+과/JC
스스로	스스로/MAG
만든	만들/VV+ㄴ/ETM
다기한	다기/NNG+하/XSA+ㄴ/ETM
도깨비	도깨비/NNG
이미지들을	이미지/NNG+들/XSN+을/JKO
콜라주	콜라주/NNG
방식으로	방식/NNG+으로/JKB
뒤섞어	뒤섞/VV+어/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.155.4.3
종잡을 수 없이 혼란스럽고 서민들에게는 고단한 희생을 강요하는 지금 한국 사회를 도깨비들이 활개치는 짓거리로 풍자한 작품들이다.

종잡을	종잡/VV+을/ETM
수	수/NNB
없이	없이/MAG
혼란스럽고	혼란/NNG+스럽/XSA+고/EC
서민들에게는	서민/NNG+들/XSN+에게/JKB+는/JX
고단한	고단하/VA+ㄴ/ETM
희생을	희생/NNG+을/JKO
강요하는	강요/NNG+하/XSV+는/ETM
지금	지금/MAG
한국	한국/NNP
사회를	사회/NNG+를/JKO
도깨비들이	도깨비/NNG+들/XSN+이/JKS
활개치는	활개/NNG+치/VV+는/ETM
짓거리로	짓거리/NNG+로/JKB
풍자한	풍자/NNG+하/XSV+ㄴ/ETM
작품들이다.	작품/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000048.155.4.4
서울 한강 도심지도 위에서 말 타고 칼 휘두르며 돌아다니는 굿집 무신들이며, 검은 비닐봉지 옷을 입고 그 옆에 정자처럼 꼬물거리는 귀신들을 안고 기지개를 켠 요즘 실업청년 이미지들이 쓴웃음을 머금게 한다.

서울	서울/NNP
한강	한강/NNP
도심지도	도심/NNG+지도/NNG
위에서	위/NNG+에서/JKB
말	말/NNG
타고	타/VV+고/EC
칼	칼/NNG
휘두르며	휘두르/VV+며/EC
돌아다니는	돌아다니/VV+는/ETM
굿집	굿/NNG+집/NNG
무신들이며,	무신/NNG+들/XSN+이/VCP+며/EC+,/SP
검은	검/VA+은/ETM
비닐봉지	비닐봉지/NNG
옷을	옷/NNG+을/JKO
입고	입/VV+고/EC
그	그/MMD
옆에	옆/NNG+에/JKB
정자처럼	정자/NNG+처럼/JKB
꼬물거리는	꼬물거리/VV+는/ETM
귀신들을	귀신/NNG+들/XSN+을/JKO
안고	안/VV+고/EC
기지개를	기지개/NNG+를/JKO
켠	켜/VV+ㄴ/ETM
요즘	요즘/NNG
실업청년	실업/NNG+청년/NNG
이미지들이	이미지/NNG+들/XSN+이/JKS
쓴웃음을	쓴웃음/NNG+을/JKO
머금게	머금/VV+게/EC
