# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.344
metadata : {}


# id : NWRW1800000048.344.1.1
[편집국에서] 4대강 데자뷔 평창 / 이춘재

[편집국에서]	[/SS+편집국/NNG+에서/JKB+]/SS
4대강	4/SN+대/NNG+강/NNG
데자뷔	데자뷔/NNG
평창	평창/NNP
/	//SP
이춘재	이춘재/NNP


# id : NWRW1800000048.344.2.1
3년 앞으로 성큼 다가온 평창 겨울올림픽은 두 명의 현직 대통령이 공식 행사에 참석하는 보기 드문 대회가 될 것 같다.

3년	3/SN+년/NNB
앞으로	앞/NNG+으로/JKB
성큼	성큼/MAG
다가온	다가오/VV+ㄴ/ETM
평창	평창/NNP
겨울올림픽은	겨울/NNG+올림픽/NNG+은/JX
두	두/MMN
명의	명/NNB+의/JKG
현직	현직/NNG
대통령이	대통령/NNG+이/JKS
공식	공식/NNG
행사에	행사/NNG+에/JKB
참석하는	참석/NNG+하/XSV+는/ETM
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
대회가	대회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.344.2.2
2018년 2월9일 개막식에는 박근혜 대통령이 참석해 개회선언을 한다.

2018년	2018/SN+년/NNB
2월9일	2/SN+월/NNB+9/SN+일/NNB
개막식에는	개막식/NNG+에/JKB+는/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
참석해	참석/NNG+하/XSV+아/EC
개회선언을	개회/NNG+선언/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.344.2.3
하지만 25일 열리는 폐막식은 새 대통령의 취임 후 첫 외부 공식 행사가 될 가능성이 크다.

하지만	하지만/MAJ
25일	25/SN+일/NNB
열리는	열리/VV+는/ETM
폐막식은	폐막식/NNG+은/JX
새	새/MMA
대통령의	대통령/NNG+의/JKG
취임	취임/NNG
