# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.398
metadata : {}


# id : NWRW1800000049.398.1.1
야광조끼로 심야작업 어르신 지킨다

야광조끼로	야광/NNG+조끼/NNG+로/JKB
심야작업	심야/NNG+작업/NNG
어르신	어르신/NNG
지킨다	지키/VV+ㄴ다/EF


# id : NWRW1800000049.398.2.1
서울 동대문서署-경동시장 상인회, 도로위 하역 점포직원에 전달 폐지수집 노인 수레엔 야광스티커… 시장주변 교통사고 줄이기 나서

서울	서울/NNP
동대문서署-경동시장	동대문/NNP+서/JKB+署/SH+-/SO+경동시장/NNP
상인회,	상인회/NNG+,/SP
도로위	도로/NNG+위/NNG
하역	하역/NNG
점포직원에	점포/NNG+직원/NNG+에/JKB
전달	전달/NNG
폐지수집	폐지/NNG+수집/NNG
노인	노인/NNG
수레엔	수레/NNG+에/JKB+ㄴ/JX
야광스티커…	야광/NNG+스티커/NNG+…/SE
시장주변	시장/NNG+주변/NNG
교통사고	교통사고/NNG
줄이기	줄이/VV+기/ETN
나서	나서/VV+어/EC


# id : NWRW1800000049.398.3.1
올 2월 서울 동대문구 경동시장 근처 이면도로에서 손수레를 끌고 가던 한모 씨(74)가 주차장에서 나오던 승용차에 치여 숨졌다.

올	올/NNG
2월	2/SN+월/NNB
서울	서울/NNP
동대문구	동대문구/NNP
경동시장	경동시장/NNP
근처	근처/NNG
이면도로에서	이면/NNG+도로/NNG+에서/JKB
손수레를	손수레/NNG+를/JKO
끌고	끌/VV+고/EC
가던	가/VX+던/ETM
한모	한/NNP+모/NP
씨(74)가	씨/NNB+(/SS+74/SN+)/SS+가/JKS
주차장에서	주차장/NNG+에서/JKB
나오던	나오/VV+던/ETM
승용차에	승용차/NNG+에/JKB
치여	치이/VV+어/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.398.3.2
3월엔 지하철 1호선 청량리역 앞에서 무단횡단을 하던 이모 씨(83)가 달려오던 택시를 피하지 못해 변을 당했다.

3월엔	3/SN+월/NNB+에/JKB+ㄴ/JX
지하철	지하철/NNG
1호선	1/SN+호선/NNB
청량리역	청량리역/NNP
앞에서	앞/NNG+에서/JKB
무단횡단을	무단/NNG+횡단/NNG+을/JKO
하던	하/VV+던/ETM
이모	이/NNP+모/NP
씨(83)가	씨/NNB+(/SS+83/SN+)/SS+가/JKS
달려오던	달려오/VV+던/ETM
택시를	택시/NNG+를/JKO
피하지	피하/VV+지/EC
못해	못하/VX+아/EC
변을	변/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.398.3.3
공교롭게도 피해자는 모두 70세가 넘은 노인이었다.

공교롭게도	공교롭/VA+게/EC+도/JX
피해자는	피해자/NNG+는/JX
모두	모두/MAG
70세가	70/SN+세/NNB+가/JKS
넘은	넘/VV+은/ETM
노인이었다.	노인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.398.3.4
공통점은 더 있었다.

공통점은	공통점/NNG+은/JX
더	더/MAG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.398.3.5
숨진 두 사람 모두 어두운 색의 옷을 입고 있었다.

