# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.68
metadata : {}


# id : NWRW1800000052.68.1.1
“세무사 사라진다면 세무고 다니는 전 어떡해요?”

“세무사	“/SS+세무사/NNG
사라진다면	사라지/VV+ㄴ다면/EC
세무고	세무/NNG+고/NNG
다니는	다니/VV+는/ETM
전	저/NP+ㄴ/JX
어떡해요?”	어떡하/VV+아요/EF+?/SF+”/SS


# id : NWRW1800000052.68.2.1
[한겨레] “방금 강연에서 세무사는 머지않아 인공지능과 자동화에 의해 대체될 가능성이 높은 직업이라고 얘기했는데, 그러면 지금 세무고에 다니고 있는 저와 친구들은 어떻게 해야 하나요?”

[한겨레]	[/SS+한겨레/NNP+]/SS
“방금	“/SS+방금/MAG
강연에서	강연/NNG+에서/JKB
세무사는	세무사/NNG+는/JX
머지않아	머지않/VA+아/EC
인공지능과	인공/NNG+지능/NNG+과/JC
자동화에	자동/NNG+화/XSN+에/JKB
의해	의하/VV+아/EC
대체될	대체/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
직업이라고	직업/NNG+이/VCP+라고/EC
얘기했는데,	얘기/NNG+하/XSV+았/EP+는데/EC+,/SP
그러면	그러면/MAJ
지금	지금/MAG
세무고에	세무/NNG+고/NNG+에/JKB
다니고	다니/VV+고/EC
있는	있/VX+는/ETM
저와	저/NP+와/JC
친구들은	친구/NNG+들/XSN+은/JX
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하나요?”	하/VX+나/EF+요/JX+?/SF+”/SS


# id : NWRW1800000052.68.3.1
얼마 전 고등학생들을 대상으로 ‘인공지능 시대와 직업의 미래’를 주제로 강의했는데, 그 자리에서 나온 세무고 학생의 질문이다.

얼마	얼마/NNG
전	전/NNG
고등학생들을	고등학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
‘인공지능	‘/SS+인공/NNG+지능/NNG
시대와	시대/NNG+와/JC
직업의	직업/NNG+의/JKG
미래’를	미래/NNG+’/SS+를/JKO
주제로	주제/NNG+로/JKB
강의했는데,	강의/NNG+하/XSV+았/EP+는데/EC+,/SP
그	그/MMD
자리에서	자리/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
세무고	세무/NNG+고/NNG
학생의	학생/NNG+의/JKG
질문이다.	질문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.68.3.2
연말정산과 각종 세무신고가 디지털 세무자료와 소프트웨어 덕분에 과거와 비교할 수 없이 간소화되었고 앞으로 이런 추세는 더욱 강화되고 있으므로 세무사와 회계사의 업무가 줄어들고 종사자 또한 큰 폭으로 감소할 것이라는 내용을 전달한 데 대한 질문이다.

연말정산과	연말/NNG+정산/NNG+과/JC
각종	각종/NNG
세무신고가	세무/NNG+신고/NNG+가/JKS
디지털	디지털/NNG
세무자료와	세무/NNG+자료/NNG+와/JKB
소프트웨어	소프트웨어/NNG
덕분에	덕분/NNG+에/JKB
과거와	과거/NNG+와/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없이	없이/MAG
간소화되었고	간소/NNG+화/XSN+되/XSV+었/EP+고/EC
앞으로	앞/NNG+으로/JKB
이런	이런/MMD
추세는	추세/NNG+는/JX
더욱	더욱/MAG
강화되고	강화/NNG+되/XSV+고/EC
있으므로	있/VX+으므로/EC
세무사와	세무사/NNG+와/JC
회계사의	회계사/NNG+의/JKG
업무가	업무/NNG+가/JKS
줄어들고	줄어들/VV+고/EC
종사자	종사자/NNG
또한	또한/MAG
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
감소할	감소/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
내용을	내용/NNG+을/JKO
전달한	전달/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
질문이다.	질문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.68.4.1
