# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.166
metadata : {}


# id : NWRW1800000053.166.1.1
경고그림 효과… 담배 판매량 석달째 감소

경고그림	경고/NNG+그림/NNG
효과…	효과/NNG+…/SE
담배	담배/NNG
판매량	판매량/NNG
석달째	석/MMN+달/NNB+째/XSN
감소	감소/NNG


# id : NWRW1800000053.166.2.1
2월 2억4000만갑… 1년전보다 14%↓ 금연클리닉 등록은 한달새 2배로

2월	2/SN+월/NNB
2억4000만갑…	2/SN+억/NR+4000/SN+만/NR+갑/NNG+…/SE
1년전보다	1/SN+년/NNB+전/NNG+보다/JKB
14%↓	14/SN+%/SW+↓/SW
금연클리닉	금연/NNG+클리닉/NNG
등록은	등록/NNG+은/JX
한달새	한/MMN+달/NNB+새/NNG
2배로	2/SN+배/NNG+로/JKB


# id : NWRW1800000053.166.3.1
담뱃갑에 흡연 경고 그림을 붙여 판매하기 시작한 지난해 12월 이후 담배 판매량이 매달 감소하고 있는 것으로 나타났다.

담뱃갑에	담뱃갑/NNG+에/JKB
흡연	흡연/NNG
경고	경고/NNG
그림을	그림/NNG+을/JKO
붙여	붙이/VV+어/EC
판매하기	판매/NNG+하/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
지난해	지난해/NNG
12월	12/SN+월/NNB
이후	이후/NNG
담배	담배/NNG
판매량이	판매량/NNG+이/JKS
매달	매달/MAG
감소하고	감소/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.4.1
13일 기획재정부에 따르면 올 2월 담배 판매량은 2억4000만 갑으로 전달보다 4000만 갑 줄며 3개월 연속 감소했다.

13일	13/SN+일/NNB
기획재정부에	기획/NNG+재정부/NNG+에/JKB
따르면	따르/VV+면/EC
올	올/NNG
2월	2/SN+월/NNB
담배	담배/NNG
판매량은	판매량/NNG+은/JX
2억4000만	2/SN+억/NR+4000/SN+만/NR
갑으로	갑/NNG+으로/JKB
전달보다	전달/NNG+보다/JKB
4000만	4000/SN+만/NR
갑	갑/NNG
줄며	줄/VV+며/EC
3개월	3/SN+개월/NNB
연속	연속/NNG
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.166.4.2
지난해 11월 3억1000만 갑이 팔렸던 담배는 △12월 2억9000만 갑 △올해 1월 2억8000만 갑이 판매됐다.

지난해	지난해/NNG
11월	11/SN+월/NNB
3억1000만	3/SN+억/NR+1000/SN+만/NR
갑이	갑/NNG+이/JKS
팔렸던	팔리/VV+었/EP+던/ETM
담배는	담배/NNG+는/JX
△12월	△/SW+12/SN+월/NNB
2억9000만	2/SN+억/NR+9000/SN+만/NR
갑	갑/NNG
△올해	△/SW+올해/NNG
1월	1/SN+월/NNB
