# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.167
metadata : {}


# id : NWRW1800000053.167.1.1
‘인턴채용 압력 의혹’ 최경환 직권남용혐의 기소

‘인턴채용	‘/SS+인턴/NNG+채용/NNG
압력	압력/NNG
의혹’	의혹/NNG+’/SS
최경환	최경환/NNP
직권남용혐의	직권/NNG+남용/NNG+혐의/NNG
기소	기소/NNG


# id : NWRW1800000053.167.2.1
檢 작년 1월 무혐의 발표뒤 재수사… 최경환 의원, 관련 혐의 전면 부인

檢	檢/SH
작년	작년/NNG
1월	1/SN+월/NNB
무혐의	무/XPN+혐의/NNG
발표뒤	발표/NNG+뒤/NNG
재수사…	재/XPN+수사/NNG+…/SE
최경환	최경환/NNP
의원,	의원/NNG+,/SP
관련	관련/NNG
혐의	혐의/NNG
전면	전면/NNG
부인	부인/NNG


# id : NWRW1800000053.167.3.1
자유한국당 최경환 의원(사진)이 중소기업진흥공단에 자신의 지역사무소에서 일한 인턴을 채용하도록 압력을 넣은 혐의로 재판을 받게 됐다.

자유한국당	자유한국당/NNP
최경환	최경환/NNP
의원(사진)이	의원/NNG+(/SS+사진/NNG+)/SS+이/JKS
중소기업진흥공단에	중소기업진흥공단/NNP+에/JKB
자신의	자신/NNG+의/JKG
지역사무소에서	지역/NNG+사무소/NNG+에서/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
인턴을	인턴/NNG+을/JKO
채용하도록	채용/NNG+하/XSV+도록/EC
압력을	압력/NNG+을/JKO
넣은	넣/VV+은/ETM
혐의로	혐의/NNG+로/JKB
재판을	재판/NNG+을/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.167.3.2
수원지검 안양지청 형사1부(부장검사 이수권)는 20일 직권남용권리행사방해·강요 등의 혐의로 최 의원을 불구속 기소했다고 밝혔다.

수원지검	수원지검/NNP
안양지청	안양/NNP+지청/NNG
형사1부(부장검사	형사/NNG+1/SN+부/NNG+(/SS+부장/NNG+검사/NNG
이수권)는	이수권/NNP+)/SS+는/JX
20일	20/SN+일/NNB
직권남용권리행사방해·강요	직권/NNG+남용/NNG+권리/NNG+행사/NNG+방해/NNG+·/SP+강요/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
최	최/NNP
의원을	의원/NNG+을/JKO
불구속	불/XPN+구속/NNG
기소했다고	기소/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.167.3.3
지난해 1월 수사 결과 혐의가 없다고 한 검찰이 박근혜 전 대통령의 파면 이후 친박(친박근혜) 핵심 최 의원을 기소한 것이다.

지난해	지난해/NNG
1월	1/SN+월/NNB
수사	수사/NNG
결과	결과/NNG
혐의가	혐의/NNG+가/JKS
없다고	없/VA+다고/EC
한	하/VV+ㄴ/ETM
검찰이	검찰/NNG+이/JKS
박근혜	박근혜/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
파면	파면/NNG
이후	이후/NNG
친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
핵심	핵심/NNG
최	최/NNP
의원을	의원/NNG+을/JKO
기소한	기소/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.167.4.1
최 의원은 새누리당(자유한국당 전신) 원내대표이던 2013년 중소기업진흥공단 하반기 직원 채용에서 지역사무소 인턴으로 일한 황모 씨가 합격하도록 당시 박철규 공단 이사장에게 압력을 가한 혐의를 받고 있다.

최	최/NNP
의원은	의원/NNG+은/JX
새누리당(자유한국당	새누리당/NNP+(/SS+자유한국당/NNP
전신)	전신/NNG+)/SS
원내대표이던	원내/NNG+대표/NNG+이/VCP+던/ETM
2013년	2013/SN+년/NNB
중소기업진흥공단	중소기업진흥공단/NNP
하반기	하반기/NNG
직원	직원/NNG
채용에서	채용/NNG+에서/JKB
지역사무소	지역/NNG+사무소/NNG
인턴으로	인턴/NNG+으로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
황모	황/NNP+모/NP
씨가	씨/NNB+가/JKS
합격하도록	합격/NNG+하/XSV+도록/EC
당시	당시/NNG
박철규	박철규/NNP
공단	공단/NNG
이사장에게	이사장/NNG+에게/JKB
압력을	압력/NNG+을/JKO
가한	가하/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.167.4.2
당시 공채에서 황 씨는 1차 서류전형과 2차 인·적성 검사에서 합격선에 모자라는 점수를 받았고, 면접시험도 최하위 점수를 받았으나 그때마다 공단 측이 점수를 조정해 합격한 것으로 알려졌다.

당시	당시/NNG
공채에서	공채/NNG+에서/JKB
황	황/NNP
씨는	씨/NNB+는/JX
1차	1/SN+차/NNB
서류전형과	서류/NNG+전형/NNG+과/JC
2차	2/SN+차/NNB
인·적성	인·적성/NNG
검사에서	검사/NNG+에서/JKB
합격선에	합격선/NNG+에/JKB
모자라는	모자라/VV+는/ETM
점수를	점수/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
면접시험도	면접시험/NNG+도/JX
최하위	최/XPN+하위/NNG
받았으나	받/VV+았/EP+으나/EC
그때마다	그때/NNG+마다/JX
공단	공단/NNG
측이	측/NNB+이/JKS
조정해	조정/NNG+하/XSV+아/EC
합격한	합격/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.167.5.1
검찰은 지난해 1월 황 씨의 특혜 채용에 관여한 혐의로 박 전 이사장 등을 불구속 기소했지만 최 의원은 서면 조사만 한 뒤 직접적으로 관여한 혐의가 없다고 밝혔다.

검찰은	검찰/NNG+은/JX
지난해	지난해/NNG
1월	1/SN+월/NNB
황	황/NNP
씨의	씨/NNB+의/JKG
특혜	특혜/NNG
채용에	채용/NNG+에/JKB
관여한	관여/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
박	박/NNP
전	전/MMD
이사장	이사장/NNG
등을	등/NNB+을/JKO
불구속	불/XPN+구속/NNG
기소했지만	기소/NNG+하/XSV+았/EP+지만/EC
최	최/NNP
의원은	의원/NNG+은/JX
서면	서면/NNG
조사만	조사/NNG+만/JX
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
직접적으로	직접/NNG+적/XSN+으로/JKB
혐의가	혐의/NNG+가/JKS
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.167.5.2
그러나 박 전 이사장은 지난해 9월 공판에서 최 의원으로부터 채용 압력을 받았다고 진술을 번복했다.

그러나	그러나/MAJ
박	박/NNP
전	전/MMD
