# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.45
metadata : {}


# id : NWRW1800000053.45.1.1
“국가간 AI 경쟁이 3차대전 불러올 것”

“국가간	“/SS+국가/NNG+간/NNB
AI	AI/SL
경쟁이	경쟁/NNG+이/JKS
3차대전	3/SN+차/NNB+대전/NNG
불러올	불러오/VV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000053.45.2.1
머스크 테슬라 CEO 주장 눈길 푸틴 “AI가 인류미래” 발언 반박 머스크 “AI가 전쟁결정 내릴수도 북한보다 훨씬 더 위험한 존재” 영화 ‘터미네이터’ 현실화 우려

머스크	머스크/NNP
테슬라	테슬라/NNP
CEO	CEO/SL
주장	주장/NNG
눈길	눈길/NNG
푸틴	푸틴/NNP
“AI가	“/SS+AI/SL+가/JKS
인류미래”	인류/NNG+미래/NNG+”/SS
발언	발언/NNG
반박	반박/NNG
전쟁결정	전쟁/NNG+결정/NNG
내릴수도	내리/VV+ㄹ/ETM+수/NNB+도/JX
북한보다	북한/NNP+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
위험한	위험/NNG+하/XSA+ㄴ/ETM
존재”	존재/NNG+”/SS
영화	영화/NNG
‘터미네이터’	‘/SS+터미네이터/NNP+’/SS
현실화	현실/NNG+화/XSN
우려	우려/NNG


# id : NWRW1800000053.45.3.1
일론 머스크 테슬라 최고경영자(CEO·사진)가 제3차 세계대전이 일어난다면 북핵보다는 인공지능(AI) 때문일 것이라고 경고했다.

일론	일론/NNP
머스크	머스크/NNP
테슬라	테슬라/NNP
최고경영자(CEO·사진)가	최고/NNG+경영자/NNG+(/SS+CEO/SL+·/SP+사진/NNG+)/SS+가/JKS
제3차	제/XPN+3/SN+차/NNB
세계대전이	세계/NNG+대전/NNG+이/JKS
일어난다면	일어나/VV+ㄴ다면/EC
북핵보다는	북핵/NNG+보다/JKB+는/JX
인공지능(AI)	인공/NNG+지능/NNG+(/SS+AI/SL+)/SS
때문일	때문/NNB+이/VCP+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.45.4.1
대표적인 ‘AI 회의론자’로 꼽히는 머스크 CEO는 4일 새벽 자신의 트위터에 “북한 핵실험은 현존하는 문명 위기 우려 목록의 아래쪽에 위치해야 할 것”이라며 “국가 차원에서 진행되고 있는 AI 우월성 경쟁이 3차 대전의 원인이 될 가능성이 크다”고 주장했다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
‘AI	‘/SS+AI/SL
회의론자’로	회의론자/NNG+’/SS+로/JKB
꼽히는	꼽히/VV+는/ETM
머스크	머스크/NNP
CEO는	CEO/SL+는/JX
4일	4/SN+일/NNB
새벽	새벽/NNG
자신의	자신/NNG+의/JKG
트위터에	트위터/NNP+에/JKB
“북한	“/SS+북한/NNP
핵실험은	핵/NNG+실험/NNG+은/JX
현존하는	현존/NNG+하/XSV+는/ETM
문명	문명/NNG
위기	위기/NNG
우려	우려/NNG
목록의	목록/NNG+의/JKG
아래쪽에	아래쪽/NNG+에/JKB
위치해야	위치/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“국가	“/SS+국가/NNG
차원에서	차원/NNG+에서/JKB
진행되고	진행/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
AI	AI/SL
우월성	우월/NNG+성/XSN
경쟁이	경쟁/NNG+이/JKS
3차	3/SN+차/NNB
대전의	대전/NNG+의/JKG
원인이	원인/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.45.4.2
3일 북한의 6차 핵실험으로 글로벌 안보 위기가 고조된 상황을 빗대 자신의 ‘AI 개발 경쟁의 위험론’을 강조하고 나선 것이다.

3일	3/SN+일/NNB
북한의	북한/NNP+의/JKG
6차	6/SN+차/NNB
핵실험으로	핵/NNG+실험/NNG+으로/JKB
글로벌	글로벌/NNG
안보	안보/NNG
위기가	위기/NNG+가/JKS
고조된	고조/NNG+되/XSV+ㄴ/ETM
상황을	상황/NNG+을/JKO
빗대	빗대/VV+어/EC
자신의	자신/NNG+의/JKG
‘AI	‘/SS+AI/SL
개발	개발/NNG
경쟁의	경쟁/NNG+의/JKG
위험론’을	위험/NNG+론/XSN+’/SS+을/JKO
강조하고	강조/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.45.4.3
한 트위터 사용자가 전쟁 발발 가능성을 우려하자 머스크는 “국가 지도자들에 의해 전쟁이 시작되기보다는 AI에 의해 전쟁이 발발할 수 있다.

한	한/MMN
트위터	트위터/NNP
사용자가	사용자/NNG+가/JKS
전쟁	전쟁/NNG
발발	발발/NNG
