# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.60
metadata : {}


# id : NWRW1800000053.60.1.1
지속가능한 일자리 찾는 유럽… ‘고용절벽’ 위기 한국은?

지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
일자리	일자리/NNG
찾는	찾/VV+는/ETM
유럽…	유럽/NNP+…/SE
‘고용절벽’	‘/SS+고용/NNG+절벽/NNG+’/SS
위기	위기/NNG
한국은?	한국/NNP+은/JX+?/SF


# id : NWRW1800000053.60.2.1
[글로벌 노동이슈]

[글로벌	[/SS+글로벌/NNG
노동이슈]	노동/NNG+이슈/NNG+]/SS


# id : NWRW1800000053.60.3.1
‘지속 가능성’이 화두인 시대다.

‘지속	‘/SS+지속/NNG
가능성’이	가능/NNG+성/XSN+’/SS+이/JKS
화두인	화두/NNG+이/VCP+ㄴ/ETM
시대다.	시대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.60.3.2
경영은 물론이고 환경과 복지 분야에서도 지속 가능한 길을 찾는 연구가 활발하다.

경영은	경영/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
환경과	환경/NNG+과/JC
복지	복지/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
길을	길/NNG+을/JKO
찾는	찾/VV+는/ETM
연구가	연구/NNG+가/JKS
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000053.60.3.3
노동시장과 일자리의 지속 가능성은 어느 정도일까.

노동시장과	노동/NNG+시장/NNG+과/JC
일자리의	일자리/NNG+의/JKG
지속	지속/NNG
가능성은	가능/NNG+성/XSN+은/JX
어느	어느/MMD
정도일까.	정도/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000053.60.3.4
경제사회발전노사정위원회 국제팀에 따르면 최근 유럽연합(EU) 산하 연구기관인 ‘유로파운드(Eurofound)’는 지속 가능한 일자리의 의미를 정하고 관련 정책을 분석해 보고서를 펴냈다.

경제사회발전노사정위원회	경제/NNG+사회/NNG+발전/NNG+노사정/NNG+위원회/NNG
국제팀에	국제/NNG+팀/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/NNG
유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
산하	산하/NNG
연구기관인	연구/NNG+기관/NNG+이/VCP+ㄴ/ETM
‘유로파운드(Eurofound)’는	‘/SS+유로파운드/NNP+(/SS+Eurofound/SL+)/SS+’/SS+는/JX
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리의	일자리/NNG+의/JKG
의미를	의미/NNG+를/JKO
정하고	정하/VV+고/EC
관련	관련/NNG
정책을	정책/NNG+을/JKO
분석해	분석/NNG+하/XSV+아/EC
보고서를	보고서/NNG+를/JKO
펴냈다.	펴내/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.60.4.1
유로파운드는 한 사람이 태어나서 죽을 때까지 일을 할 수 있는 근로 기간 내내 생계를 유지하고, 일자리가 유지될 수 있는 근로 조건을 ‘지속 가능한 일자리’로 정의했다.

유로파운드는	유로파운드/NNP+는/JX
한	한/MMN
사람이	사람/NNG+이/JKS
태어나서	태어나/VV+아서/EC
죽을	죽/VV+을/ETM
때까지	때/NNG+까지/JX
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근로	근로/NNG
기간	기간/NNG
내내	내내/MAG
생계를	생계/NNG+를/JKO
유지하고,	유지/NNG+하/XSV+고/EC+,/SP
일자리가	일자리/NNG+가/JKS
유지될	유지/NNG+되/XSV+ㄹ/ETM
조건을	조건/NNG+을/JKO
‘지속	‘/SS+지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리’로	일자리/NNG+’/SS+로/JKB
정의했다.	정의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.60.4.2
보통 15∼64세를 ‘생산가능인구’로 정의하고 근로 기간으로 판단하지만 최근에는 노년층 역시 노동시장에 머물 수 있도록 관련 일자리를 창출하는 연구가 유럽에서는 활발하다.

보통	보통/MAG
15∼64세를	15/SN+∼/SO+64/SN+세/NNB+를/JKO
‘생산가능인구’로	‘/SS+생산/NNG+가능/NNG+인구/NNG+’/SS+로/JKB
정의하고	정의/NNG+하/XSV+고/EC
근로	근로/NNG
기간으로	기간/NNG+으로/JKB
판단하지만	판단/NNG+하/XSV+지만/EC
최근에는	최근/NNG+에/JKB+는/JX
노년층	노년/NNG+층/XSN
역시	역시/MAG
노동시장에	노동/NNG+시장/NNG+에/JKB
머물	머물/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
관련	관련/NNG
일자리를	일자리/NNG+를/JKO
창출하는	창출/NNG+하/XSV+는/ETM
연구가	연구/NNG+가/JKS
유럽에서는	유럽/NNP+에서/JKB+는/JX
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000053.60.5.1
특히 지속 가능한 일자리는 중장년기는 물론이고 노년기에도 지속적으로 일할 수 있는 기회를 제공하고, 노동시장에 계속 머물 수 있게 한다는 점에서 저출산 고령화의 궁극적인 해결책으로 떠오르고 있다.

특히	특히/MAG
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리는	일자리/NNG+는/JX
중장년기는	중장년기/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
노년기에도	노년기/NNG+에/JKB+도/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
제공하고,	제공/NNG+하/XSV+고/EC+,/SP
노동시장에	노동/NNG+시장/NNG+에/JKB
계속	계속/MAG
머물	머물/VV+ㄹ/ETM
있게	있/VA+게/EC
한다는	하/VX+ㄴ다는/ETM
점에서	점/NNG+에서/JKB
저출산	저/XPN+출산/NNG
고령화의	고령/NNG+화/XSN+의/JKG
궁극적인	궁극/NNG+적/XSN+이/VCP+ㄴ/ETM
해결책으로	해결책/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.60.5.2
노후를 복지와 연금에 의존하지 않고, 일을 하면서 자립할 수 있다는 점을 고려하면 지속 가능한 일자리는 복지 분야에서도 핵심 정책이 될 수 있다.

노후를	노후/NNG+를/JKO
복지와	복지/NNG+와/JC
연금에	연금/NNG+에/JKB
의존하지	의존/NNG+하/XSV+지/EC
않고,	않/VX+고/EC+,/SP
일을	일/NNG+을/JKO
하면서	하/VV+면서/EC
자립할	자립/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리는	일자리/NNG+는/JX
복지	복지/NNG
분야에서도	분야/NNG+에서/JKB+도/JX
핵심	핵심/NNG
정책이	정책/NNG+이/JKC
될	되/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.60.6.1
다만 지속 가능한 일자리의 ‘양’보다는 ‘질’이 중요하다는 점에 주목해야 한다.

다만	다만/MAG
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
일자리의	일자리/NNG+의/JKG
‘양’보다는	‘/SS+양/NNG+’/SS+보다/JKB+는/JX
‘질’이	‘/SS+질/NNG+’/SS+이/JKS
중요하다는	중요/NNG+하/XSA+다는/ETM
점에	점/NNG+에/JKB
주목해야	주목/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.60.6.2
