# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.176
metadata : {}


# id : NWRW1800000054.176.1.1
[떠나요, 자전거길로] (3) 독특한 매력 지닌 인천·서울

[떠나요,	[/SS+떠나/VV+아요/EF+,/SP
자전거길로]	자전거/NNG+길/NNG+로/JKB+]/SS
(3)	(/SS+3/SN+)/SS
독특한	독특/NNG+하/XSA+ㄴ/ETM
매력	매력/NNG
지닌	지니/VV+ㄴ/ETM
인천·서울	인천/NNP+·/SP+서울/NNP


# id : NWRW1800000054.176.2.1
소래포구 바람에 꽃향기까지… 신바람난 두 바퀴

소래포구	소래포구/NNP
바람에	바람/NNG+에/JKB
꽃향기까지…	꽃향기/NNG+까지/JX+…/SE
신바람난	신바람/NNG+나/VV+ㄴ/ETM
두	두/MMN
바퀴	바퀴/NNG


# id : NWRW1800000054.176.3.1
인천은 자전거길이 잘 정비된 도시는 아니다.

인천은	인천/NNP+은/JX
자전거길이	자전거/NNG+길/NNG+이/JKS
잘	잘/MAG
정비된	정비/NNG+되/XSV+ㄴ/ETM
도시는	도시/NNG+는/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000054.176.3.2
하지만 지난해 행정자치부가 '전국의 아름다운 자전거길 100선(選)'에 꼽은 세 곳은 독특한 매력을 뽐낸다.

하지만	하지만/MAJ
지난해	지난해/NNG
행정자치부가	행정/NNG+자치부/NNG+가/JKS
'전국의	'/SS+전국/NNG+의/JKG
아름다운	아름답/VA+ㄴ/ETM
자전거길	자전거/NNG+길/NNG
100선(選)'에	100/SN+선/NA+(/SS+選/SH+)/SS+'/SS+에/JKB
꼽은	꼽/VV+은/ETM
세	세/MMN
곳은	곳/NNG+은/JX
독특한	독특/NNG+하/XSA+ㄴ/ETM
매력을	매력/NNG+을/JKO
뽐낸다.	뽐내/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.4.1
예전 화약공장 자리였다가 대규모 아파트 단지로 바뀐 인천시 남동구 논현동 한화지구의 남쪽 끝에 남동소래아트홀이 있다.

예전	예전/NNG
화약공장	화약/NNG+공장/NNG
자리였다가	자리/NNG+이/VCP+었/EP+다가/EC
대규모	대/XPN+규모/NNG
아파트	아파트/NNG
단지로	단지/NNG+로/JKB
바뀐	바뀌/VV+ㄴ/ETM
인천시	인천시/NNP
남동구	남동구/NNP
논현동	논현동/NNP
한화지구의	한화지구/NNP+의/JKG
남쪽	남쪽/NNG
끝에	끝/NNG+에/JKB
남동소래아트홀이	남동소래아트홀/NNP+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.176.4.2
이곳에서 시작하는 자전거길은 소래포구와 소래생태습지공원을 거쳐 장수동 인천대공원 입구까지 10㎞ 넘게 이어진다.

이곳에서	이곳/NP+에서/JKB
시작하는	시작/NNG+하/XSV+는/ETM
자전거길은	자전거/NNG+길/NNG+은/JX
소래포구와	소래포구/NNP+와/JC
소래생태습지공원을	소래생태습지공원/NNP+을/JKO
거쳐	거치/VV+어/EC
장수동	장수동/NNP
인천대공원	인천대공원/NNP
입구까지	입구/NNG+까지/JX
10㎞	10/SN+㎞/SW
넘게	넘/VV+게/EC
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.4.3
탁 트인 갯골(갯고랑)엔 갈매기들이 끼룩대고, 길 옆 화단에선 꽃들이 향기를 내뿜는다.

탁	탁/MAG
트인	트이/VV+ㄴ/ETM
갯골(갯고랑)엔	갯골/NNG+(/SS+갯고랑/NNG+)/SS+에/JKB+ㄴ/JX
갈매기들이	갈매기/NNG+들/XSN+이/JKS
끼룩대고,	끼룩대/VV+고/EC+,/SP
길	길/NNG
옆	옆/NNG
화단에선	화단/NNG+에서/JKB+ㄴ/JX
꽃들이	꽃/NNG+들/XSN+이/JKS
향기를	향기/NNG+를/JKO
내뿜는다.	내뿜/VV+는다/EF+./SF


# id : NWRW1800000054.176.5.1
소래포구에선 싱싱한 생선회가 방문객의 입맛을 유혹한다.

소래포구에선	소래포구/NNP+에서/JKB+ㄴ/JX
싱싱한	싱싱하/VA+ㄴ/ETM
생선회가	생선회/NNG+가/JKS
방문객의	방문객/NNG+의/JKG
입맛을	입맛/NNG+을/JKO
유혹한다.	유혹/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.5.2
옛 염전 지역을 활용해 만든 156만㎡ 넓이의 소래생태습지공원에 들어서면 바닷물로 소금을 만드는 천일 염전과 갯벌 체험장, 자연 학습장, 풍차와 산책로 등을 마음껏 돌아볼 수 있다.

옛	옛/MMA
염전	염전/NNG
지역을	지역/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
156만㎡	156/SN+만/NR+㎡/SW
넓이의	넓이/NNG+의/JKG
소래생태습지공원에	소래생태습지공원/NNP+에/JKB
들어서면	들어서/VV+면/EC
바닷물로	바닷물/NNG+로/JKB
소금을	소금/NNG+을/JKO
만드는	만들/VV+는/ETM
천일	천일/NNG
염전과	염전/NNG+과/JC
갯벌	갯벌/NNG
체험장,	체험장/NNG+,/SP
자연	자연/NNG
학습장,	학습장/NNG+,/SP
풍차와	풍차/NNG+와/JC
