# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.425
metadata : {}


# id : NWRW1800000054.425.1.1
宋국방은 핵추진 잠수함 미시간 오르고 사드기지도 방문

宋국방은	宋/SH+국방/NNG+은/JX
핵추진	핵/NNG+추진/NNG
잠수함	잠수함/NNG
미시간	미시간/NNP
오르고	오르/VV+고/EC
사드기지도	사드/NNG+기지/NNG+도/JX
방문	방문/NNG


# id : NWRW1800000054.425.2.1
"지금은 한미공조 힘 보여줄 때"

"지금은	"/SS+지금/NNG+은/JX
한미공조	한미/NNP+공조/NNG
힘	힘/NNG
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
때"	때/NNG+"/SS


# id : NWRW1800000054.425.3.1
송영무 국방장관과 김영우 국방위원장 등 국회 국방위 소속 여야 의원들이 14일 부산 기지에 입항한 미 해군의 핵 추진 잠수함 미시간함(SSGN 727)을 방문했다.

송영무	송영무/NNP
국방장관과	국방/NNG+장관/NNG+과/JC
김영우	김영우/NNP
국방위원장	국방/NNG+위원장/NNG
등	등/NNB
국회	국회/NNG
국방위	국방위/NNG
소속	소속/NNG
여야	여야/NNG
의원들이	의원/NNG+들/XSN+이/JKS
14일	14/SN+일/NNB
부산	부산/NNP
기지에	기지/NNG+에/JKB
입항한	입항/NNG+하/XSV+ㄴ/ETM
미	미/NNP
해군의	해군/NNG+의/JKG
핵	핵/NNG
추진	추진/NNG
잠수함	잠수함/NNG
미시간함(SSGN	미시간함/NNP+(/SS+SSGN/SL
727)을	727/SN+)/SS+을/JKO
방문했다.	방문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.425.3.2
미국이 핵잠수함 내부를 다른 나라 장관과 정치인들에게 공개한 것은 이례적이다.

미국이	미국/NNP+이/JKS
핵잠수함	핵/NNG+잠수함/NNG
내부를	내부/NNG+를/JKO
다른	다른/MMD
나라	나라/NNG
장관과	장관/NNG+과/JC
정치인들에게	정치인/NNG+들/XSN+에게/JKB
공개한	공개/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.425.4.1
미 해군 최대 잠수함 중의 하나인 미시간함(배수량 1만 8000여t)은 유사시 북한 핵·미사일 기지 등을 정밀 타격하는 핵심 무기인 토마호크 순항미사일(사거리 1600~2300㎞)을 154발이나 탑재한다.

미	미/NNP
해군	해군/NNG
최대	최대/NNG
잠수함	잠수함/NNG
중의	중/NNB+의/JKG
하나인	하나/NR+이/VCP+ㄴ/ETM
미시간함(배수량	미시간함/NNP+(/SS+배수량/NNG
1만	1/SN+만/NR
