# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.427
metadata : {}


# id : NWRW1800000054.427.1.1
原電 해체 시장, 건설 시장의 4분의 1… 한국 기술력도 모자라

原電	原電/SH
해체	해체/NNG
시장,	시장/NNG+,/SP
건설	건설/NNG
시장의	시장/NNG+의/JKG
4분의	4/SN+분/XSN+의/JKG
1…	1/SN+…/SE
한국	한국/NNP
기술력도	기술력/NNG+도/JX
모자라	모자라/VV+아/EF


# id : NWRW1800000054.427.2.1
전문가 "해체시장 선점? 어림없다"

전문가	전문가/NNG
"해체시장	"/SS+해체/NNG+시장/NNG
선점?	선점/NNG+?/SF
어림없다"	어림없/VA+다/EF+"/SS


# id : NWRW1800000054.427.3.1
정부는 24일 탈원전 로드맵을 발표하면서 "미확보 원전 해체 기술을 개발하고, 해외 원전 해체 시장을 선점할 수 있도록 동남권에 원전해체연구소를 설립하겠다"고 밝혔다.

정부는	정부/NNG+는/JX
24일	24/SN+일/NNB
탈원전	탈/XPN+원전/NNG
로드맵을	로드맵/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
"미확보	"/SS+미/XPN+확보/NNG
원전	원전/NNG
해체	해체/NNG
기술을	기술/NNG+을/JKO
개발하고,	개발/NNG+하/XSV+고/EC+,/SP
해외	해외/NNG
시장을	시장/NNG+을/JKO
선점할	선점/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
동남권에	동남/NNG+권/XSN+에/JKB
원전해체연구소를	원전/NNG+해체/NNG+연구소/NNG+를/JKO
설립하겠다"고	설립/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.427.3.2
하지만 전문가들은 "원전 해체는 수출보다 국부 창출 규모가 훨씬 떨어진다"고 지적하고 있다.

하지만	하지만/MAJ
전문가들은	전문가/NNG+들/XSN+은/JX
"원전	"/SS+원전/NNG
해체는	해체/NNG+는/JX
수출보다	수출/NNG+보다/JKB
국부	국부/NNG
창출	창출/NNG
규모가	규모/NNG+가/JKS
훨씬	훨씬/MAG
떨어진다"고	떨어지/VV+ㄴ다/EF+"/SS+고/JKQ
지적하고	지적/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.427.4.1
업계는 원전 건설 시장을 30년간 600조원 규모로 추산한다.

업계는	업계/NNG+는/JX
원전	원전/NNG
건설	건설/NNG
시장을	시장/NNG+을/JKO
30년간	30/SN+년/NNB+간/XSN
600조원	600/SN+조/NR+원/NNB
규모로	규모/NNG+로/JKB
추산한다.	추산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.427.4.2
반면 해체 시장은 50년간 300조원으로 4분의 1 수준이다.

반면	반면/NNG
해체	해체/NNG
시장은	시장/NNG+은/JX
50년간	50/SN+년/NNB+간/XSN
300조원으로	300/SN+조/NR+원/NNB+으로/JKB
4분의	4/SN+분/XSN+의/JKG
1	1/SN
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.427.4.3
원전 건설에는 국내 기자재·엔지니어링·건설 업체 모두가 참여할 수 있지만 해체 시장에는 일부 건설·엔지니어링 업체만 가능하다는 것도 한계다.

원전	원전/NNG
건설에는	건설/NNG+에/JKB+는/JX
국내	국내/NNG
기자재·엔지니어링·건설	기자재/NNG+·/SP+엔지니어링/NNG+·/SP+건설/NNG
업체	업체/NNG
모두가	모두/NNG+가/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
해체	해체/NNG
시장에는	시장/NNG+에/JKB+는/JX
일부	일부/NNG
건설·엔지니어링	건설/NNG+·/SP+엔지니어링/NNG
업체만	업체/NNG+만/JX
가능하다는	가능/NNG+하/XSA+다는/ETM
것도	것/NNB+도/JX
한계다.	한계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.427.5.1
우리 원전 해체 기술은 아직 성숙 단계에 이르지 못했다.

우리	우리/NP
원전	원전/NNG
해체	해체/NNG
기술은	기술/NNG+은/JX
아직	아직/MAG
성숙	성숙/NNG
단계에	단계/NNG+에/JKB
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.427.5.2
한국원자력연구원에 따르면 원전 해체를 위한 핵심 기반 기술 38개 중 27개만 확보한 상황인데, 선진국 기술력의 70% 정도다.

한국원자력연구원에	한국원자력연구원/NNP+에/JKB
따르면	따르/VV+면/EC
원전	원전/NNG
해체를	해체/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
핵심	핵심/NNG
기반	기반/NNG
기술	기술/NNG
38개	38/SN+개/NNB
중	중/NNB
27개만	27/SN+개/NNB+만/JX
확보한	확보/NNG+하/XSV+ㄴ/ETM
상황인데,	상황/NNG+이/VCP+ㄴ데/EC+,/SP
선진국	선진국/NNG
기술력의	기술력/NNG+의/JKG
70%	70/SN+%/SW
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.427.5.3
나머지 11개 기술은 2021년까지 모두 확보한다는 계획이나 그때까진 원전 해체 시장을 외국에 내줄 수밖에 없는 처지다.

나머지	나머지/NNG
11개	11/SN+개/NNB
기술은	기술/NNG+은/JX
2021년까지	2021/SN+년/NNB+까지/JX
모두	모두/MAG
확보한다는	확보/NNG+하/XSV+ㄴ다는/ETM
계획이나	계획/NNG+이나/JC
그때까진	그때/NNG+까지/JX+ㄴ/JX
원전	원전/NNG
해체	해체/NNG
시장을	시장/NNG+을/JKO
외국에	외국/NNG+에/JKB
내줄	내주/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
처지다.	처지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.427.6.1
연구용 원자로를 제외하면 원전 해체 경험도 없다.

연구용	연구/NNG+용/XSN
원자로를	원자로/NNG+를/JKO
제외하면	제외/NNG+하/XSV+면/EC
원전	원전/NNG
해체	해체/NNG
경험도	경험/NNG+도/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.427.6.2
국내 첫 원전으로 지난 6월 가동이 영구 정지된 고리 1호기가 첫 해체 대상이다.

국내	국내/NNG
첫	첫/MMN
원전으로	원전/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
가동이	가동/NNG+이/JKS
영구	영구/NNG
정지된	정지/NNG+되/XSV+ㄴ/ETM
고리	고리/NNP
1호기가	1/SN+호기/NNB+가/JKS
해체	해체/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.427.7.1
정범진 경희대 교수는 "현재 언급되는 원전 해체 시장 규모는 군사 시설까지 포함하는 데다, 원전 해체 비용 80%가 현지 방사성 폐기물 처리 비용과 노임으로 과장됐다"며 "분명한 건 해체 시장이 '블루오션'이 아니며 미국 등 선진국이 이미 장악하고 있어 진입하기도 쉽지 않다"고 말했다.

정범진	정범진/NNP
경희대	경희대/NNP
교수는	교수/NNG+는/JX
"현재	"/SS+현재/MAG
언급되는	언급/NNG+되/XSV+는/ETM
원전	원전/NNG
해체	해체/NNG
시장	시장/NNG
규모는	규모/NNG+는/JX
군사	군사/NNG
시설까지	시설/NNG+까지/JX
포함하는	포함/NNG+하/XSV+는/ETM
데다,	데/NNB+다/JX+,/SP
비용	비용/NNG
80%가	80/SN+%/SW+가/JKS
현지	현지/NNG
방사성	방사/NNG+성/XSN
폐기물	폐기물/NNG
처리	처리/NNG
비용과	비용/NNG+과/JC
노임으로	노임/NNG+으로/JKB
과장됐다"며	과장/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"분명한	"/SS+분명/MAG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
시장이	시장/NNG+이/JKS
'블루오션'이	'/SS+블루오션/NNG+'/SS+이/JKC
아니며	아니/VCN+며/EC
미국	미국/NNP
등	등/NNB
선진국이	선진국/NNG+이/JKS
이미	이미/MAG
장악하고	장악/NNG+하/XSV+고/EC
있어	있/VX+어/EC
진입하기도	진입/NNG+하/XSV+기/ETN+도/JX
쉽지	쉽/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


