# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.441
metadata : {}


# id : NWRW1800000054.441.1.1
소상공인이 만든 생활용품, KC인증 부담 덜게 됐다

소상공인이	소/XPN+상공인/NNG+이/JKS
만든	만들/VV+ㄴ/ETM
생활용품,	생활용품/NNG+,/SP
KC인증	KC/SL+인증/NNG
부담	부담/NNG
덜게	덜/VV+게/EC
됐다	되/VV+었/EP+다/EF


# id : NWRW1800000054.441.2.1
전기안전법 등 30여개 법안 통과… 전자담배 부담금, 일반의 89%로 시간강사법은 시행 1년 미뤄져

전기안전법	전기/NNG+안전법/NNG
등	등/NNB
30여개	30/SN+여/XSN+개/NNB
법안	법안/NNG
통과…	통과/NNG+…/SE
전자담배	전자/NNG+담배/NNG
부담금,	부담금/NNG+,/SP
일반의	일반/NNG+의/JKG
89%로	89/SN+%/SW+로/JKB
시간강사법은	시간/NNG+강사/NNG+법/NNG+은/JX
시행	시행/NNG
1년	1/SN+년/NNB
미뤄져	미루/VV+어/EC+지/VX+어/EF


# id : NWRW1800000054.441.3.1
여야(與野)는 29일 올해 마지막 본회의를 열고 전기안전관리법 등 법안 30여개를 통과시켰다.

여야(與野)는	여야/NNG+(/SS+與野/SH+)/SS+는/JX
29일	29/SN+일/NNB
올해	올해/NNG
마지막	마지막/NNG
본회의를	본회의/NNG+를/JKO
열고	열/VV+고/EC
전기안전관리법	전기/NNG+안전/NNG+관리법/NNG
등	등/NNB
법안	법안/NNG
30여개를	30/SN+여/XSN+개/NNB+를/JKO
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.441.4.1
이날 처리된 '전기용품 및 생활용품 안전관리법(전안법)'은 의류·잡화 등 생활용품을 생산하는 소상공인에게 '공급자 적합성 확인 서류(KC 인증서)' 의무화에 따른 비용 부담을 덜어주는 내용을 담고 있다.

이날	이날/NNG
처리된	처리/NNG+되/XSV+ㄴ/ETM
'전기용품	'/SS+전기용품/NNG
및	및/MAG
생활용품	생활용품/NNG
안전관리법(전안법)'은	안전/NNG+관리법/NNG+(/SS+전안법/NNG+)/SS+'/SS+은/JX
의류·잡화	의류/NNG+·/SP+잡화/NNG
등	등/NNB
생활용품을	생활용품/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
소상공인에게	소/XPN+상공인/NNG+에게/JKB
'공급자	'/SS+공급자/NNG
적합성	적합/NNG+성/XSN
확인	확인/NNG
서류(KC	서류/NNG+(/SS+KC/SL
인증서)'	인증서/NNG+)/SS+'/SS
의무화에	의무/NNG+화/XSN+에/JKB
따른	따르/VV+ㄴ/ETM
비용	비용/NNG
부담을	부담/NNG+을/JKO
덜어주는	덜/VV+어/EC+주/VX+는/ETM
내용을	내용/NNG+을/JKO
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.441.4.2
또 아이코스 등 궐련형 전자담배에 부과되는 국민건강증진부담금을 일반 담배의 89.1% 수준으로 인상하는 국민건강증진법 개정안도 통과됐다.

또	또/MAG
아이코스	아이코스/NNP
등	등/NNB
궐련형	궐련/NNG+형/XSN
전자담배에	전자/NNG+담배/NNG+에/JKB
부과되는	부과/NNG+되/XSV+는/ETM
국민건강증진부담금을	국민/NNG+건강/NNG+증진/NNG+부담금/NNG+을/JKO
일반	일반/NNG
담배의	담배/NNG+의/JKG
89.1%	89/SN+./SP+1/SN+%/SW
수준으로	수준/NNG+으로/JKB
인상하는	인상/NNG+하/XSV+는/ETM
국민건강증진법	국민/NNG+건강/NNG+증진법/NNG
개정안도	개정안/NNG+도/JX
통과됐다.	통과/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.441.4.3
시간강사의 임용 기간을 1년 이상으로 보장하는 시간강사법은 시행이 1년 유예됐다.

시간강사의	시간/NNG+강사/NNG+의/JKG
임용	임용/NNG
기간을	기간/NNG+을/JKO
1년	1/SN+년/NNB
이상으로	이상/NNG+으로/JKB
보장하는	보장/NNG+하/XSV+는/ETM
시간강사법은	시간/NNG+강사/NNG+법/NNG+은/JX
시행이	시행/NNG+이/JKS
유예됐다.	유예/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.441.5.1
본회의에 오른 안건 중 한국광물자원공사 정부 출자금을 2조원에서 4조원으로 증액하는 법안은 통과되지 못했다.

본회의에	본회의/NNG+에/JKB
