# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.217
metadata : {}


# id : NWRW1800000056.217.1.1
방용훈 코리아나호텔 사장 자녀들, ‘공동존속상해 혐의’로 검찰 송치

방용훈	방용훈/NNP
코리아나호텔	코리아나호텔/NNP
사장	사장/NNG
자녀들,	자녀/NNG+들/XSN+,/SP
‘공동존속상해	‘/SS+공동/NNG+존속/NNG+상해/NNG
혐의’로	혐의/NNG+’/SS+로/JKB
검찰	검찰/NNG
송치	송치/NNG


# id : NWRW1800000056.217.2.1
경찰, 혐의 일부 성립 판단

경찰,	경찰/NNG+,/SP
혐의	혐의/NNG
일부	일부/NNG
성립	성립/NNG
판단	판단/NNG


# id : NWRW1800000056.217.3.1
방용훈(65) 코리아나호텔 사장의 자녀들이 자신의 어머니를 다치게 한 혐의로 검찰 조사를 받게 됐다.

방용훈(65)	방용훈/NNP+(/SS+65/SN+)/SS
코리아나호텔	코리아나호텔/NNP
사장의	사장/NNG+의/JKG
자녀들이	자녀/NNG+들/XSN+이/JKS
자신의	자신/NNG+의/JKG
어머니를	어머니/NNG+를/JKO
다치게	다치/VV+게/EC
한	하/VX+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
검찰	검찰/NNG
조사를	조사/NNG+를/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.4.1
서울 수서경찰서는 방 사장의 자녀 중 첫째인 큰딸(33)과 셋째인 큰아들(29)의 폭력행위 등 처벌에 관한 법률상 공동존속상해 혐의를 인정해 사건을 검찰로 송치했다고 15일 밝혔다.

서울	서울/NNP
수서경찰서는	수서경찰서/NNP+는/JX
방	방/NNP
사장의	사장/NNG+의/JKG
자녀	자녀/NNG
중	중/NNB
첫째인	첫째/NNG+이/VCP+ㄴ/ETM
큰딸(33)과	큰딸/NNG+(/SS+33/SN+)/SS+과/JC
셋째인	셋째/NNG+이/VCP+ㄴ/ETM
큰아들(29)의	큰아들/NNG+(/SS+29/SN+)/SS+의/JKG
폭력행위	폭력/NNG+행위/NNG
등	등/NNB
처벌에	처벌/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률상	법률/NNG+상/XSN
공동존속상해	공동/NNG+존속/NNG+상해/NNG
혐의를	혐의/NNG+를/JKO
인정해	인정/NNG+하/XSV+아/EC
사건을	사건/NNG+을/JKO
검찰로	검찰/NNG+로/JKB
송치했다고	송치/NNG+하/XSV+았/EP+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.4.2
방 사장 부인인 이아무개(당시 56)씨는 지난해 9월1일 새벽 한강에 투신했고, 이튿날 숨진 채 발견됐다.

방	방/NNP
사장	사장/NNG
부인인	부인/NNG+이/VCP+ㄴ/ETM
이아무개(당시	이/NNP+아무개/NP+(/SS+당시/NNG
56)씨는	56/SN+)/SS+씨/NNB+는/JX
지난해	지난해/NNG
9월1일	9/SN+월/NNB+1/SN+일/NNB
새벽	새벽/NNG
한강에	한강/NNP+에/JKB
투신했고,	투신/NNG+하/XSV+았/EP+고/EC+,/SP
이튿날	이튿날/NNG
숨진	숨지/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.4.3
경찰은 자살로 결론냈다.

경찰은	경찰/NNG+은/JX
자살로	자살/NNG+로/JKB
결론냈다.	결론/NNG+내/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.217.5.1
앞서 고인의 친정어머니 임아무개(83)씨와 언니(59)는 지난 2월께 방 사장의 두 자녀가 재산문제 등으로 이씨에게 폭언과 학대를 일삼아 이씨가 자살을 택했다며, 두 자녀를 자살교사 및 존속학대, 공동감금 등의 혐의로 서울중앙지검에 고소했다.

앞서	앞서/MAG
고인의	고인/NNG+의/JKG
친정어머니	친정어머니/NNG
임아무개(83)씨와	임/NNP+아무개/NP+(/SS+83/SN+)/SS+씨/NNB+와/JC
언니(59)는	언니/NNG+(/SS+59/SN+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
2월께	2/SN+월/NNB+께/XSN
방	방/NNP
사장의	사장/NNG+의/JKG
두	두/MMN
자녀가	자녀/NNG+가/JKS
재산문제	재산/NNG+문제/NNG
등으로	등/NNB+으로/JKB
이씨에게	이/NNP+씨/NNB+에게/JKB
폭언과	폭언/NNG+과/JC
학대를	학대/NNG+를/JKO
일삼아	일삼/VV+아/EC
이씨가	이/NNP+씨/NNB+가/JKS
자살을	자살/NNG+을/JKO
택했다며,	택하/VV+았/EP+다며/EC+,/SP
자녀를	자녀/NNG+를/JKO
자살교사	자살/NNG+교사/NNG
및	및/MAG
존속학대,	존속/NNG+학대/NNG+,/SP
공동감금	공동/NNG+감금/NNG
등의	등/NNB+의/JKG
혐의로	혐의/NNG+로/JKB
서울중앙지검에	서울중앙지검/NNP+에/JKB
